"Participant_ID","Group","Age","Gender","Nationality","Other_Nationality","Native_Language","Other_Native_Language","Education","Writing_Proficiency","Daily_Email_Frequency","BFI_Agreeableness","BFI_Conscientiousness","BFI_Extraversion","BFI_Neuroticism","BFI_Openness","ERQ_Cognitive_Reappraisal","ERQ_Expressive_Suppression","Percieved_Stress_Scale","NASA_Mental_Demand","NASA_Physical_Demand","NASA_Temporal_Demand","NASA_Performance","NASA_Effort","NASA_Frustration"
"T003","IH",23,2,1,NA,1,NA,2,7,6,40,38,37,22,41,37,12,18,6,5,6,5,6,5
"T005","IH",19,2,1,NA,2,"Spanish",2,6,5,35,32,35,25,42,31,8,17,6,2,7,5,5,4
"T009","IH",20,2,1,NA,1,NA,2,7,6,38,33,27,21,42,32,14,20,5,3,5,3,6,7
"T011","IH",24,2,1,NA,2,"Spanish",2,7,5,45,44,21,20,39,40,14,3,5,2,5,5,5,2
"T016","BH",20,1,1,NA,1,NA,2,5,6,34,24,20,19,29,33,21,10,3,6,5,5,6,6
"T019","BH",20,2,1,NA,1,NA,1,6,7,35,38,19,28,28,24,16,20,5,3,6,2,5,5
"T021","BH",22,2,1,NA,2,"farsi",2,5,6,29,25,28,21,35,24,11,25,3,3,5,6,3,2
"T031","IL",20,2,2,"Chinese",2,"Chinese (Cantonese in specific)",2,6,5,35,38,26,24,44,36,16,11,6,3,3,5,5,3
"T032","IL",19,1,1,NA,2,"Spanish",2,7,7,33,31,29,19,37,29,19,17,4,2,4,3,3,5
"T035","IL",49,2,1,NA,1,NA,2,6,4,33,24,29,24,37,30,17,18,3,2,5,5,3,4
"T037","IL",22,2,1,NA,1,NA,2,6,6,33,35,27,19,25,38,10,9,5,2,3,6,5,5
"T046","BL",18,1,1,NA,1,NA,2,4,3,28,24,17,22,29,24,18,26,7,4,6,3,5,7
"T047","BL",20,2,1,NA,1,NA,2,5,4,39,29,32,16,39,30,11,14,6,6,7,3,5,4
"T051","BL",23,2,1,NA,1,NA,2,7,7,36,32,31,23,42,35,19,29,3,2,5,7,5,2
"T061","IH",29,1,2,"Philippines",1,NA,4,7,7,31,25,39,27,39,31,6,27,5,3,4,7,5,2
"T063","IH",21,2,1,NA,1,NA,2,7,7,43,36,36,12,44,33,11,12,6,1,7,6,6,5
"T064","IH",52,2,1,NA,1,NA,1,7,7,36,32,22,19,37,35,12,8,6,4,5,5,5,5
"T065","IH",28,2,1,NA,1,NA,2,7,7,29,36,25,27,36,37,11,16,3,2,2,6,6,2
"T066","IH",20,2,1,NA,1,NA,2,7,2,38,27,24,21,28,38,19,17,5,1,5,5,4,5
"T068","IH",22,2,1,NA,1,NA,2,7,7,39,28,28,29,38,31,5,22,7,5,7,5,7,6
"T077","BH",28,1,1,NA,1,NA,3,7,7,36,43,32,18,43,36,17,12,6,2,7,5,5,5
"T078","BH",50,2,1,NA,1,NA,2,7,7,32,24,27,17,43,28,21,22,4,3,6,2,3,4
"T079","BH",23,2,1,NA,1,NA,2,7,7,44,31,30,20,29,42,6,10,5,2,5,6,6,3
"T082","BH",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"T083","BH",21,2,1,NA,1,NA,2,7,7,37,32,29,31,39,32,13,12,7,4,7,3,6,4
"T084","BH",37,2,2,"Dominican American",2,"English and Spanish",3,7,7,32,31,23,27,36,30,19,20,6,5,6,4,6,6
"T085","BH",21,1,2,"Indian",1,NA,1,7,7,32,32,27,23,39,22,16,14,3,3,3,6,4,2
"T091","IL",20,1,1,NA,1,NA,2,6,6,37,33,20,20,28,29,11,13,2,2,2,7,2,2
"T092","IL",54,2,1,NA,1,NA,2,7,7,42,44,26,12,46,30,15,11,5,3,3,5,5,2
"T093","IL",23,1,1,NA,1,NA,2,7,7,30,31,37,18,49,34,7,11,5,3,4,3,5,2
"T094","IL",20,2,2,"Nigeria",1,NA,2,7,5,35,30,24,18,38,35,18,10,5,2,2,5,6,1
