"Participant_ID","Group","Treatment","Word_Count","Character_Count","Criterion_Score","Mechanics_Errors","Grammar_Errors","Usage_Errors","Style_Errors","Delete_Key_Count","Mechanic_Errors/WC","Grammar_Errors/WC","Usage_Errors/WC","Style_Errors/WC","Delete_Key/CC"
"T003","CH","DT",367,2029,4,5,0,2,10,419,0.0136239782016349,0,0.00544959128065395,0.0272479564032698,0.206505667816658
"T003","CH","ST",126,694,1,2,1,0,12,62,0.0158730158730159,0.00793650793650794,0,0.0952380952380952,0.0893371757925072
"T005","CH","DT",175,1143,3,4,1,3,5,1235,0.0228571428571429,0.00571428571428571,0.0171428571428571,0.0285714285714286,1.08048993875766
"T005","CH","ST",146,871,2,8,0,1,8,191,0.0547945205479452,0,0.00684931506849315,0.0547945205479452,0.219288174512055
"T009","CH","DT",226,1485,4,3,0,1,8,893,0.0132743362831858,0,0.00442477876106195,0.0353982300884956,0.601346801346801
"T009","CH","ST",96,632,1,1,1,1,9,79,0.0104166666666667,0.0104166666666667,0.0104166666666667,0.09375,0.125
"T011","CH","DT",93,576,1,7,2,0,4,654,0.0752688172043011,0.021505376344086,0,0.043010752688172,1.13541666666667
"T011","CH","ST",123,734,2,2,0,1,4,95,0.016260162601626,0,0.00813008130081301,0.032520325203252,0.129427792915531
"T016","BH","DT",300,1867,4,12,1,1,10,708,0.04,0.00333333333333333,0.00333333333333333,0.0333333333333333,0.379217996786288
"T016","BH","ST",86,493,1,1,1,2,0,54,0.0116279069767442,0.0116279069767442,0.0232558139534884,0,0.109533468559838
"T019","BH","DT",166,1022,2,9,3,2,19,1051,0.0542168674698795,0.0180722891566265,0.0120481927710843,0.114457831325301,1.02837573385519
"T019","BH","ST",110,583,1,1,1,0,17,112,0.00909090909090909,0.00909090909090909,0,0.154545454545455,0.192109777015437
"T021","BH","DT",261,1670,3,29,0,2,7,370,0.111111111111111,0,0.00766283524904215,0.0268199233716475,0.221556886227545
"T021","BH","ST",101,596,1,6,0,1,7,72,0.0594059405940594,0,0.0099009900990099,0.0693069306930693,0.120805369127517
"T031","CL","DT",241,1452,4,2,1,0,0,962,0.00829875518672199,0.004149377593361,0,0,0.662534435261708
"T031","CL","ST",112,640,2,0,0,0,13,122,0,0,0,0.116071428571429,0.190625
"T032","CL","DT",173,1090,3,9,0,2,13,891,0.0520231213872832,0,0.0115606936416185,0.0751445086705202,0.81743119266055
"T032","CL","ST",71,429,1,4,0,1,19,152,0.0563380281690141,0,0.0140845070422535,0.267605633802817,0.354312354312354
"T035","CL","DT",147,975,3,9,0,0,26,434,0.0612244897959184,0,0,0.17687074829932,0.445128205128205
"T035","CL","ST",85,481,1,6,0,0,0,59,0.0705882352941176,0,0,0,0.122661122661123
"T037","CL","DT",316,1987,4,2,0,5,43,668,0.00632911392405063,0,0.0158227848101266,0.136075949367089,0.336185203824862
"T037","CL","ST",93,558,1,1,0,0,6,126,0.010752688172043,0,0,0.0645161290322581,0.225806451612903
"T046","BL","DT",221,1313,2,12,4,6,7,1184,0.0542986425339367,0.0180995475113122,0.0271493212669683,0.0316742081447964,0.901751713632902
"T046","BL","ST",53,337,1,6,0,0,0,105,0.113207547169811,0,0,0,0.311572700296736
"T047","BL","DT",205,1240,3,15,1,2,14,500,0.0731707317073171,0.0048780487804878,0.00975609756097561,0.0682926829268293,0.403225806451613
"T047","BL","ST",123,686,1,3,1,1,5,61,0.024390243902439,0.00813008130081301,0.00813008130081301,0.040650406504065,0.0889212827988338
"T051","BL","DT",634,3784,5,26,2,5,25,658,0.0410094637223975,0.00315457413249211,0.00788643533123028,0.0394321766561514,0.173890063424947
