Subject,Video Consent,FV,OTV,ROI,CSV
T003,0,IRB,IRB,1,1
T005,1,1,1,1,1
T009,0,IRB,IRB,1,1
T011,0,IRB,IRB,1,1
T016,1,1,1,1,1
T019,0,IRB,IRB,1,1
T021,1,1,1,1,1
T031,0,IRB,IRB,0,1
T032,0,IRB,IRB,1,1
T035,0,IRB,IRB,1,1
T037,0,IRB,IRB,0,1
T046,0,IRB,IRB,1,1
T047,1,0,0,0,1
T051,1,1,1,1,1
T061,0,IRB,IRB,1,1
T063,1,1,1,-1,1
T064,1,1,1,1,1
T065,0,IRB,IRB,1,1
T066,0,IRB,IRB,1,1
T068,1,1,1,1,1
T077,1,1,1,1,1
T078,0,IRB,IRB,1,1
T079,1,1,1,1,1
T082,0,IRB,IRB,1,1
T083,1,1,1,1,1
T084,0,IRB,IRB,1,1
T085,1,1,1,1,0
T091,0,IRB,IRB,-1,1
T092,1,1,1,0,1
T093,0,IRB,IRB,0,1
T094,1,1,1,1,1
T096,0,IRB,IRB,1,1
T098,1,1,1,1,1
T099,1,1,1,1,1
T106,1,1,1,1,1
T112,0,IRB,IRB,1,1
T113,1,0,1,1,1
T114,0,IRB,IRB,1,1
T121,1,1,1,1,1
T122,0,IRB,IRB,1,1
T124,1,1,1,-1,-1
T126,0,IRB,IRB,-1,1
T128,0,IRB,IRB,1,1
T130,0,IRB,IRB,1,1
T132,1,1,1,1,1
T138,0,IRB,IRB,1,1
T139,1,1,1,1,1
T141,0,IRB,IRB,1,1
T144,1,1,1,1,1
T145,0,IRB,IRB,1,1
T151,1,1,1,1,1
T152,0,IRB,IRB,1,1
T154,0,IRB,IRB,1,1
T156,0,IRB,IRB,1,1
T157,1,1,1,1,1
T162,0,IRB,IRB,1,1
T166,1,1,1,-1,1
T172,0,IRB,IRB,1,-1
T173,0,IRB,IRB,1,1
T174,0,IRB,IRB,1,1
T175,1,1,1,1,1
T176,0,IRB,IRB,1,1
T178,1,1,1,1,1
