"Subject","Condition","Essay","Positive","Neutral","Negative","CharCount","WordCount","SentenceCount"
"T003","IH","WB",1,0,4,694,126,5
"T003","IH","DT",3,3,10,2029,367,16
"T005","IH","WB",4,1,3,871,146,8
"T005","IH","DT",4,0,6,1143,175,10
"T009","IH","WB",3,1,3,632,96,7
"T009","IH","DT",4,1,6,1485,226,11
"T011","IH","WB",3,2,1,734,123,6
"T011","IH","DT",0,4,4,576,93,8
"T061","IH","WB",2,1,3,575,100,6
"T061","IH","DT",3,4,18,3002,520,25
"T063","IH","WB",0,1,5,718,120,6
"T063","IH","DT",1,1,14,2365,380,16
"T064","IH","WB",4,1,0,416,72,5
"T064","IH","DT",1,1,5,849,131,7
"T065","IH","WB",2,2,7,1045,190,11
"T065","IH","DT",3,4,13,2222,370,20
"T066","IH","WB",4,1,1,569,98,6
"T066","IH","DT",2,2,11,1634,289,15
"T068","IH","WB",1,2,6,1087,183,9
"T068","IH","DT",3,1,18,3279,534,22
"T121","IH","WB",1,0,2,576,103,3
"T121","IH","DT",3,3,13,3317,494,19
"T122","IH","WB",1,1,2,758,132,4
"T122","IH","DT",2,1,8,1564,256,11
"T124","IH","WB",1,0,3,623,109,4
"T124","IH","DT",1,2,5,1602,256,8
"T126","IH","WB",0,0,5,761,126,5
"T126","IH","DT",2,0,18,3448,553,20
"T128","IH","WB",3,0,2,666,117,5
"T128","IH","DT",0,1,9,1380,222,10
"T130","IH","WB",2,3,5,1208,190,10
"T130","IH","DT",5,4,15,3171,526,24
"T132","IH","WB",3,0,8,1399,222,11
"T132","IH","DT",5,2,19,3605,585,26
"T031","IL","WB",3,1,3,640,112,7
"T031","IL","DT",3,4,7,1452,241,14
"T032","IL","WB",1,2,2,429,71,5
"T032","IL","DT",3,3,5,1090,173,11
"T035","IL","WB",2,1,1,481,85,4
"T035","IL","DT",1,0,6,975,147,7
"T037","IL","WB",3,0,2,558,93,5
"T037","IL","DT",4,0,14,1987,316,18
"T091","IL","WB",5,2,5,1197,218,12
"T091","IL","DT",6,4,12,2610,429,22
"T092","IL","WB",4,0,3,783,133,7
"T092","IL","DT",2,1,12,2172,373,15
"T093","IL","WB",1,0,4,494,74,5
"T093","IL","DT",2,0,10,1420,214,12
"T094","IL","WB",2,2,4,599,104,8
"T094","IL","DT",0,2,7,826,134,9
"T096","IL","WB",1,4,3,850,133,8
"T096","IL","DT",5,2,13,2391,402,20
"T098","IL","WB",1,1,4,743,127,6
"T098","IL","DT",3,3,8,2019,334,14
"T099","IL","WB",5,1,2,831,142,8
"T099","IL","DT",4,5,8,2112,338,17
"T151","IL","WB",2,3,5,849,150,10
"T151","IL","DT",8,6,15,2122,376,29
"T152","IL","WB",2,3,5,1122,180,10
"T152","IL","DT",10,2,20,2942,474,32
"T154","IL","WB",1,2,6,1230,210,9
"T154","IL","DT",5,1,6,1727,267,12
"T156","IL","WB",1,0,2,431,69,3
"T156","IL","DT",4,1,5,1279,203,10
"T157","IL","WB",2,0,5,788,110,7
"T157","IL","DT",3,1,16,2402,356,20
"T162","IL","WB",2,0,3,611,100,5
"T162","IL","DT",6,4,17,3106,538,27
"T016","BH","WB",2,0,3,493,86,5
"T016","BH","DT",5,1,10,1867,300,16
"T019","BH","WB",1,1,3,583,110,5
"T019","BH","DT",4,1,6,1022,166,11
"T021","BH","WB",1,1,3,596,101,5
"T021","BH","DT",2,1,8,1670,261,11
"T077","BH","WB",2,0,4,708,119,6
"T077","BH","DT",5,1,13,2444,386,19
"T078","BH","WB",6,2,3,705,120,11
"T078","BH","DT",1,2,5,599,104,8
"T079","BH","WB",5,0,1,541,82,6
"T079","BH","DT",2,3,6,1493,234,11
"T082","BH","WB",6,1,4,1021,155,11
"T082","BH","DT",2,2,15,2450,391,19
"T083","BH","WB",2,0,4,845,140,6
"T083","BH","DT",2,1,6,1642,250,9
"T084","BH","WB",2,2,5,938,146,9
"T084","BH","DT",10,6,14,3139,533,30
"T085","BH","WB",1,1,5,631,88,7
"T085","BH","DT",3,3,11,1828,314,17
"T138","BH","WB",4,1,3,1104,178,8
"T138","BH","DT",1,3,10,1791,281,14
"T139","BH","WB",3,1,3,761,125,7
"T139","BH","DT",1,1,6,1013,165,8
"T141","BH","WB",3,1,3,732,116,7
"T141","BH","DT",0,2,8,1206,186,10
"T144","BH","WB",1,2,3,997,168,6
"T144","BH","DT",4,0,7,1107,180,11
