Subject,Criterion Score,Number of Grammar Errors,Number of Usage Errors,Number of Mechanic Errors,Number of Style Errors,Trait Level for Word Choice,Trait Level for Conventions,Trait Level for Fluency/Organization
T003_IH_DT,(4/6),0,2,5,10,Proficient,Proficient,Proficient
T003_IH_WB,Advisory (1/6),1,0,2,12,Proficient,Proficient,Developing
T005_IH_DT,Advisory (3/6),1,3,4,5,Proficient,Proficient,Proficient
T005_IH_WB,Advisory (2/6),0,1,8,8,Proficient,Proficient,Proficient
T006_IH_DT,Advisory (4/6),2,2,14,27,Proficient,Proficient,Proficient
T006_IH_WB,Advisory (1/6),0,0,4,37,Proficient,Proficient,Developing
T009_IH_DT,(4/6),0,1,3,8,Proficient,Advanced,Proficient
T009_IH_WB,Advisory (1/6),1,1,1,9,Proficient,Proficient,Developing
T011_IH_DT,Advisory (1/6),2,0,7,4,Proficient,Proficient,Developing
T011_IH_WB,Advisory (2/6),0,1,2,4,Proficient,Proficient,Proficient
T016_BH_DT,Advisory (4/6),1,1,12,10,Proficient,Proficient,Proficient
T016_BH_WB,Advisory (1/6),1,2,1,0,Proficient,Proficient,Proficient
T019_BH_DT,Advisory (2/6),3,2,9,19,Developing,Proficient,Proficient
T019_BH_WB,Advisory (1/6),1,0,1,17,Proficient,Proficient,Developing
T021_BH_DT,Advisory (3/6),0,2,29,7,Proficient,Proficient,Proficient
T021_BH_WB,Advisory (1/6),0,1,6,7,Proficient,Proficient,Developing
T031_IL_DT,Advisory (4/6),1,0,2,0,Proficient,Proficient,Proficient
T031_IL_WB,Advisory (2/6),0,0,0,13,Advanced,Proficient,Proficient
T032_IL_DT,Advisory (3/6),0,2,9,13,Proficient,Proficient,Proficient
T032_IL_WB,Advisory (1/6),0,1,4,19,Proficient,Proficient,Developing
T035_IL_DT,Advisory (3/6),0,0,9,26,Proficient,Proficient,Developing
T035_IL_WB,Advisory (1/6),0,0,6,0,Proficient,Proficient,Proficient
T037_IL_DT,Advisory (4/6),0,5,2,43,Proficient,Proficient,Proficient
T037_IL_WB,Advisory (1/6),0,0,1,6,Proficient,Proficient,Developing
T046_BL_DT,Advisory (2/6),4,6,12,7,Developing,Proficient,Proficient
T046_BL_WB,Advisory (1/6),0,0,6,0,Proficient,Proficient,Proficient
T047_BL_DT,Advisory (3/6),1,2,15,14,Proficient,Proficient,Proficient
T047_BL_WB,Advisory (1/6),1,1,3,5,Proficient,Proficient,Proficient
T051_BL_DT,Advisory (5/6),2,5,26,25,Proficient,Proficient,Proficient
T051_BL_WB,Advisory (2/6),0,0,5,4,Proficient,Proficient,Proficient
T061_IH_DT,Advisory (5/6),1,2,12,1,Proficient,Proficient,Proficient
T061_IH_WB,Advisory (2/6),0,0,0,6,Proficient,Proficient,Proficient
T062_IH_DT,Advisory (4/6),1,2,5,15,Proficient,Proficient,Proficient
T062_IH_WB,Advisory (1/6),1,1,1,5,Proficient,Proficient,Proficient
T063_IH_DT,Advisory (4/6),0,1,10,0,Proficient,Proficient,Proficient
T063_IH_WB,Advisory (1/6),1,0,3,7,Proficient,Proficient,Proficient
T064_IH_DT,Advisory (2/6),1,0,6,4,Proficient,Advanced,Proficient
T064_IH_WB,Advisory (1/6),1,0,0,16,Proficient,Proficient,Developing
T065_IH_DT,Advisory (4/6),0,1,7,0,Proficient,Proficient,Proficient
T065_IH_WB,Advisory (3/6),0,0,3,11,Proficient,Proficient,Proficient
T066_IH_DT,Advisory (3/6),2,2,6,0,Proficient,Proficient,Proficient
T066_IH_WB,Advisory (1/6),0,1,0,6,Proficient,Proficient,Proficient
T067_IH_DT,Error,0,0,0,0, , , 
T067_IH_WB,Advisory (1/6),0,1,0,17,Proficient,Proficient,Developing
T068_IH_DT,Advisory (5/6),1,1,24,5,Proficient,Proficient,Proficient
T068_IH_WB,Advisory (3/6),1,1,4,0,Proficient,Proficient,Proficient
T076_BH_DT,Advisory (2/6),3,3,8,11,Proficient,Advanced,Proficient
T076_BH_WB,Advisory (2/6),1,0,4,13,Proficient,Proficient,Proficient
T077_BH_DT,Advisory (4/6),1,4,10,0,Proficient,Proficient,Proficient
T077_BH_WB,Advisory (2/6),0,2,2,8,Proficient,Proficient,Proficient
T078_BH_DT,Advisory (1/6),1,4,1,6,Proficient,Proficient,Developing
T078_BH_WB,Advisory (1/6),0,1,2,20,Proficient,Proficient,Developing
T079_BH_DT,Advisory (4/6),0,0,4,12,Proficient,Proficient,Proficient
T079_BH_WB,Advisory (2/6),0,0,0,12,Proficient,Proficient,Proficient
T080_BH_DT,Advisory (4/6),0,4,11,22,Proficient,Proficient,Proficient
T080_BH_WB,Advisory (3/6),0,1,3,36,Proficient,Proficient,Developing
T082_BH_DT,Advisory (4/6),0,4,11,22,Proficient,Proficient,Proficient
T082_BH_WB,Advisory (3/6),0,1,3,36,Proficient,Proficient,Developing
T083_BH_DT,Advisory (4/6),0,5,8,15,Proficient,Advanced,Proficient
T083_BH_WB,Advisory (3/6),0,0,0,0,Proficient,Proficient,Proficient
T084_BH_DT,Advisory (5/6),1,8,8,0,Proficient,Proficient,Proficient
T084_BH_WB,Advisory (3/6),0,0,2,19,Proficient,Proficient,Proficient
T091_IL_DT,Advisory (5/6),0,6,24,12,Proficient,Proficient,Proficient
T091_IL_WB,Advisory (3/6),1,0,4,7,Proficient,Proficient,Proficient
T092_IL_DT,Advisory (4/6),1,4,14,35,Proficient,Proficient,Proficient
T092_IL_WB,Advisory (2/6),0,3,1,20,Proficient,Proficient,Developing
T093_IL_DT,Advisory (4/6),0,3,3,15,Proficient,Proficient,Proficient
T093_IL_WB,Advisory (2/6),0,0,3,16,Proficient,Advanced,Developing
T094_IL_DT,Advisory (1/6),3,4,7,14,Proficient,Proficient,Developing
T094_IL_WB,Advisory (2/6),0,0,1,3,Proficient,Proficient,Proficient
T096_IL_DT,Advisory (4/6),2,3,15,1,Proficient,Proficient,Proficient
T096_IL_WB,Advisory (2/6),0,1,6,0,Proficient,Proficient,Proficient
T097_IL_DT,Advisory (4/6),0,5,7,9,Proficient,Proficient,Proficient
T097_IL_WB,Advisory (3/6),0,1,0,0,Proficient,Proficient,Proficient
