"Subject","Condition","Session","PerformanceCriteria","Value"
"T003","IH","DT","CriterionScore","4"
"T003","IH","ST","CriterionScore","1"
"T005","IH","DT","CriterionScore","3"
"T005","IH","ST","CriterionScore","2"
"T009","IH","DT","CriterionScore","4"
"T009","IH","ST","CriterionScore","1"
"T011","IH","DT","CriterionScore","1"
"T011","IH","ST","CriterionScore","2"
"T016","BH","DT","CriterionScore","4"
"T016","BH","ST","CriterionScore","1"
"T019","BH","DT","CriterionScore","2"
"T019","BH","ST","CriterionScore","1"
"T021","BH","DT","CriterionScore","3"
"T021","BH","ST","CriterionScore","1"
"T031","IL","DT","CriterionScore","4"
"T031","IL","ST","CriterionScore","2"
"T032","IL","DT","CriterionScore","3"
"T032","IL","ST","CriterionScore","1"
"T035","IL","DT","CriterionScore","3"
"T035","IL","ST","CriterionScore","1"
"T037","IL","DT","CriterionScore","4"
"T037","IL","ST","CriterionScore","1"
"T046","BL","DT","CriterionScore","2"
"T046","BL","ST","CriterionScore","1"
"T047","BL","DT","CriterionScore","3"
"T047","BL","ST","CriterionScore","1"
"T051","BL","DT","CriterionScore","5"
"T051","BL","ST","CriterionScore","2"
"T061","IH","DT","CriterionScore","5"
"T061","IH","ST","CriterionScore","2"
"T063","IH","DT","CriterionScore","4"
"T063","IH","ST","CriterionScore","1"
"T064","IH","DT","CriterionScore","2"
"T064","IH","ST","CriterionScore","1"
"T065","IH","DT","CriterionScore","4"
"T065","IH","ST","CriterionScore","3"
"T066","IH","DT","CriterionScore","3"
"T066","IH","ST","CriterionScore","1"
"T068","IH","DT","CriterionScore","5"
"T068","IH","ST","CriterionScore","3"
"T077","BH","DT","CriterionScore","4"
"T077","BH","ST","CriterionScore","2"
"T078","BH","DT","CriterionScore","1"
"T078","BH","ST","CriterionScore","1"
"T079","BH","DT","CriterionScore","4"
"T079","BH","ST","CriterionScore","2"
"T082","BH","DT","CriterionScore","4"
"T082","BH","ST","CriterionScore","3"
"T083","BH","DT","CriterionScore","4"
"T083","BH","ST","CriterionScore","3"
"T084","BH","DT","CriterionScore","5"
"T084","BH","ST","CriterionScore","3"
"T091","IL","DT","CriterionScore","5"
"T091","IL","ST","CriterionScore","3"
"T092","IL","DT","CriterionScore","4"
"T092","IL","ST","CriterionScore","2"
"T093","IL","DT","CriterionScore","4"
"T093","IL","ST","CriterionScore","2"
"T094","IL","DT","CriterionScore","1"
"T094","IL","ST","CriterionScore","2"
"T096","IL","DT","CriterionScore","4"
"T096","IL","ST","CriterionScore","2"
"T098","IL","DT","CriterionScore","4"
"T098","IL","ST","CriterionScore","2"
"T099","IL","DT","CriterionScore","4"
"T099","IL","ST","CriterionScore","2"
"T106","BL","DT","CriterionScore","1"
"T106","BL","ST","CriterionScore","2"
"T112","BL","DT","CriterionScore","1"
"T112","BL","ST","CriterionScore","1"
"T113","BL","DT","CriterionScore","4"
"T113","BL","ST","CriterionScore","2"
"T114","BL","DT","CriterionScore","5"
"T114","BL","ST","CriterionScore","3"
"T121","IH","DT","CriterionScore","5"
"T121","IH","ST","CriterionScore","1"
"T122","IH","DT","CriterionScore","4"
"T122","IH","ST","CriterionScore","2"
"T124","IH","DT","CriterionScore","4"
"T124","IH","ST","CriterionScore","2"
"T126","IH","DT","CriterionScore","5"
"T126","IH","ST","CriterionScore","2"
"T128","IH","DT","CriterionScore","3"
"T128","IH","ST","CriterionScore","2"
"T130","IH","DT","CriterionScore","5"
"T130","IH","ST","CriterionScore","3"
"T132","IH","DT","CriterionScore","5"
"T132","IH","ST","CriterionScore","3"
"T138","BH","DT","CriterionScore","4"
"T138","BH","ST","CriterionScore","3"
"T139","BH","DT","CriterionScore","3"
"T139","BH","ST","CriterionScore","2"
"T141","BH","DT","CriterionScore","3"
"T141","BH","ST","CriterionScore","3"
"T144","BH","DT","CriterionScore","3"
"T144","BH","ST","CriterionScore","3"
"T145","BH","DT","CriterionScore","5"
"T145","BH","ST","CriterionScore","2"
"T151","IL","DT","CriterionScore","4"
"T151","IL","ST","CriterionScore","2"
"T152","IL","DT","CriterionScore","5"
"T152","IL","ST","CriterionScore","3"
"T154","IL","DT","CriterionScore","4"
"T154","IL","ST","CriterionScore","3"
"T156","IL","DT","CriterionScore","3"
"T156","IL","ST","CriterionScore","1"
"T157","IL","DT","CriterionScore","4"
"T157","IL","ST","CriterionScore","2"
"T162","IL","DT","CriterionScore","5"
"T162","IL","ST","CriterionScore","2"
"T166","BL","DT","CriterionScore","4"
"T166","BL","ST","CriterionScore","3"
"T172","BL","DT","CriterionScore","3"
"T172","BL","ST","CriterionScore","1"
"T173","BL","DT","CriterionScore","6"
"T173","BL","ST","CriterionScore","3"
"T174","BL","DT","CriterionScore","4"
"T174","BL","ST","CriterionScore","2"
"T175","BL","DT","CriterionScore","5"
"T175","BL","ST","CriterionScore","2"
"T176","BL","DT","CriterionScore","4"
"T176","BL","ST","CriterionScore","1"
"T178","BL","DT","CriterionScore","5"
"T178","BL","ST","CriterionScore","2"
"T003","IH","DT","CharCount","2029"
"T003","IH","ST","CharCount","694"
"T005","IH","DT","CharCount","1143"
"T005","IH","ST","CharCount","871"
"T009","IH","DT","CharCount","1485"
"T009","IH","ST","CharCount","632"
"T011","IH","DT","CharCount","576"
"T011","IH","ST","CharCount","734"
"T016","BH","DT","CharCount","1867"
"T016","BH","ST","CharCount","493"
"T019","BH","DT","CharCount","1022"
"T019","BH","ST","CharCount","583"
"T021","BH","DT","CharCount","1670"
"T021","BH","ST","CharCount","596"
"T031","IL","DT","CharCount","1452"
"T031","IL","ST","CharCount","640"
"T032","IL","DT","CharCount","1090"
"T032","IL","ST","CharCount","429"
"T035","IL","DT","CharCount","975"
"T035","IL","ST","CharCount","481"
"T037","IL","DT","CharCount","1987"
"T037","IL","ST","CharCount","558"
"T046","BL","DT","CharCount","1313"
"T046","BL","ST","CharCount","337"
"T047","BL","DT","CharCount","1240"
"T047","BL","ST","CharCount","686"
"T051","BL","DT","CharCount","3784"
"T051","BL","ST","CharCount","733"
"T061","IH","DT","CharCount","3002"
"T061","IH","ST","CharCount","575"
"T063","IH","DT","CharCount","2365"
"T063","IH","ST","CharCount","718"
"T064","IH","DT","CharCount","849"
"T064","IH","ST","CharCount","416"
"T065","IH","DT","CharCount","2222"
"T065","IH","ST","CharCount","1045"
"T066","IH","DT","CharCount","1634"
"T066","IH","ST","CharCount","569"
"T068","IH","DT","CharCount","3279"
"T068","IH","ST","CharCount","1087"
"T077","BH","DT","CharCount","2444"
"T077","BH","ST","CharCount","708"
"T078","BH","DT","CharCount","599"
"T078","BH","ST","CharCount","705"
"T079","BH","DT","CharCount","1493"
"T079","BH","ST","CharCount","541"
"T082","BH","DT","CharCount","2450"
"T082","BH","ST","CharCount","1021"
"T083","BH","DT","CharCount","1642"
"T083","BH","ST","CharCount","845"
"T084","BH","DT","CharCount","3139"
"T084","BH","ST","CharCount","938"
"T091","IL","DT","CharCount","2610"
"T091","IL","ST","CharCount","1197"
"T092","IL","DT","CharCount","2172"
"T092","IL","ST","CharCount","783"
"T093","IL","DT","CharCount","1420"
"T093","IL","ST","CharCount","494"
"T094","IL","DT","CharCount","826"
"T094","IL","ST","CharCount","599"
"T096","IL","DT","CharCount","2391"
"T096","IL","ST","CharCount","850"
"T098","IL","DT","CharCount","2019"
"T098","IL","ST","CharCount","743"
"T099","IL","DT","CharCount","2112"
"T099","IL","ST","CharCount","831"
"T106","BL","DT","CharCount","483"
"T106","BL","ST","CharCount","591"
"T112","BL","DT","CharCount","150"
"T112","BL","ST","CharCount","243"
"T113","BL","DT","CharCount","2209"
"T113","BL","ST","CharCount","651"
"T114","BL","DT","CharCount","2760"
"T114","BL","ST","CharCount","1044"
"T121","IH","DT","CharCount","3317"
"T121","IH","ST","CharCount","576"
"T122","IH","DT","CharCount","1564"
"T122","IH","ST","CharCount","758"
"T124","IH","DT","CharCount","1602"
"T124","IH","ST","CharCount","623"
"T126","IH","DT","CharCount","3448"
"T126","IH","ST","CharCount","761"
"T128","IH","DT","CharCount","1380"
"T128","IH","ST","CharCount","666"
"T130","IH","DT","CharCount","3171"
"T130","IH","ST","CharCount","1208"
"T132","IH","DT","CharCount","3605"
"T132","IH","ST","CharCount","1399"
"T138","BH","DT","CharCount","1791"
"T138","BH","ST","CharCount","1104"
"T139","BH","DT","CharCount","1013"
"T139","BH","ST","CharCount","761"
"T141","BH","DT","CharCount","1206"
"T141","BH","ST","CharCount","732"
"T144","BH","DT","CharCount","1107"
"T144","BH","ST","CharCount","997"
"T145","BH","DT","CharCount","3039"
"T145","BH","ST","CharCount","633"
"T151","IL","DT","CharCount","2122"
"T151","IL","ST","CharCount","849"
"T152","IL","DT","CharCount","2942"
"T152","IL","ST","CharCount","1122"
"T154","IL","DT","CharCount","1727"
"T154","IL","ST","CharCount","1230"
"T156","IL","DT","CharCount","1279"
"T156","IL","ST","CharCount","431"
"T157","IL","DT","CharCount","2402"
"T157","IL","ST","CharCount","788"
"T162","IL","DT","CharCount","3106"
"T162","IL","ST","CharCount","611"
"T166","BL","DT","CharCount","2379"
"T166","BL","ST","CharCount","1036"
"T172","BL","DT","CharCount","1027"
"T172","BL","ST","CharCount","521"
"T173","BL","DT","CharCount","4303"
"T173","BL","ST","CharCount","1358"
"T174","BL","DT","CharCount","2331"
"T174","BL","ST","CharCount","811"
"T175","BL","DT","CharCount","2434"
"T175","BL","ST","CharCount","1000"
"T176","BL","DT","CharCount","2514"
"T176","BL","ST","CharCount","661"
"T178","BL","DT","CharCount","3319"
"T178","BL","ST","CharCount","773"
"T003","IH","DT","WordCount","367"
"T003","IH","ST","WordCount","126"
"T005","IH","DT","WordCount","175"
"T005","IH","ST","WordCount","146"
"T009","IH","DT","WordCount","226"
"T009","IH","ST","WordCount","96"
"T011","IH","DT","WordCount","93"
"T011","IH","ST","WordCount","123"
"T016","BH","DT","WordCount","300"
