Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
18/06/2018 11:23:39.447,65,6553.5,-3276.8,-36,0.12,0.18,4.172,95,0.000,65535.000,255,0.001000,0.000380,0,65535,0,65535,0,0,-0.85,-0.77,0.53,0.60,0.02,0.13,28.8,539,255,-128,-128,6553.5,414,418,495
18/06/2018 11:23:40.447,65,6553.5,-3276.8,-35,0.07,0.09,4.172,95,0.000,65535.000,255,0.001000,0.000180,0,65535,0,65535,0,0,-0.84,-0.74,0.50,0.63,0.02,0.15,28.8,539,255,-128,-128,6553.5,413,418,496
18/06/2018 11:23:41.447,65,6553.5,-3276.8,-37,0.05,0.09,4.171,95,0.000,65535.000,255,0.000100,0.000080,0,65535,0,65535,0,0,-0.80,-0.74,0.56,0.66,0.06,0.14,28.8,539,255,-128,-128,6553.5,413,418,496
18/06/2018 11:23:42.447,65,6553.5,-3276.8,-37,0.02,0.06,4.171,95,0.000,65535.000,255,0.000100,0.000040,0,65535,0,65535,0,0,-0.84,-0.74,0.56,0.63,0.04,0.13,28.8,539,255,-128,-128,6553.5,414,412,480
18/06/2018 11:23:43.447,65,6553.5,-3276.8,47,0.46,1.09,4.171,95,0.000,65535.000,255,0.000100,0.000180,0,65535,0,65535,0,0,-1.31,0.06,0.32,1.24,-1.10,0.08,28.7,539,255,-128,-128,6553.5,413,418,496
18/06/2018 11:23:44.447,65,6.6,-3276.8,50,0.20,0.40,4.171,95,12.000,65535.000,255,0.000100,0.001160,0,65535,0,65535,0,0,-0.78,-0.26,0.57,1.12,-0.22,0.20,28.7,539,255,-128,-128,6553.5,415,419,496
18/06/2018 11:23:45.447,65,5.9,-3276.8,46,0.13,0.18,4.171,95,3403.000,65535.000,255,0.000100,0.000540,0,65535,0,65535,1,0,-0.80,-0.72,0.59,0.68,-0.09,-0.01,28.7,528,255,-128,-128,6553.5,414,418,495
18/06/2018 11:23:46.447,0,5.9,-3276.8,41,0.11,0.19,4.171,95,5941.000,65535.000,255,0.000800,0.000220,0,65535,0,65535,1,1,-0.89,-0.74,0.51,0.66,-0.12,0.12,28.7,528,255,-128,-128,6553.5,414,418,496
18/06/2018 11:23:47.447,0,6.3,-3276.8,-41,0.12,0.21,4.171,95,5711.000,65535.000,255,0.000800,0.000160,0,65535,0,65535,1,2,-0.86,-0.63,0.53,0.78,-0.01,0.18,28.7,528,255,-128,-128,6553.5,427,416,503
18/06/2018 11:23:48.447,0,6.3,-3276.8,-43,0.04,0.07,4.170,95,5592.000,65535.000,255,0.000800,0.000100,0,65535,0,65535,1,3,-0.74,-0.67,0.65,0.73,-0.02,0.03,28.7,528,255,-128,-128,6553.5,414,418,496
18/06/2018 11:23:49.447,0,6.7,-3276.8,43,0.01,0.04,4.170,95,5137.000,65535.000,255,0.000800,0.000060,0,65535,0,65535,1,4,-0.77,-0.68,0.63,0.72,-0.02,0.03,28.7,531,255,-128,-128,6553.5,422,431,498
18/06/2018 11:23:50.447,0,6.7,-3276.8,33,0.36,0.98,4.170,95,4610.000,65535.000,255,0.000800,0.000040,0,65535,0,65535,0,0,-1.93,-0.61,-0.04,0.63,-0.19,0.22,28.7,528,255,-128,-128,6553.5,413,418,496
18/06/2018 11:23:51.447,0,7.0,-3276.8,24,0.21,0.25,4.169,94,4097.000,65535.000,255,0.000800,0.000040,0,65535,0,65535,3,0,-0.97,-0.91,0.21,0.27,-0.07,0.00,28.7,528,255,-128,-128,6553.5,413,418,496
18/06/2018 11:23:52.447,0,7.0,-3276.8,20,0.10,0.13,4.169,94,3571.000,65535.000,255,0.000800,0.000040,0,65535,0,65535,3,1,-0.96,-0.91,0.24,0.45,-0.04,0.16,28.7,528,255,-128,-128,6553.5,418,414,493
18/06/2018 11:23:53.447,0,7.3,-3276.8,18,0.05,0.06,4.169,94,3132.000,65535.000,255,0.000800,0.000040,0,65535,0,65535,3,2,-0.96,-0.90,0.25,0.28,-0.08,-0.01,28.7,528,255,-128,-128,6553.5,413,418,496
18/06/2018 11:23:54.447,0,7.3,-3276.8,17,0.02,0.04,4.169,94,2712.000,65535.000,255,0.000800,0.000040,0,65535,0,65535,3,3,-0.97,-0.91,0.25,0.30,-0.07,0.00,28.7,531,255,-128,-128,6553.5,427,434,506
18/06/2018 11:23:55.447,0,7.6,-3276.8,16,0.01,0.03,4.169,94,2372.000,65535.000,255,0.000800,0.000040,0,65535,0,65535,0,0,-0.97,-0.92,0.25,0.28,-0.07,-0.01,28.7,531,255,-128,-128,6553.5,413,418,496
18/06/2018 11:23:56.447,0,7.6,-3276.8,16,0.01,0.04,4.169,94,2050.000,65535.000,255,0.000800,0.000040,0,65535,0,65535,0,0,-0.97,-0.92,0.25,0.30,-0.08,-0.01,28.7,531,255,-128,-128,6553.5,414,418,495
18/06/2018 11:23:57.447,0,7.8,-3276.8,16,0.01,0.03,4.169,94,1792.000,65535.000,255,0.000800,0.000040,0,65535,0,65535,0,0,-0.96,-0.91,0.25,0.30,-0.07,0.00,28.7,531,255,-128,-128,6553.5,409,417,483
18/06/2018 11:23:58.447,0,7.8,-3276.8,16,0.01,0.03,4.168,94,1549.000,65535.000,255,0.000800,0.000040,0,65535,0,65535,0,0,-0.97,-0.91,0.25,0.28,-0.06,-0.01,28.7,531,255,-128,-128,6553.5,414,418,496
18/06/2018 11:23:59.447,0,8.0,-3276.8,21,0.14,0.43,4.168,94,1356.000,65535.000,255,0.000800,0.000040,0,65535,0,65535,0,0,-0.96,-0.71,0.24,0.69,-0.10,0.12,28.7,528,255,-128,-128,6553.5,413,418,496
18/06/2018 11:24:00.447,0,8.0,-3276.8,-33,0.33,0.60,4.168,94,1417.000,65535.000,255,0.000800,0.000040,0,65535,0,65535,0,1,-0.77,-0.37,0.66,0.97,0.04,0.39,28.7,528,255,-128,-128,6553.5,414,418,496
18/06/2018 11:24:01.447,0,6553.5,-3276.8,-45,0.31,0.48,4.168,94,3521.000,65535.000,255,0.000800,0.000040,0,65535,0,65535,3,0,-0.73,-0.28,0.68,1.02,0.19,0.44,28.7,528,255,-128,-128,6553.5,413,418,496
18/06/2018 11:24:02.447,0,6553.5,-3276.8,-57,0.34,1.12,4.168,94,6657.000,65535.000,255,0.000800,0.000040,0,65535,0,65535,0,0,-0.63,0.01,0.43,1.62,-1.04,0.48,28.7,539,255,-128,-128,6553.5,421,421,491
18/06/2018 11:24:03.447,0,6553.5,-3276.8,-70,0.42,0.62,4.168,94,6895.000,65535.000,255,0.000800,0.000040,0,65535,0,65535,0,0,-0.16,0.09,0.92,1.14,-0.24,0.31,28.7,539,255,-128,-128,6553.5,413,417,495
18/06/2018 11:24:04.447,0,6553.5,-3276.8,75,0.24,0.26,4.168,94,6409.000,65535.000,255,0.000800,0.000040,0,65535,0,65535,0,0,-0.18,-0.14,0.97,1.07,-0.22,-0.18,28.7,539,255,-128,-128,6553.5,413,418,496
18/06/2018 11:24:05.447,0,6553.5,-3276.8,79,0.12,0.14,4.168,94,5741.000,65535.000,255,0.000800,0.000040,0,65535,0,65535,0,0,-0.16,-0.12,0.98,1.06,-0.24,-0.20,28.7,539,255,-128,-128,6553.5,414,418,495
18/06/2018 11:24:06.447,0,6553.5,-3276.8,80,0.06,0.08,4.168,94,4992.000,65535.000,255,0.000800,0.000040,0,65535,0,65535,0,0,-0.18,-0.12,0.98,1.06,-0.24,-0.20,28.7,539,255,-128,-128,6553.5,414,418,495
18/06/2018 11:24:07.447,0,6553.5,-3276.8,80,0.03,0.12,4.168,94,4355.000,65535.000,255,0.000800,0.000040,0,65535,0,65535,0,0,-0.20,-0.14,0.93,1.20,-0.22,-0.20,28.7,539,255,-128,-128,6553.5,414,418,495
18/06/2018 11:24:08.447,0,6553.5,-3276.8,80,0.02,0.08,4.167,94,3745.000,65535.000,255,0.000800,0.000040,0,65535,0,65535,0,0,-0.22,-0.15,0.97,1.06,-0.30,-0.10,28.8,539,255,-128,-128,6553.5,414,417,496
18/06/2018 11:24:09.447,0,8.0,-3276.8,81,0.04,0.09,4.167,94,3700.000,65535.000,255,0.000800,0.000020,0,65535,0,65535,0,0,-0.16,-0.08,1.00,1.07,-0.19,-0.06,28.8,539,255,-128,-128,6553.5,413,418,495
18/06/2018 11:24:10.447,0,8.0,-3276.8,82,0.06,0.09,4.167,94,4831.000,65535.000,255,0.000800,0.000040,0,65535,0,65535,0,0,-0.16,-0.08,1.00,1.07,-0.19,-0.06,28.8,539,255,-128,-128,6553.5,414,418,496
18/06/2018 11:24:11.447,0,6553.5,-3276.8,82,0.07,0.10,4.167,94,4763.000,65535.000,255,0.000800,0.000040,0,65535,0,65535,0,0,-0.16,-0.09,1.01,1.07,-0.14,-0.03,28.9,539,255,-128,-128,6553.5,413,418,496
18/06/2018 11:24:12.447,0,6553.5,-3276.8,83,0.07,0.10,4.167,94,4901.000,65535.000,255,0.000800,0.000040,0,65535,0,65535,0,0,-0.14,-0.06,1.01,1.07,-0.09,0.01,28.9,539,255,-128,-128,6553.5,414,417,496
18/06/2018 11:24:13.447,0,6553.5,-3276.8,83,0.05,0.08,4.167,94,4496.000,65535.000,255,0.000800,0.000040,0,65535,0,65535,0,0,-0.15,-0.07,1.01,1.07,-0.02,0.04,28.9,539,255,-128,-128,6553.5,413,418,496
18/06/2018 11:24:14.447,0,6553.5,-3276.8,84,0.03,0.07,4.167,94,3941.000,65535.000,255,0.000800,0.000040,0,65535,0,65535,0,0,-0.15,-0.07,1.00,1.07,0.00,0.04,28.9,539,255,-128,-128,6553.5,394,401,484
18/06/2018 11:24:15.447,0,6553.5,-3276.8,-84,0.02,0.06,4.167,94,3451.000,65535.000,255,0.000800,0.000040,0,65535,0,65535,0,0,-0.14,-0.04,1.01,1.07,-0.01,0.06,28.9,539,255,-128,-128,6553.5,413,417,495
18/06/2018 11:24:16.447,0,6553.5,-3276.8,-84,0.02,0.06,4.167,94,2974.000,65535.000,255,0.000800,0.000040,0,65535,0,65535,0,0,-0.15,-0.04,1.01,1.06,-0.01,0.04,28.9,539,255,-128,-128,6553.5,419,424,502
18/06/2018 11:24:17.447,0,6553.5,-3276.8,-84,0.02,0.06,4.167,94,2586.000,65535.000,255,0.000800,0.000040,0,65535,0,65535,0,0,-0.15,-0.07,1.01,1.07,0.00,0.08,28.9,539,255,-128,-128,6553.5,413,418,496
18/06/2018 11:24:18.447,0,6553.5,-3276.8,-86,0.06,0.12,4.166,94,2220.000,65535.000,255,0.000800,0.000020,0,65535,0,65535,0,0,-0.15,-0.03,1.00,1.22,-0.01,0.07,29.0,539,255,-128,-128,6553.5,413,418,495
18/06/2018 11:24:19.447,0,7.1,-3276.8,-87,0.05,0.10,4.166,94,2481.000,65535.000,255,0.000800,0.000040,0,65535,0,65535,0,0,-0.10,0.01,1.00,1.08,-0.03,0.07,29.0,528,255,-128,-128,6553.5,406,413,489
18/06/2018 11:24:20.447,0,7.1,-3276.8,-88,0.04,0.12,4.166,94,4446.000,65535.000,255,0.000800,0.000040,0,65535,0,65535,0,1,-0.07,0.00,1.01,1.22,0.01,0.13,29.1,528,255,-128,-128,6553.5,414,417,495
