SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2018,08,01,39193415,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2018,08,01,39246370,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,01,39247490,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,01,39253680,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,01,39256729,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,08,01,39351689,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,08,01,39361689,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2018,08,01,39366670,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,08,01,39386669,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,08,01,45474549,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,08,01,45477549,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2018,08,01,45477549,4416,Physiological,DashAlgorithm,0,40 Yard Dash Test Detected - Activity 0.33g
0,2018,08,01,45479530,4416,Physiological,DashAlgorithm,0,40 Yard Dash Test Detected - Activity 0.54g
0,2018,08,01,45482520,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,08,01,45484519,4416,Physiological,DashAlgorithm,0,40 Yard Dash Test Detected - Activity 0.73g
