Frame#,Time,Timestamp,ROI,Breathing
0,0,Fri Aug 03 14:51:01.811 2018,28.52098,-1
3,0.1176859,Fri Aug 03 14:51:01.928 2018,28.60565,-1
5,0.1805179,Fri Aug 03 14:51:01.991 2018,28.59894,-1
7,0.260304,Fri Aug 03 14:51:02.071 2018,28.59723,-1
8,0.2922188,Fri Aug 03 14:51:02.103 2018,28.59633,-1
9,0.3301178,Fri Aug 03 14:51:02.141 2018,28.59723,-1
10,0.3620325,Fri Aug 03 14:51:02.173 2018,28.59788,-1
11,0.418881,Fri Aug 03 14:51:02.229 2018,28.59459,-1
13,0.5156222,Fri Aug 03 14:51:02.326 2018,28.5858,-1
15,0.6901562,Fri Aug 03 14:51:02.501 2018,28.57143,-1
17,0.8537191,Fri Aug 03 14:51:02.664 2018,28.56026,-1
18,0.9185455,Fri Aug 03 14:51:02.729 2018,28.56178,-1
19,0.9903544,Fri Aug 03 14:51:02.801 2018,28.55258,-1
20,1.068146,Fri Aug 03 14:51:02.879 2018,28.55237,-1
21,1.162893,Fri Aug 03 14:51:02.973 2018,28.47971,-1
22,1.237693,Fri Aug 03 14:51:03.048 2018,28.4973,-1
23,1.307508,Fri Aug 03 14:51:03.118 2018,28.49587,-1
24,1.357374,Fri Aug 03 14:51:03.168 2018,28.49684,-1
25,1.404248,Fri Aug 03 14:51:03.215 2018,28.49849,-1
26,1.454115,Fri Aug 03 14:51:03.265 2018,28.4973,-1
27,1.510963,Fri Aug 03 14:51:03.322 2018,28.49878,-1
28,1.564819,Fri Aug 03 14:51:03.375 2018,28.49336,-1
29,1.618675,Fri Aug 03 14:51:03.429 2018,28.48666,-1
30,1.668542,Fri Aug 03 14:51:03.479 2018,28.48648,-1
31,1.717412,Fri Aug 03 14:51:03.528 2018,28.47665,-1
32,1.769273,Fri Aug 03 14:51:03.580 2018,28.47112,-1
33,1.825124,Fri Aug 03 14:51:03.636 2018,28.45896,-1
34,1.883966,Fri Aug 03 14:51:03.695 2018,28.45909,-1
35,1.934831,Fri Aug 03 14:51:03.745 2018,28.46516,-1
36,1.986692,Fri Aug 03 14:51:03.797 2018,28.54495,-1
37,2.036559,Fri Aug 03 14:51:03.847 2018,28.54614,-1
38,2.087423,Fri Aug 03 14:51:03.898 2018,28.55471,-1
39,2.138287,Fri Aug 03 14:51:03.949 2018,28.55405,-1
40,2.194138,Fri Aug 03 14:51:04.005 2018,28.48201,-1
41,2.245002,Fri Aug 03 14:51:04.056 2018,28.48681,-1
42,2.295866,Fri Aug 03 14:51:04.106 2018,28.48672,-1
43,2.347728,Fri Aug 03 14:51:04.158 2018,28.48845,-1
44,2.3976,Fri Aug 03 14:51:04.208 2018,28.49133,-1
45,2.445466,Fri Aug 03 14:51:04.256 2018,28.49266,-1
46,2.495333,Fri Aug 03 14:51:04.306 2018,28.49797,-1
47,2.544202,Fri Aug 03 14:51:04.355 2018,28.50036,-1
48,2.597066,Fri Aug 03 14:51:04.408 2018,28.5003,-1
49,2.658896,Fri Aug 03 14:51:04.469 2018,28.49951,-1
51,2.753643,Fri Aug 03 14:51:04.564 2018,28.50174,-1
52,2.826448,Fri Aug 03 14:51:04.637 2018,28.51668,-1
53,2.875319,Fri Aug 03 14:51:04.686 2018,28.51964,-1
54,2.921195,Fri Aug 03 14:51:04.732 2018,28.52372,-1
55,2.971062,Fri Aug 03 14:51:04.782 2018,28.52746,-1
56,3.023923,Fri Aug 03 14:51:04.835 2018,28.52732,-1
57,3.073793,Fri Aug 03 14:51:04.884 2018,28.52738,-1
58,3.12366,Fri Aug 03 14:51:04.934 2018,28.5281,-1
59,3.176514,Fri Aug 03 14:51:04.987 2018,28.5231,-1
60,3.232364,Fri Aug 03 14:51:05.043 2018,28.52317,-1
61,3.286221,Fri Aug 03 14:51:05.097 2018,28.52441,-1
62,3.332098,Fri Aug 03 14:51:05.143 2018,28.52816,-1
63,3.383965,Fri Aug 03 14:51:05.195 2018,28.52728,-1
