SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2018,06,15,47064419,192,System,Unknown,0,Unsupported additional data : 00:00:01:01:00:00:00:00:00:00
0,2018,06,15,47075780,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,15,47076044,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,06,15,47077046,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,15,47078044,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2018,06,15,47090047,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,15,47091046,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,06,15,47091047,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,15,47092046,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2018,06,15,47095546,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,15,47096047,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,06,15,47096048,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,15,47098045,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2018,06,15,47119051,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,15,47119082,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,15,47119166,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,15,47120050,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,06,15,47122922,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,15,47123050,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2018,06,15,47126659,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,15,47127051,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,06,15,47131029,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,15,47131101,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,15,47133054,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,15,47134053,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2018,06,15,47134054,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,15,47134221,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,15,47137582,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,15,47138055,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,06,15,47139154,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,15,47141056,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2018,06,15,47149059,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,06,15,47452104,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2018,06,15,47478110,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,06,15,47783180,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2018,06,15,49667534,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,06,15,49968590,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2018,06,15,52928160,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,06,15,53116191,4352,Physiological,Unknown,0,Unsupported additional data : 68:0C:28:FF
0,2018,06,15,53426251,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2018,06,15,53541280,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,06,15,53545779,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,15,53545780,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,15,53546277,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,15,53546277,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,06,15,53546278,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,06,15,53546278,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,15,53546610,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
