Frame#,Time,Perspiration
0,0,0.008207162
2,0.1333547,0.003855341
3,0.2687144,0.0004871612
5,0.3990607,0.005953364
6,0.5334209,0.00661819
7,0.6677764,0.007383315
8,0.8191771,0.005002261
9,0.9349568,0.005006363
10,1.097227,0.004624163
11,1.202009,0.005414105
12,1.334361,0.004007547
13,1.476739,0.005107621
14,1.601072,0.0045689
15,1.733549,0.005856933
16,1.868581,0.005070517
17,1.999922,0.004377008
18,2.13428,0.004145436
19,2.26771,0.003931478
20,2.422119,0.003423264
21,2.536187,0.00362357
22,2.66904,0.004436255
23,2.801894,0.00361893
25,2.935749,0.004038164
26,3.067632,0.006442111
27,3.201989,0.003240974
29,3.339355,0.003240974
31,3.470268,0.00327195
32,3.603622,0.003791315
33,3.751014,0.00496001
35,3.870368,0.005762858
36,4.003722,0.004303519
37,4.136492,0.005383828
38,4.268974,0.004050586
39,4.402328,0.005094705
40,4.53932,0.004633768
41,4.671184,0.003739522
42,4.803534,0.003914927
43,4.93914,0.002781576
44,5.083021,0.004550747
45,5.203341,0.004228598
46,5.34121,0.004882024
47,5.471054,0.00365244
48,5.614934,0.004799985
49,5.739269,0.005485739
50,5.871618,0.00484325
51,6.004973,0.004137836
52,6.138307,0.002974053
53,6.271662,0.003625305
54,6.40602,0.003783552
55,6.542364,0.004333388
58,6.672631,0.004333388
60,6.805988,0.003880002
62,6.950372,0.003688829
63,7.072942,0.004520047
64,7.206281,0.005017302
65,7.34114,0.004878995
66,7.473899,0.003676595
67,7.607088,0.003460404
68,7.74394,0.004454052
69,7.874788,0.004152426
70,8.008142,0.006614937
71,8.016163,0.005519902
73,8.142966,0.00363641
74,8.274814,0.003071982
75,8.407166,0.005104741
76,8.543187,0.00823709
77,8.675042,0.008222251
78,8.811696,0.007138405
79,8.942544,0.00554405
80,9.074394,0.004008901
81,9.207749,0.00411069
82,9.343108,0.004399981
83,9.47572,0.006380415
84,9.608962,0.00402952
86,9.742316,0.005000019
87,9.876171,0.003977186
88,10.00954,0.003839999
89,10.14338,0.004153037
90,10.27449,0.005617669
91,10.41035,0.004922997
92,10.54821,0.004868042
93,10.67555,0.004114205
94,10.80935,0.007073566
95,10.95574,0.004253093
96,10.97228,0.005318833
97,11.07756,0.006010863
98,11.21092,0.00517896
99,11.3568,0.005097745
101,11.47718,0.004190472
102,11.61103,0.00574817
103,11.7479,0.005760011
104,11.88578,0.006382033
105,12.0116,0.006341842
106,12.14395,0.004294717
107,12.27804,0.0071054
108,12.41189,0.007769082
109,12.54675,0.01185308
110,12.6791,0.004884155
111,12.8265,0.006923598
112,12.94481,0.005638223
113,13.07766,0.005266755
114,13.21202,0.002477444
115,13.34838,0.005218362
116,13.48073,0.004061527
117,13.61259,0.004991936
118,13.74644,0.004172405
119,13.8813,0.005717954
120,14.02819,0.007028643
121,14.1465,0.005511087
122,14.27886,0.006427165
123,14.41271,0.006471501
124,14.54657,0.009599977
125,14.68036,0.004718571
126,14.81221,0.003689765
127,14.94958,0.003054556
128,15.07993,0.002770769
129,15.22782,0.002000028
130,15.34914,0.003519947
131,15.48151,0.002778994
132,15.61535,0.008171421
133,15.7472,0.005942853
134,15.89258,0.004977718
135,16.0144,0.008691943
136,16.14977,0.007700047
140,16.28377,0.003354835
257,27.09825,0.004689575
258,27.22659,0.004541907
259,27.35994,0.00501339
260,27.49229,0.004738502
261,27.62514,0.004171478
262,27.7585,0.005257122
263,27.89486,0.003711999
264,28.02622,0.004237871
266,28.29442,0.00489839
267,28.42689,0.004405459
268,28.56125,0.004992842
269,28.6946,0.004959963
270,28.82595,0.004857115
271,28.95979,0.00358616
272,29.09314,0.003143426
273,29.22851,0.003528195
274,29.36135,0.003096095
275,29.49522,0.004312416
276,29.62705,0.003977098
277,29.77946,0.004471749
278,29.89426,0.005087147
279,30.02913,0.004540551
280,30.164,0.003922583
281,30.31087,0.003748604
282,30.4307,0.002986671
283,30.56354,0.00445714
284,30.6954,0.004713515
285,30.83928,0.004884225
286,30.9616,0.005119983
287,31.09708,0.00427999
288,31.23093,0.005672725
291,31.36351,0.004202175
292,31.50589,0.005087131
297,31.63028,0.002677438
298,31.76288,0.005182072
299,31.89774,0.00555063
300,32.03009,0.006112811
301,32.16406,0.00619988
303,32.29691,0.004551102
304,32.43142,0.005310136
305,32.56482,0.003818601
306,32.69717,0.003747849
307,32.83083,0.003822109
308,32.96436,0.003719972
309,32.96687,0.003388265
310,33.10323,0.003123802
311,33.23272,0.004438647
312,33.36727,0.003619017
313,33.50065,0.004152004
314,33.63154,0.00467096
316,33.76521,0.005113768
317,33.89907,0.004977847
318,34.03192,0.005450011
319,34.16728,0.004474564
320,34.30064,0.006178491
321,34.43249,0.004078897
322,34.56699,0.005804597
323,34.69934,0.007002883
324,34.83319,0.005346779
326,34.98109,0.004909529
327,35.10141,0.004615228
328,35.23428,0.005227855
329,35.36773,0.004761836
330,35.51713,0.005618496
331,35.63445,0.004997831
332,35.76768,0.004313833
333,35.90956,0.004819502
335,36.0359,0.004509131
336,36.18029,0.004761546
337,36.30224,0.004640081
339,36.43666,0.005978889
340,36.5698,0.005083506
341,36.71318,0.003435335
342,36.83702,0.003377816
343,36.96837,0.003103562
344,37.1026,0.004064812
345,37.23565,0.004142513
346,37.36801,0.004719964
347,37.50254,0.004690916
348,37.63653,0.008153343
349,37.77029,0.008988778
350,37.91165,0.005304068
351,38.03698,0.007244301
352,38.17034,0.005945616
353,38.30396,0.003657179
354,38.4373,0.004653065
355,38.56962,0.004571394
356,38.70297,0.003619024
357,38.83633,0.006672237
358,38.9777,0.006254628
359,39.11909,0.006327326
361,39.23886,0.005999969
362,39.3698,0.007588535
363,39.50483,0.008977816
364,39.65774,0.005633751
366,39.77103,0.00575995
367,39.90439,0.005132354
368,40.05679,0.004139028
369,40.17337,0.004390682
370,40.30422,0.004660849
371,40.4391,0.003959975
372,40.57329,0.005006415
373,40.70614,0.004279124
374,40.83958,0.005232441
375,40.97211,0.00387246
376,41.10697,0.003276231
377,41.24083,0.003856352
378,41.37319,0.003076876
379,41.50605,0.003721737
380,41.6397,0.00584415
381,41.79252,0.007429875
383,41.90682,0.005625756
384,42.04318,0.005075193
385,42.17436,0.006237874
386,42.32676,0.004626926
387,42.44166,0.004207408
388,42.57309,0.004352004
389,42.70845,0.002433759
390,42.8637,0.00619119
391,42.97499,0.004455359
392,43.10735,0.003246402
393,43.24321,0.004524166
394,43.37419,0.006194843
395,43.50855,0.005784622
396,43.64199,0.005942807
397,43.77434,0.008078633
398,43.9081,0.006040025
399,44.04497,0.00466669
400,44.17623,0.006171301
401,44.32056,0.006782515
402,44.44847,0.007999931
403,44.5771,0.005391319
404,44.70995,0.006962971
405,44.84734,0.006415791
406,44.99712,0.005655825
408,45.11042,0.007184224
409,45.2498,0.007262945
410,45.25847,0.006124795
412,45.37679,0.002372245
413,45.51064,0.00641693
414,45.66075,0.005966704
415,45.77756,0.00453953
416,45.91142,0.004025239
417,46.04978,0.003591113
418,46.19216,0.005166681
419,46.31109,0.004690888
420,46.45115,0.006030803
421,46.57875,0.006303524
422,46.71161,0.006367352
423,46.84998,0.006800032
424,46.98008,0.006178876
425,47.11193,0.007330256
426,47.24983,0.007269473
427,47.39017,0.007630668
428,47.514,0.005955489
429,47.64912,0.005179645
430,47.78017,0.004553796
431,47.92255,0.00562425
432,48.05039,0.005632909
433,48.17923,0.005979069
434,48.31374,0.004488899
435,48.44998,0.006171587
436,48.58002,0.004611787
437,48.71388,0.006296787
438,48.85517,0.005935568
440,48.9805,0.004465685
441,49.11285,0.004858215
442,49.25297,0.00421819
443,49.38199,0.004846386
444,49.51435,0.00438257
445,49.6521,0.004063465
446,49.78745,0.003921593
447,49.9154,0.003747331
448,50.05305,0.004294789
449,50.18284,0.003395158
450,50.31556,0.00404702
451,50.45099,0.005075884
452,50.58183,0.004241863
453,50.71719,0.004430784
454,50.85305,0.005381854
455,50.98289,0.007610821
456,51.11575,0.006152171
457,51.25252,0.005911195
458,51.38329,0.004563014
459,51.51664,0.004800022
460,51.65261,0.004444453
461,51.78246,0.0046545
462,51.91631,0.006588968
463,52.06919,0.005456402
464,52.1855,0.00650916
465,52.19452,0.005251233
468,52.31785,0.005251233
469,52.45171,0.004530129
470,52.58377,0.004480013
471,52.71712,0.004713482
472,52.8536,0.003785398
473,52.98495,0.007529425
474,53.1188,0.005136828
475,53.25216,0.006459231
476,53.38401,0.005669102
477,53.51837,0.00661327
478,53.65273,0.003891333
479,53.78608,0.007291777
480,53.93547,0.00610907
481,54.05278,0.005506452
482,54.18514,0.005320512
483,54.31808,0.004696743
484,54.46063,0.004068627
485,54.58648,0.006694714
486,54.71984,0.00491851
487,54.85217,0.006298679
488,54.98553,0.005351092
489,55.13743,0.005947166
490,55.25274,0.006174099
491,55.38559,0.00621469
492,55.52095,0.006133338
493,55.6548,0.008475685
494,55.78565,0.007119937
495,55.92052,0.007053041
496,56.05487,0.00772001
497,56.18872,0.007893166
498,56.32184,0.006987182
499,56.4547,0.004427961
500,56.58855,0.00484325
501,56.72191,0.004640045
502,56.85526,0.004126304
503,56.98761,0.005903371
504,57.12097,0.004626933
505,57.25533,0.003999888
506,57.38918,0.004799923
507,57.52354,0.003879956
508,57.65639,0.003504712
509,57.78924,0.004524135
510,57.80629,0.004533359
512,57.9246,0.005362615
516,58.05743,0.005362615
517,58.18928,0.004297217
518,58.32209,0.004464214
519,58.45696,0.004483494
520,58.5893,0.004230113
521,58.72317,0.004833338
522,58.85703,0.005286953
523,59.01242,0.005887952
524,59.12322,0.004956071
525,59.25708,0.005933344
526,59.39394,0.005866775
528,59.52278,0.004715768
529,59.65764,0.003446155
530,59.79099,0.004322408
531,59.92435,0.005435606
532,60.05756,0.005625815
533,60.19192,0.007792554
535,60.32508,0.00719998
536,60.33611,0.00752718
538,60.45834,0.00752718
539,60.5912,0.007492565
540,60.72555,0.005810608
541,60.85817,0.005309126
542,60.99252,0.005288843
543,61.12598,0.005277699
544,61.25986,0.004708639
545,61.39221,0.003526031
546,61.53659,0.003705336
547,61.65956,0.003901398
