Time,RtoR
05/09/2018 10:05:13.428,496
,2173
,510
,1631
,743
,84
,437
,70
,322
,237
,213
,327
,470
,348
,54
,451
,252
,63
,357
,317
,1237
,50
,600
,402
,1703
,125
,1460
,202
,371
,267
,206
,191
,279
,545
,177
,842
,425
,435
,200
,370
,423
,192
,94
,394
,303
,440
,264
,184
,131
,377
,239
,244
,219
,295
,5995
,4711
,3116
,1046
,34
,201
,3384
,1093
,1060
,410
,184
,1713
,801
,173
,343
,567
,552
,670
,4639
,517
,2815
,1333
,652
,636
,635
,632
,639
,561
,214
,2924
,585
,391
,198
,582
,164
,414
,785
,134
,353
,240
,200
,240
,114
,986
,207
,94
,233
,218
,397
,584
,330
,1471
,1846
,7811
,1188
,290
,83
,468
,2972
,531
,55
,412
,817
,681
,79
,1285
,653
,77
,570
,145
,1004
,1981
,65
,3203
,173
,372
,2055
,151
,478
,2043
,396
,230
,315
,177
,150
,400
,205
,220
,188
,440
,49
,398
,77
,283
,276
,191
,3052
,194
,247
,457
,491
,353
,336
,239
,415
,580
,334
,71
,366
,257
,200
,143
,258
,940
,134
,331
,94
,644
,10892
,327
,261
,345
,115
,362
,250
,468
,314
,142
,150
,2970
,4875
,6836
,1284
,622
,1335
,154
,409
,703
,456
,582
,668
,1944
,624
,617
,445
,836
,539
,1212
,622
,714
,547
,621
,635
,621
,386
,862
,146
,900
,718
,72
,722
,489
,959
,115
,233
,505
,701
,556
,660
,78
,2313
,882
,235
,284
,83
,350
,224
,400
,655
,127
,2064
,858
,158
,2729
,379
,187
,1616
,375
,86
,2241
,559
,3749
,800
,2963
,633
,577
,587
,731
,119
,1515
,379
,1377
,74
,583
,583
,331
,820
,580
,678
,475
,567
,127
,442
,928
,167
,3369
,564
,602
,319
,155
,669
,573
,570
,637
,494
,557
,567
,598
,612
,1285
,669
,650
,609
,598
,596
,593
,592
,581
,576
,577
,604
,601
,630
,638
,615
,607
,606
,661
,659
,646
,642
,623
,582
,597
,577
,563
,556
,575
,569
