SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2018,06,28,55470688,192,System,Unknown,0,Unsupported additional data : 00:00:01:01:00:00:00:00:00:00
0,2018,06,28,55473063,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,28,55474061,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,06,28,55474062,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,28,55475062,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2018,06,28,55497070,4416,Physiological,Unknown,0,Unsupported additional data : 68:00
0,2018,06,28,55503403,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,28,55504068,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,06,28,55517835,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,28,55518074,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,06,28,55518075,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,28,55519073,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2018,06,28,55520075,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,28,55525074,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2018,06,28,55529189,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,28,55530076,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,06,28,55597888,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,28,55597889,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,28,55598024,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,28,55598033,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,28,55601586,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,28,55602094,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,06,28,55603411,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,28,55604100,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2018,06,28,55604748,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,28,55607076,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,28,55612057,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,28,55613102,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,06,28,55613342,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,28,55614103,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2018,06,28,55616041,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,28,55616197,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,28,55616401,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,28,55620105,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2018,06,28,55626106,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,06,28,55627106,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,06,28,55630107,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,06,28,55934165,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2018,06,28,61026061,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,06,28,61414670,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,28,61415133,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,06,28,61415134,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
