Time,BreathingWaveform
07/07/2018 16:08:18.429,7330680
07/07/2018 16:08:18.469,7328694
07/07/2018 16:08:18.509,7328694
07/07/2018 16:08:18.549,7329509
07/07/2018 16:08:18.589,7329509
07/07/2018 16:08:18.629,7329916
07/07/2018 16:08:18.669,7329763
07/07/2018 16:08:18.709,7329763
07/07/2018 16:08:18.749,7329661
07/07/2018 16:08:18.789,7329051
07/07/2018 16:08:18.829,7328389
07/07/2018 16:08:18.869,7328440
07/07/2018 16:08:18.909,7329611
07/07/2018 16:08:18.949,7330069
07/07/2018 16:08:18.989,7330272
07/07/2018 16:08:19.029,7329000
07/07/2018 16:08:19.069,7327727
07/07/2018 16:08:19.109,7322890
07/07/2018 16:08:19.149,7313777
07/07/2018 16:08:19.189,7308024
07/07/2018 16:08:19.229,7308584
07/07/2018 16:08:19.269,7308737
07/07/2018 16:08:19.309,7310723
07/07/2018 16:08:19.349,7312097
07/07/2018 16:08:19.389,7304206
07/07/2018 16:08:19.429,7285216
07/07/2018 16:08:19.469,7258692
07/07/2018 16:08:19.509,7250597
07/07/2018 16:08:19.549,7247033
07/07/2018 16:08:19.589,7244742
07/07/2018 16:08:19.629,7244029
07/07/2018 16:08:19.669,7251564
07/07/2018 16:08:19.709,7263936
07/07/2018 16:08:19.749,7270198
07/07/2018 16:08:19.789,7268263
07/07/2018 16:08:19.829,7262103
07/07/2018 16:08:19.869,7254772
07/07/2018 16:08:19.909,7249630
07/07/2018 16:08:19.949,7249273
07/07/2018 16:08:19.989,7248102
07/07/2018 16:08:20.029,7244386
07/07/2018 16:08:20.069,7237360
07/07/2018 16:08:20.109,7233338
07/07/2018 16:08:20.149,7230538
07/07/2018 16:08:20.189,7228909
07/07/2018 16:08:20.229,7226873
07/07/2018 16:08:20.269,7225040
07/07/2018 16:08:20.309,7224276
07/07/2018 16:08:20.349,7226618
07/07/2018 16:08:20.389,7226771
07/07/2018 16:08:20.429,7227483
07/07/2018 16:08:20.469,7226465
