Frame#,Time,Timestamp,Perspiration
0,0,Tue Jun 26 10:49:50.492 2018,0.01097153
1,0.134,Tue Jun 26 10:49:50.626 2018,0.01745423
2,0.267,Tue Jun 26 10:49:50.759 2018,0.01454415
3,0.408,Tue Jun 26 10:49:50.900 2018,0.01314725
4,0.533,Tue Jun 26 10:49:51.025 2018,0.0118182
5,0.67,Tue Jun 26 10:49:51.162 2018,0.007869485
6,0.802,Tue Jun 26 10:49:51.294 2018,0.008730226
7,0.934,Tue Jun 26 10:49:51.426 2018,0.008791529
8,1.069,Tue Jun 26 10:49:51.561 2018,0.009182478
9,1.2,Tue Jun 26 10:49:51.692 2018,0.01133956
10,1.334,Tue Jun 26 10:49:51.826 2018,0.009085037
11,1.469,Tue Jun 26 10:49:51.961 2018,0.008674799
12,1.6,Tue Jun 26 10:49:52.092 2018,0.009169297
13,1.734,Tue Jun 26 10:49:52.226 2018,0.01120412
14,1.869,Tue Jun 26 10:49:52.361 2018,0.01643175
15,2.001,Tue Jun 26 10:49:52.493 2018,0.01602677
16,2.135,Tue Jun 26 10:49:52.627 2018,0.02405727
17,2.268,Tue Jun 26 10:49:52.760 2018,0.01419938
18,2.402,Tue Jun 26 10:49:52.894 2018,0.0163156
19,2.538,Tue Jun 26 10:49:53.030 2018,0.02819733
20,2.67,Tue Jun 26 10:49:53.162 2018,0.05204525
21,2.801,Tue Jun 26 10:49:53.293 2018,0.03096231
22,2.935,Tue Jun 26 10:49:53.427 2018,0.03671063
23,3.069,Tue Jun 26 10:49:53.561 2018,0.02067076
24,3.203,Tue Jun 26 10:49:53.695 2018,0.03531051
25,3.336,Tue Jun 26 10:49:53.828 2018,0.04887075
26,3.48,Tue Jun 26 10:49:53.972 2018,0.04411976
27,3.604,Tue Jun 26 10:49:54.096 2018,0.06487684
28,3.737,Tue Jun 26 10:49:54.229 2018,0.053335
29,3.869,Tue Jun 26 10:49:54.361 2018,0.07616057
30,4.004,Tue Jun 26 10:49:54.496 2018,0.05849336
31,4.138,Tue Jun 26 10:49:54.630 2018,0.09104226
32,4.271,Tue Jun 26 10:49:54.763 2018,0.03225861
33,4.404,Tue Jun 26 10:49:54.896 2018,0.04697949
34,4.538,Tue Jun 26 10:49:55.030 2018,0.02742187
35,4.679,Tue Jun 26 10:49:55.171 2018,0.02312945
36,4.805,Tue Jun 26 10:49:55.297 2018,0.01218528
37,4.938,Tue Jun 26 10:49:55.430 2018,0.01581277
38,5.073,Tue Jun 26 10:49:55.565 2018,0.02145006
39,5.204,Tue Jun 26 10:49:55.696 2018,0.02515915
40,5.338,Tue Jun 26 10:49:55.830 2018,0.02301587
41,5.472,Tue Jun 26 10:49:55.964 2018,0.02331283
42,5.608,Tue Jun 26 10:49:56.100 2018,0.01667288
43,5.738,Tue Jun 26 10:49:56.230 2018,0.01192581
44,5.872,Tue Jun 26 10:49:56.364 2018,0.01793319
45,6.006,Tue Jun 26 10:49:56.498 2018,0.02337164
46,6.138,Tue Jun 26 10:49:56.630 2018,0.02311932
47,6.273,Tue Jun 26 10:49:56.765 2018,0.01377882
48,6.406,Tue Jun 26 10:49:56.898 2018,0.01903044
49,6.54,Tue Jun 26 10:49:57.032 2018,0.02020844
50,6.673,Tue Jun 26 10:49:57.165 2018,0.01154445
51,6.806,Tue Jun 26 10:49:57.298 2018,0.01060328
52,6.941,Tue Jun 26 10:49:57.433 2018,0.01939091
53,7.075,Tue Jun 26 10:49:57.567 2018,0.007783786
54,7.207,Tue Jun 26 10:49:57.699 2018,0.01251937
55,7.341,Tue Jun 26 10:49:57.833 2018,0.01906321
56,7.476,Tue Jun 26 10:49:57.968 2018,0.01408075
57,7.61,Tue Jun 26 10:49:58.102 2018,0.004938372
58,7.74,Tue Jun 26 10:49:58.232 2018,0.0062596
59,7.877,Tue Jun 26 10:49:58.369 2018,0.006854539
60,8.008,Tue Jun 26 10:49:58.500 2018,0.006713153
61,8.142,Tue Jun 26 10:49:58.634 2018,0.002219393
62,8.278,Tue Jun 26 10:49:58.770 2018,0.003259718
63,8.408,Tue Jun 26 10:49:58.900 2018,0.008123205
64,8.542,Tue Jun 26 10:49:59.034 2018,0.004682321
65,8.675,Tue Jun 26 10:49:59.167 2018,0.01479523
