SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2018,07,07,48964428,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2018,07,07,48968052,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,07,07,48976052,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2018,07,07,49026053,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,07,07,49027052,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2018,07,07,49027053,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,07,07,49028052,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,07,07,49030053,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,07,07,49031052,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2018,07,07,49034053,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,07,07,49037052,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,07,07,49039053,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,07,07,49040052,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2018,07,07,49050960,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,07,07,49052760,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,07,07,49054092,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,07,07,49055052,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2018,07,07,49067052,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,07,07,49432051,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2018,07,07,53628051,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,07,07,54253053,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,07,07,54259134,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,07,07,54260054,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
