#KeystrokeID,Time,Timestamp,IsKeyDown,Key
0,194.56,Mon Jul 30 10:49:18.621 2018,0,LSHIFT
1,195.061,Mon Jul 30 10:49:19.122 2018,0,LSHIFT
2,195.064,Mon Jul 30 10:49:19.125 2018,1,LSHIFT
3,205.008,Mon Jul 30 10:49:29.069 2018,0,LSHIFT
4,205.508,Mon Jul 30 10:49:29.569 2018,0,LSHIFT
5,205.54,Mon Jul 30 10:49:29.602 2018,0,LSHIFT
6,205.573,Mon Jul 30 10:49:29.635 2018,0,LSHIFT
7,205.606,Mon Jul 30 10:49:29.667 2018,0,LSHIFT
8,205.639,Mon Jul 30 10:49:29.700 2018,0,LSHIFT
9,205.672,Mon Jul 30 10:49:29.733 2018,0,LSHIFT
10,205.688,Mon Jul 30 10:49:29.748 2018,0,KEY_T
11,205.768,Mon Jul 30 10:49:29.829 2018,1,KEY_T
12,205.816,Mon Jul 30 10:49:29.877 2018,1,LSHIFT
13,205.92,Mon Jul 30 10:49:29.981 2018,0,KEY_H
14,206.024,Mon Jul 30 10:49:30.084 2018,1,KEY_H
15,206.072,Mon Jul 30 10:49:30.132 2018,0,KEY_E
16,206.144,Mon Jul 30 10:49:30.205 2018,1,KEY_E
17,206.147,Mon Jul 30 10:49:30.208 2018,0,SPACE
18,206.224,Mon Jul 30 10:49:30.285 2018,1,SPACE
19,206.352,Mon Jul 30 10:49:30.413 2018,0,KEY_B
20,206.432,Mon Jul 30 10:49:30.492 2018,0,KEY_E
21,206.488,Mon Jul 30 10:49:30.549 2018,1,KEY_B
22,206.544,Mon Jul 30 10:49:30.605 2018,0,KEY_S
23,206.624,Mon Jul 30 10:49:30.685 2018,0,KEY_T
24,206.664,Mon Jul 30 10:49:30.725 2018,1,KEY_E
25,206.712,Mon Jul 30 10:49:30.773 2018,1,KEY_S
26,206.784,Mon Jul 30 10:49:30.844 2018,1,KEY_T
27,206.789,Mon Jul 30 10:49:30.849 2018,0,SPACE
28,206.904,Mon Jul 30 10:49:30.965 2018,1,SPACE
29,206.936,Mon Jul 30 10:49:30.997 2018,0,KEY_W
30,207.064,Mon Jul 30 10:49:31.125 2018,0,KEY_A
31,207.104,Mon Jul 30 10:49:31.165 2018,1,KEY_W
32,207.248,Mon Jul 30 10:49:31.309 2018,1,KEY_A
33,207.336,Mon Jul 30 10:49:31.397 2018,0,KEY_Y
34,207.448,Mon Jul 30 10:49:31.509 2018,1,KEY_Y
35,207.728,Mon Jul 30 10:49:31.789 2018,0,SPACE
36,207.856,Mon Jul 30 10:49:31.916 2018,1,SPACE
37,207.88,Mon Jul 30 10:49:31.940 2018,0,KEY_F
38,207.968,Mon Jul 30 10:49:32.028 2018,1,KEY_F
39,208.064,Mon Jul 30 10:49:32.125 2018,0,KEY_I
40,208.152,Mon Jul 30 10:49:32.213 2018,0,KEY_R
41,208.176,Mon Jul 30 10:49:32.237 2018,1,KEY_I
42,208.248,Mon Jul 30 10:49:32.308 2018,1,KEY_R
43,208.296,Mon Jul 30 10:49:32.356 2018,0,SPACE
44,208.424,Mon Jul 30 10:49:32.485 2018,1,SPACE
45,208.8,Mon Jul 30 10:49:32.861 2018,0,BACK
46,208.872,Mon Jul 30 10:49:32.933 2018,1,BACK
47,208.976,Mon Jul 30 10:49:33.037 2018,0,BACK
48,209.008,Mon Jul 30 10:49:33.068 2018,1,BACK
49,209.144,Mon Jul 30 10:49:33.205 2018,0,BACK
50,209.216,Mon Jul 30 10:49:33.277 2018,1,BACK
51,209.344,Mon Jul 30 10:49:33.405 2018,0,KEY_O
52,209.472,Mon Jul 30 10:49:33.532 2018,1,KEY_O
53,209.487,Mon Jul 30 10:49:33.547 2018,0,KEY_R
54,209.592,Mon Jul 30 10:49:33.653 2018,1,KEY_R
55,209.656,Mon Jul 30 10:49:33.717 2018,0,SPACE
56,209.752,Mon Jul 30 10:49:33.812 2018,1,SPACE
57,209.792,Mon Jul 30 10:49:33.852 2018,0,KEY_S
58,209.912,Mon Jul 30 10:49:33.973 2018,1,KEY_S
59,210.024,Mon Jul 30 10:49:34.085 2018,0,KEY_C
60,210.056,Mon Jul 30 10:49:34.117 2018,1,KEY_C
61,210.328,Mon Jul 30 10:49:34.389 2018,0,BACK
62,210.432,Mon Jul 30 10:49:34.493 2018,1,BACK
63,210.472,Mon Jul 30 10:49:34.533 2018,0,KEY_I
64,210.485,Mon Jul 30 10:49:34.545 2018,0,KEY_O
65,210.512,Mon Jul 30 10:49:34.572 2018,1,KEY_I
66,210.64,Mon Jul 30 10:49:34.701 2018,1,KEY_O
67,210.832,Mon Jul 30 10:49:34.893 2018,0,BACK
68,210.888,Mon Jul 30 10:49:34.948 2018,1,BACK
69,210.984,Mon Jul 30 10:49:35.045 2018,0,BACK
70,211.117,Mon Jul 30 10:49:35.178 2018,0,KEY_O
71,211.128,Mon Jul 30 10:49:35.189 2018,1,BACK
72,211.16,Mon Jul 30 10:49:35.221 2018,1,KEY_O
73,211.173,Mon Jul 30 10:49:35.234 2018,0,KEY_C
74,211.296,Mon Jul 30 10:49:35.356 2018,1,KEY_C
75,211.48,Mon Jul 30 10:49:35.541 2018,0,KEY_I
76,211.6,Mon Jul 30 10:49:35.660 2018,1,KEY_I
77,211.624,Mon Jul 30 10:49:35.684 2018,0,KEY_E
78,211.736,Mon Jul 30 10:49:35.797 2018,1,KEY_E
79,211.848,Mon Jul 30 10:49:35.909 2018,0,KEY_T
80,211.96,Mon Jul 30 10:49:36.021 2018,1,KEY_T
81,212.08,Mon Jul 30 10:49:36.140 2018,0,KEY_Y
82,212.24,Mon Jul 30 10:49:36.301 2018,1,KEY_Y
83,212.256,Mon Jul 30 10:49:36.317 2018,0,SPACE
84,212.336,Mon Jul 30 10:49:36.397 2018,1,SPACE
85,212.4,Mon Jul 30 10:49:36.460 2018,0,KEY_T
86,212.536,Mon Jul 30 10:49:36.597 2018,1,KEY_T
87,212.541,Mon Jul 30 10:49:36.602 2018,0,KEY_O
88,212.648,Mon Jul 30 10:49:36.709 2018,1,KEY_O
89,212.696,Mon Jul 30 10:49:36.757 2018,0,SPACE
90,212.792,Mon Jul 30 10:49:36.852 2018,1,SPACE
91,212.928,Mon Jul 30 10:49:36.989 2018,0,KEY_I
92,213.056,Mon Jul 30 10:49:37.117 2018,0,KEY_N
93,213.128,Mon Jul 30 10:49:37.188 2018,1,KEY_I
94,213.184,Mon Jul 30 10:49:37.244 2018,1,KEY_N
95,213.224,Mon Jul 30 10:49:37.284 2018,0,KEY_S
96,213.352,Mon Jul 30 10:49:37.413 2018,1,KEY_S
97,213.464,Mon Jul 30 10:49:37.525 2018,0,KEY_T
98,213.592,Mon Jul 30 10:49:37.652 2018,1,KEY_T
99,213.598,Mon Jul 30 10:49:37.659 2018,0,KEY_I
100,213.704,Mon Jul 30 10:49:37.765 2018,1,KEY_I
101,213.792,Mon Jul 30 10:49:37.853 2018,0,KEY_L
102,213.856,Mon Jul 30 10:49:37.916 2018,1,KEY_L
103,213.968,Mon Jul 30 10:49:38.028 2018,0,KEY_L
104,214.088,Mon Jul 30 10:49:38.149 2018,1,KEY_L
105,216.128,Mon Jul 30 10:49:40.188 2018,0,SPACE
106,216.24,Mon Jul 30 10:49:40.301 2018,1,SPACE
107,217.44,Mon Jul 30 10:49:41.501 2018,0,KEY_A
108,217.544,Mon Jul 30 10:49:41.605 2018,1,KEY_A
109,217.568,Mon Jul 30 10:49:41.629 2018,0,SPACE
