Time,Timestamp,LeftClick,RightClick,LeftSide,RightSide
4.173,Tue Jul 03 01:43:18.117 2018,0,0,0,0,
4.198,Tue Jul 03 01:43:18.141 2018,0,0,0,0,
4.223,Tue Jul 03 01:43:18.166 2018,0,0,0,0,
4.248,Tue Jul 03 01:43:18.191 2018,0,0,0,0,
4.273,Tue Jul 03 01:43:18.216 2018,0,0,0,0,
4.299,Tue Jul 03 01:43:18.243 2018,0,0,0,0,
4.324,Tue Jul 03 01:43:18.268 2018,0,0,0,0,
4.349,Tue Jul 03 01:43:18.293 2018,0,0,0,0,
4.374,Tue Jul 03 01:43:18.318 2018,0,0,0,0,
4.399,Tue Jul 03 01:43:18.343 2018,0,0,0,0,
4.424,Tue Jul 03 01:43:18.368 2018,0,0,0,0,
4.449,Tue Jul 03 01:43:18.393 2018,0,0,0,0,
4.467,Tue Jul 03 01:43:18.411 2018,0,0,0,0,
4.469,Tue Jul 03 01:43:18.412 2018,0,0,0,0,
4.472,Tue Jul 03 01:43:18.415 2018,0,0,0,0,
4.474,Tue Jul 03 01:43:18.417 2018,0,0,0,0,
4.476,Tue Jul 03 01:43:18.419 2018,0,0,0,0,
4.479,Tue Jul 03 01:43:18.422 2018,0,0,0,0,
4.481,Tue Jul 03 01:43:18.424 2018,0,0,0,0,
4.484,Tue Jul 03 01:43:18.427 2018,0,0,0,0,
4.486,Tue Jul 03 01:43:18.429 2018,0,0,0,0,
4.488,Tue Jul 03 01:43:18.431 2018,0,0,0,0,
4.491,Tue Jul 03 01:43:18.434 2018,0,0,0,0,
4.508,Tue Jul 03 01:43:18.451 2018,0,0,0,0,
4.558,Tue Jul 03 01:43:18.501 2018,0,0,0,0,
4.583,Tue Jul 03 01:43:18.526 2018,0,0,0,0,
4.608,Tue Jul 03 01:43:18.551 2018,0,0,0,0,
4.633,Tue Jul 03 01:43:18.576 2018,0,0,0,0,
4.657,Tue Jul 03 01:43:18.600 2018,0,0,0,0,
4.66,Tue Jul 03 01:43:18.604 2018,0,0,0,0,
4.663,Tue Jul 03 01:43:18.607 2018,0,0,0,0,
4.666,Tue Jul 03 01:43:18.610 2018,0,0,0,0,
4.669,Tue Jul 03 01:43:18.613 2018,0,0,0,0,
4.672,Tue Jul 03 01:43:18.616 2018,0,0,0,0,
4.675,Tue Jul 03 01:43:18.619 2018,0,0,0,0,
4.678,Tue Jul 03 01:43:18.621 2018,0,0,0,0,
4.68,Tue Jul 03 01:43:18.624 2018,0,0,0,0,
4.682,Tue Jul 03 01:43:18.626 2018,0,0,0,0,
4.684,Tue Jul 03 01:43:18.628 2018,0,0,0,0,
4.688,Tue Jul 03 01:43:18.631 2018,0,0,0,0,
4.69,Tue Jul 03 01:43:18.634 2018,0,0,0,0,
4.701,Tue Jul 03 01:43:18.645 2018,0,0,0,0,
4.726,Tue Jul 03 01:43:18.670 2018,0,0,0,0,
4.752,Tue Jul 03 01:43:18.696 2018,0,0,0,0,
4.776,Tue Jul 03 01:43:18.720 2018,0,0,0,0,
4.801,Tue Jul 03 01:43:18.745 2018,0,0,0,0,
4.826,Tue Jul 03 01:43:18.770 2018,0,0,0,0,
4.851,Tue Jul 03 01:43:18.794 2018,0,0,0,0,
4.876,Tue Jul 03 01:43:18.820 2018,0,0,0,0,
4.901,Tue Jul 03 01:43:18.845 2018,0,0,0,0,
4.926,Tue Jul 03 01:43:18.870 2018,0,0,0,0,
4.951,Tue Jul 03 01:43:18.895 2018,0,0,0,0,
4.976,Tue Jul 03 01:43:18.920 2018,0,0,0,0,
5.001,Tue Jul 03 01:43:18.945 2018,0,0,0,0,
5.026,Tue Jul 03 01:43:18.970 2018,0,0,0,0,
5.033,Tue Jul 03 01:43:18.976 2018,0,0,0,0,
5.035,Tue Jul 03 01:43:18.979 2018,0,0,0,0,
5.038,Tue Jul 03 01:43:18.981 2018,0,0,0,0,
5.04,Tue Jul 03 01:43:18.984 2018,0,0,0,0,
5.043,Tue Jul 03 01:43:18.986 2018,0,0,0,0,
5.045,Tue Jul 03 01:43:18.988 2018,0,0,0,0,
5.047,Tue Jul 03 01:43:18.991 2018,0,0,0,0,
5.051,Tue Jul 03 01:43:18.994 2018,0,0,0,0,
5.053,Tue Jul 03 01:43:18.997 2018,0,0,0,0,
5.055,Tue Jul 03 01:43:18.999 2018,0,0,0,0,
5.058,Tue Jul 03 01:43:19.001 2018,0,0,0,0,
5.06,Tue Jul 03 01:43:19.004 2018,0,0,0,0,
5.073,Tue Jul 03 01:43:19.017 2018,0,0,0,0,
5.098,Tue Jul 03 01:43:19.042 2018,0,0,0,0,
5.123,Tue Jul 03 01:43:19.067 2018,0,0,0,0,
5.148,Tue Jul 03 01:43:19.092 2018,0,0,0,0,
5.173,Tue Jul 03 01:43:19.117 2018,0,0,0,0,
5.198,Tue Jul 03 01:43:19.142 2018,0,0,0,0,
5.224,Tue Jul 03 01:43:19.167 2018,0,0,0,0,
5.249,Tue Jul 03 01:43:19.192 2018,0,0,0,0,
5.274,Tue Jul 03 01:43:19.217 2018,0,0,0,0,
5.299,Tue Jul 03 01:43:19.242 2018,0,0,0,0,
5.324,Tue Jul 03 01:43:19.267 2018,0,0,0,0,
5.349,Tue Jul 03 01:43:19.292 2018,0,0,0,0,
5.374,Tue Jul 03 01:43:19.317 2018,0,0,0,0,
5.399,Tue Jul 03 01:43:19.343 2018,0,0,0,0,
5.405,Tue Jul 03 01:43:19.349 2018,0,0,0,0,
5.408,Tue Jul 03 01:43:19.351 2018,0,0,0,0,
5.41,Tue Jul 03 01:43:19.354 2018,0,0,0,0,
5.413,Tue Jul 03 01:43:19.356 2018,0,0,0,0,
5.415,Tue Jul 03 01:43:19.359 2018,0,0,0,0,
5.418,Tue Jul 03 01:43:19.362 2018,0,0,0,0,
5.421,Tue Jul 03 01:43:19.365 2018,0,0,0,0,
5.424,Tue Jul 03 01:43:19.367 2018,0,0,0,0,
5.426,Tue Jul 03 01:43:19.370 2018,0,0,0,0,
5.428,Tue Jul 03 01:43:19.372 2018,0,0,0,0,
5.431,Tue Jul 03 01:43:19.374 2018,0,0,0,0,
5.433,Tue Jul 03 01:43:19.377 2018,0,0,0,0,
5.436,Tue Jul 03 01:43:19.380 2018,0,0,0,0,
5.449,Tue Jul 03 01:43:19.393 2018,0,0,0,0,
5.474,Tue Jul 03 01:43:19.418 2018,0,0,0,0,
5.499,Tue Jul 03 01:43:19.443 2018,0,0,0,0,
5.524,Tue Jul 03 01:43:19.468 2018,0,0,0,0,
5.549,Tue Jul 03 01:43:19.493 2018,0,0,0,0,
5.574,Tue Jul 03 01:43:19.518 2018,0,0,0,0,
5.598,Tue Jul 03 01:43:19.541 2018,0,0,0,0,
5.602,Tue Jul 03 01:43:19.545 2018,0,0,0,0,
5.605,Tue Jul 03 01:43:19.548 2018,0,0,0,0,
5.609,Tue Jul 03 01:43:19.552 2018,0,0,0,0,
5.612,Tue Jul 03 01:43:19.555 2018,0,0,0,0,
5.615,Tue Jul 03 01:43:19.559 2018,0,0,0,0,
5.619,Tue Jul 03 01:43:19.562 2018,0,0,0,0,
