SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2018,07,17,57678440,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2018,07,17,57678906,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,07,17,57679065,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2018,07,17,57682306,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,07,17,57683066,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,07,17,57686066,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,07,17,57688067,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,07,17,57694067,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,07,17,57695066,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,07,17,57697066,4416,Physiological,DashAlgorithm,0,40 Yard Dash Test Detected - Activity 0.5g
0,2018,07,17,57698066,4416,Physiological,DashAlgorithm,0,40 Yard Dash Test Detected - Activity 0.73g
0,2018,07,17,57700067,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,07,17,57701065,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2018,07,17,57701066,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,07,17,57702066,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,07,17,57702067,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,07,17,57703066,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
