"CovertedTime","Time","NR_Perspiration","Perspiration","HR_z","BR_z","Session","EDA_i","HR_i","EDA_l","HR_l"
2018-06-22 11:35:42,36,"0.00354388100332352","0.00447208063636364",83,12.2,"RestingBaseline",0.28469025,88.68,0.3113445,85.78
2018-06-22 11:35:43,37,"0.00354252138058335","0.00298623117857143",82,12.8,"RestingBaseline",0.2875725,88.7,0.31006325,85.8
2018-06-22 11:35:44,38,"0.003540840570954","0.0028407685",81,12.8,"RestingBaseline",0.28437,88.72,0.30974275,85.83
2018-06-22 11:35:45,39,"0.00353899740408663","0.0032380336",79,13.3,"RestingBaseline",0.2875725,88.73,0.30974275,85.83
2018-06-22 11:35:46,40,"0.00353706275825865","0.00405801943333333",82,13.3,"RestingBaseline",0.28437,88.72,0.309743,85.83
2018-06-22 11:35:47,41,"0.00353505220974474","0.00402036353333333",87,13.5,"RestingBaseline",0.2862915,88.72,0.3094225,85.83
2018-06-22 11:35:48,42,"0.0035329809007412","0.00246531003333333",85,13.5,"RestingBaseline",0.2850105,88.7,0.3094225,85.87
2018-06-22 11:35:49,43,"0.0035308631087952","0.00302517263333333",81,13.9,"RestingBaseline",0.2930165,88.67,0.3103835,85.9
2018-06-22 11:35:50,44,"0.00352871187822645","0.00293154423333333",77,13.9,"RestingBaseline",0.2850105,88.65,0.3094225,86
2018-06-22 11:35:51,45,"0.00352653873777394","0.00483696083333333",74,14.6,"RestingBaseline",0.28853325,88.6,0.309743,86.02
2018-06-22 11:35:52,46,"0.00352442648961714","0.00234327725",73,14.6,"RestingBaseline",0.285651,88.5,0.30910225,86
2018-06-22 11:35:53,47,"0.00352227377006541","0.00282763451612903",73,15,"RestingBaseline",0.288213,88.35,0.3094225,85.98
2018-06-22 11:35:54,48,"0.00352008667337715","0.00254053731034483",75,15,"RestingBaseline",0.2862915,88.17,0.30910225,85.95
2018-06-22 11:35:55,49,"0.00351794289741528","0.00259745616666667",78,15.3,"RestingBaseline",0.28789275,87.95,0.30910225,85.9
2018-06-22 11:35:56,50,"0.00351577329021475","0.00334310486666667",78,15.3,"RestingBaseline",0.286932,87.82,0.30910225,85.83
2018-06-22 11:35:57,51,"0.00351390332787341","0.00530004659090909",78,15.5,"RestingBaseline",0.28853325,87.65,0.309743,85.7
2018-06-22 11:35:58,52,"0.00351204528741595","0.0034132652",80,15.5,"RestingBaseline",0.286932,87.45,0.30846175,85.53
2018-06-22 11:35:59,53,"0.00350991673541279","0.00371361403333333",80,15.8,"RestingBaseline",0.28853325,87.23,0.30846175,85.35
2018-06-22 11:36:00,54,"0.00350780683929388","0.00532876306666667",79,15.8,"RestingBaseline",0.288213,87.03,0.30846175,85.17
2018-06-22 11:36:01,55,"0.00350571792919563","0.0035792436",80,15.7,"RestingBaseline",0.286932,86.85,0.3081415,84.98
2018-06-22 11:36:02,56,"0.00350365299117067","0.00396136383333333",81,15.7,"RestingBaseline",0.28981425,86.58,0.308782,84.72
2018-06-22 11:36:03,57,"0.00350161585080696","0.00554197743333333",79,15.9,"RestingBaseline",0.28661175,86.35,0.307501,84.48
2018-06-22 11:36:04,58,"0.00349961126383506","0.00291999143333333",79,15.9,"RestingBaseline",0.289494,86.12,0.3081415,84.25
2018-06-22 11:36:05,59,"0.00349764491265536","0.0036131008",80,16.1,"RestingBaseline",0.2888535,85.92,0.3091025,84.03
2018-06-22 11:36:06,60,"0.00349572331579361","0.0031433412",79,16.1,"RestingBaseline",0.28853325,85.72,0.30782125,83.83
2018-06-22 11:36:07,61,"0.00349385366395745","0.00269662253333333",79,16.3,"RestingBaseline",0.28917375,85.6,0.30846175,83.63
2018-06-22 11:36:08,62,"0.00349204360100704","0.00377617023333333",81,16.3,"RestingBaseline",0.288213,85.48,0.30782125,83.43
2018-06-22 11:36:09,63,"0.00349030097044939","0.00326633573333333",81,16.5,"RestingBaseline",0.28981425,85.42,0.3081415,83.23
2018-06-22 11:36:10,64,"0.00348863354801825","0.00249526913333333",80,16.5,"RestingBaseline",0.2888535,85.3,0.3091025,83.03
2018-06-22 11:36:11,65,"0.00348704877880099","0.003255694",78,16.3,"RestingBaseline",0.2904545,85.17,0.3068605,82.82
2018-06-22 11:36:12,66,"0.00348557742554139","0.00319643844827586",79,16.3,"RestingBaseline",0.28853325,84.98,0.30782125,82.58
2018-06-22 11:36:13,67,"0.00348419895324142","0.00403313973333333",81,16.5,"RestingBaseline",0.2888535,84.82,0.30718075,82.35
2018-06-22 11:36:14,68,"0.00348289661098033","0.00221504943333333",82,16.5,"RestingBaseline",0.2907745,84.6,0.30718075,82.12
2018-06-22 11:36:15,69,"0.00348169888784038","0.0036086093",81,16.4,"RestingBaseline",0.289494,84.32,0.30654025,81.87
2018-06-22 11:36:16,70,"0.00348060862266491","0.00282534136666667",82,16.4,"RestingBaseline",0.29109475,84,0.30718075,81.7
2018-06-22 11:36:17,71,"0.00347962737138377","0.0054978362",82,16.5,"RestingBaseline",0.289494,83.62,0.30814175,81.47
2018-06-22 11:36:18,72,"0.00347875536373096","0.00329588876666667",82,16.5,"RestingBaseline",0.29109475,83.25,0.30718075,81.25
2018-06-22 11:36:19,73,"0.00347799148818533","0.00343163063333333",84,16.4,"RestingBaseline",0.2907745,82.85,0.3068605,81.1
2018-06-22 11:36:20,74,"0.00347733330538393","0.0031803214",86,16.4,"RestingBaseline",0.289814,82.43,0.3078215,80.92
2018-06-22 11:36:21,75,"0.00347677709268512","0.00491411946666667",87,16.5,"RestingBaseline",0.29109475,82.07,0.3068605,80.75
2018-06-22 11:36:22,76,"0.00347631792467537","0.00256972603333333",88,16.5,"RestingBaseline",0.29013425,81.77,0.3078215,80.63
2018-06-22 11:36:23,77,"0.00347594979559482","0.00252228963333333",86,16.7,"RestingBaseline",0.29205525,81.55,0.3068605,80.53
2018-06-22 11:36:24,78,"0.00347566578941603","0.00266143673333333",82,16.7,"RestingBaseline",0.2904545,81.38,0.30974325,80.57
2018-06-22 11:36:25,79,"0.00347545830139173","0.00355120616666667",80,16.5,"RestingBaseline",0.29205525,81.57,0.30654,80.72
2018-06-22 11:36:26,80,"0.00347532094540561","0.00278764237931034",80,16.5,"RestingBaseline",0.29045475,81.72,0.3058995,80.87
2018-06-22 11:36:27,81,"0.00347524171094563","0.00382871241935484",80,16.7,"RestingBaseline",0.29269575,81.87,0.30429775,80.98
2018-06-22 11:36:28,82,"0.0034752145464751","0.00291102396551724",83,16.7,"RestingBaseline",0.29109475,82,0.30461775,81.1
2018-06-22 11:36:29,83,"0.00347523109115773","0.00329196928571429",84,16.8,"RestingBaseline",0.293336,82.1,0.305579,81.2
2018-06-22 11:36:30,84,"0.00347528477775834","0.00270339076666667",85,16.8,"RestingBaseline",0.29237575,82.2,0.305579,81.27
2018-06-22 11:36:31,85,"0.0034753741817816","0.00368868256666667",89,16.9,"RestingBaseline",0.29173525,82.25,0.3052585,81.32
2018-06-22 11:36:32,86,"0.00347549498214982","0.00693921323333333",88,16.9,"RestingBaseline",0.29173525,82.3,0.3049385,81.37
2018-06-22 11:36:33,87,"0.00347564576226777","0.00390577976666667",87,17,"RestingBaseline",0.292055,82.33,0.30493825,81.38
2018-06-22 11:36:34,88,"0.00347582378791686","0.0056932605862069",87,17,"RestingBaseline",0.29141475,82.37,0.3068605,81.4
2018-06-22 11:36:35,89,"0.00347603420624169","0.0029802456",86,17.4,"RestingBaseline",0.2923755,82.42,0.305579,81.43
2018-06-22 11:36:36,90,"0.00347628582800438","0.00378384436666667",87,17.4,"RestingBaseline",0.2920555,82.45,0.304618,81.48
2018-06-22 11:36:37,91,"0.00347658214759723","0.00352856483333333",87,17.8,"RestingBaseline",0.2920555,82.48,0.304618,81.52
2018-06-22 11:36:38,92,"0.00347689936217696","0.00232271192",86,17.8,"RestingBaseline",0.293016,82.53,0.30493825,81.57
2018-06-22 11:36:39,93,"0.00347727015008192","0.00364620133333333",86,18.1,"RestingBaseline",0.29141525,82.58,0.30493825,81.62
2018-06-22 11:36:40,94,"0.00347774266176978","0.00427003933333333",86,18.1,"RestingBaseline",0.2939765,82.62,0.304618,81.67
2018-06-22 11:36:41,95,"0.00347829784784702","0.0030104326",84,18.4,"RestingBaseline",0.29205525,82.65,0.3042975,81.68
2018-06-22 11:36:42,96,"0.00347894694789667","0.00308910096666667",84,18.4,"RestingBaseline",0.29365625,82.67,0.3042975,81.7
2018-06-22 11:36:43,97,"0.00347970088103194","0.00301680243333333",84,18.6,"RestingBaseline",0.29237525,82.68,0.304938,81.7
2018-06-22 11:36:44,98,"0.00348056980562722","0.00237262573333333",83,18.6,"RestingBaseline",0.29493725,82.68,0.30461775,81.7
2018-06-22 11:36:45,99,"0.00348156270945091","0.0036844666",83,18.9,"RestingBaseline",0.29205525,82.7,0.30557875,81.72
2018-06-22 11:36:46,100,"0.00348268704161577","0.00318446486666667",83,18.9,"RestingBaseline",0.29493725,82.73,0.30589925,81.73
2018-06-22 11:36:47,101,"0.00348394839456026","0.00401049403333333",81,19.1,"RestingBaseline",0.29237525,82.75,0.3030165,81.75
2018-06-22 11:36:48,102,"0.00348535024170075","0.0044395003",78,19.1,"RestingBaseline",0.294617,82.77,0.3052585,81.77
2018-06-22 11:36:49,103,"0.00348689373458939","0.00347318273333333",79,19.3,"RestingBaseline",0.293336,82.77,0.3042975,81.77
2018-06-22 11:36:50,104,"0.00348857756232486","0.00268707516666667",78,19.3,"RestingBaseline",0.29493725,82.75,0.303657,81.75
2018-06-22 11:36:51,105,"0.00349036609322591","0.00189408689655172",79,19.4,"RestingBaseline",0.29365625,82.75,0.30461775,81.75
2018-06-22 11:36:52,106,"0.00349228125374391","0.00264873986666667",82,19.4,"RestingBaseline",0.29557775,82.77,0.3042975,81.78
2018-06-22 11:36:53,107,"0.00349434898091925","0.00267168613333333",82,19.6,"RestingBaseline",0.293016,82.82,0.3052585,81.82
2018-06-22 11:36:54,108,"0.00349652706313735","0.00502045246666667",82,19.6,"RestingBaseline",0.29429675,82.87,0.3039775,81.87
2018-06-22 11:36:55,109,"0.00349880214139433","0.0039568884",82,19.7,"RestingBaseline",0.294617,82.93,0.30397725,81.93
2018-06-22 11:36:56,110,"0.00350111889195973","0.00422377424137931",81,19.7,"RestingBaseline",0.2939765,83,0.30333675,81.98
2018-06-22 11:36:57,111,"0.0035034171720728","0.00296506271428571",82,19.6,"RestingBaseline",0.294617,83.07,0.3052585,82.05
2018-06-22 11:36:58,112,"0.0035058003891849","0.00257889083333333",81,19.6,"RestingBaseline",0.29333625,83.15,0.30493825,82.13
2018-06-22 11:36:59,113,"0.00350829437870712","0.0028701887",81,19.7,"RestingBaseline",0.29557775,83.23,0.30333675,82.22
2018-06-22 11:37:00,114,"0.00351075679882866","0.00356487344827586",83,19.7,"RestingBaseline",0.29365625,83.32,0.304618,82.3
2018-06-22 11:37:01,115,"0.00351321038734272","0.00440205013333333",84,19.8,"RestingBaseline",0.295898,83.4,0.303657,82.45
