Time,BtoB
13/06/2018 10:38:54.441,6000
,6000
,6000
,1410
,1720
,1790
,3180
,1380
,11160
,3240
,4490
,2000
,5480
,820
,1700
,2260
,4880
,6350
,7660
,2720
,3390
,6700
,3150
,1020
,3370
,3670
,5560
,3760
,2040
,4590
,5080
,1060
,3960
,2090
,2070
,1850
,6300
,3620
,3390
,4350
,3350
,4170
,4180
,3530
,3850
,780
,1910
,2780
,2900
,3210
,2520
,2560
,1490
,2600
,5240
,4000
,3590
,1820
,1740
,2720
,2330
,2250
,3280
,3040
,2980
,3460
,3080
,1870
,1250
,2980
,1840
,1760
,2760
,5280
,1360
,1890
,3650
,3080
,3230
,2640
,2290
,3140
,3190
,2950
,2890
,4770
,1790
,6670
,2080
,2490
,3120
,3010
,3560
,4520
,3830
,3120
,2800
,3460
,6690
,2940
,3280
,3430
,3100
,2390
,1070
,2400
,3500
,3320
,3390
,2880
,2790
,2780
,3600
,2990
,3810
,2950
,4620
,3060
,2920
,2400
,4050
,2620
,2600
,3650
,1600
,2390
,2660
,2000
,2650
,3290
,2050
,3640
,2550
,1680
,2810
,3290
,1130
,5380
,2040
,3580
,3280
,1620
,1370
,1490
,2030
,2030
,3160
,3370
,2290
,3880
,5400
,3700
,4250
,3350
,3510
,1480
,3340
,1180
,1250
,1220
,2800
,4340
,1430
,3090
,1270
,3030
,2940
,3760
,1220
,1670
,2980
,2610
,2190
,2410
,5190
,1400
,3190
,2810
,2830
,3020
,3410
,3090
,2780
,1140
,2520
,3260
,2840
,2190
,4190
,1290
,3300
,2910
,5800
,1140
,3330
,3940
,2390
,3700
,3460
,2760
,1830
,2250
,3450
,3290
,2510
,2740
,1310
,890
,3410
,6810
,2840
,3200
,1520
,2540
,3890
,3000
,5010
,2270
,1430
,1430
,3480
,3270
,3770
,1250
,2580
,3650
,4250
,3120
,3530
,3770
,3780
,3230
,3180
,2940
,3370
,3010
,3460
,2340
,4120
,3780
,2710
,3050
,2660
,3730
,3140
,3580
,3490
,3970
,2910
,4060
,3690
,1780
,2530
,4080
,2590
,3160
,3350
,3340
,3170
,3170
,3620
,3300
,3190
,4760
,3050
,710
,4190
,1540
,2250
,1800
,2820
,1740
,1770
,700
,1810
,2600
,10170
,4440
,1840
,2450
,4340
,4920
,3260
,3020
,3430
,3380
,2900
,3270
,3810
,1440
,2180
,2130
,1670
,3440
,3310
,4060
,3070
,3590
,4940
,1860
,4020
,3680
,3060
,3400
,3680
,3530
,3270
,3400
,3020
,3170
,3300
,3400
,3000
,3210
,1710
,2620
,3690
,3710
,970
,3770
,2820
,5690
,2550
,3400
,3280
,6090
,3250
,2720
,3140
,4240
,3670
,2840
,4210
,3080
,3360
,3370
,3620
,3150
,3440
,3580
,3430
,3840
,4080
,3540
,3570
,6590
,4140
,3210
,3410
,3170
,2950
,2990
,2910
,3490
,3060
,3060
,3250
,3170
,3540
,2960
,3220
,2890
,2440
,1150
,1930
,2760
,2860
,2830
,3530
,3320
,3440
,2480
,1450
,1420
,4260
,2610
,3280
,3020
,3690
,5040
,2680
,3570
,4890
,3680
,3260
,2860
,2910
,2980
,2950
,3290
,3350
,2570
,1270
,1530
,1270
,1830
,2960
,3610
,2890
,3270
,2290
,3780
,2090
,1390
,3670
,2930
,4220
,3230
,5470
,2760
,3700
,3560
,3400
,2710
,2790
,4090
,3040
,5260
,2480
,3630
,3270
,3550
,4720
,3990
,3730
,3520
,2950
,3230
,3130
,2950
,3260
,2830
,920
,2070
,3230
,3120
,3200
,3070
,3340
,3360
,3630
,2720
,1770
,1590
,3900
,3550
,3500
,3070
,2800
,3530
,3170
,2430
,3370
,2960
,2750
,2760
,3360
,3280
,3130
,3470
,2950
,3350
,3080
,3110
,3290
,3100
,3010
,2970
,3380
,6500
,6610
,2400
,5340
,4270
,3620
,3160
,3000
,2920
,3050
,3150
,2820
,3040
,3500
,2770
,3130
,3530
,3280
,3490
,2590
,2090
,4360
,3660
,3500
,4150
,2120
,3470
,3460
,3480
,2830
,3110
,3210
,3360
,2970
,3370
,3480
,2790
,3350
,3000
,3570
,2600
,2810
,2410
,3980
,3460
,2640
,3470
,3440
,3670
,2590
,1300
,3500
,4500
,2500
,3190
,3270
,2890
,1670
,1790
,2630
,3280
,2310
,3610
,3390
,3360
,3910
,2950
,3310
,2910
,3900
,2710
,3860
,8810
,3490
,3410
,2510
,3410
,3180
,2850
,3030
,3340
,2710
,3090
,5110
,3660
,3260
,1720
,3500
,3260
,1350
,2800
,1960
,1750
,3180
,4140
,1770
,5150
,3310
,6340
,2690
,5480
,2990
,4540
,4310
,5010
,4380
,4620
,3940
,3810
,4920
,7160
,8490
,6620
,5900
,7240
,2360
,4620
,3130
,3460
,1380
,3150
,4830
,7070
,5290
,5320
,5270
,3840
,4370
,4140
,3120
,4400
,2510
,3940
,3460
,3880
,3890
,1000
,2200
,5430
,4640
,4260
,5080
,5590
,1420
,3250
,4840
,4090
,4040
,3070
,3740
,3910
,4070
,4040
,3430
,3150
,3570
,3090
,1900
,4300
,2890
,3470
,3880
,3440
,3600
,2840
,3200
,3180
,5000
,2280
,1150
,3760
,1720
,2170
,2910
,3460
,7240
,1550
,6660
,2780
,2640
,2830
,4530
,1130
,1690
,3150
,3760
,3250
,4110
,2130
,1560
,1270
,1690
,1680
,2670
,3550
,3890
,3480
,3360
,3000
,2990
,3280
,3260
,2950
,3060
,3060
,3040
,3030
,3050
,2840
,3130
,3350
,2840
,1560
,1020
,1300
,2050
,3130
,4660
,4200
,1890
,1500
,4600
,2690
,1460
,4100
,4070
,4670
,2800
,4090
,4170
,4450
,3220
,4260
,4090
,3860
,3320
,2920
,3890
,3620
,3260
,3400
,3840
,4030
,3890
,3710
,4100
,3750
,3780
,3410
,3180
,3370
,2020
,1630
,3480
,3440
,3330
,3390
,3700
,3610
,3500
,4170
,3590
,1680
,1590
,3550
,4040
,3690
,3220
,5820
,3450
,4800
,5620
,2890
,4160
,3650
,3560
,4170
,3830
,3550
,3500
,3190
,3340
,3350
,3460
,3140
,3400
,3460
,4220
,3500
,3470
,3240
,3710
,2320
,5330
,4050
,3070
,3070
,4190
,3540
,3930
,3780
,3700
,3580
,3610
,3260
,3570
,3530
,3370
,2970
,3510
,3720
,4020
,1520
,2510
,5510
,2190
,7070
,4720
,5920
,2490
,3620
,3080
,3260
,3790
,2380
,6390
,2420
,2900
,3340
,2610
,3200
,3450
,3270
,860
,1720
,2930
,2970
,3100
,3750
,3560
,2920
,2810
,3140
,3250
,3150
,2920
,3030
,2560
,3000
,3050
,3120
,3180
,2870
,3060
,3680
,2920
,3080
,2960
,3250
,3030
,3090
,3040
,3910
,2820
,3070
,3110
,3010
,2860
,3200
,3320
,3350
,3130
,2800
,2540
,2950
,3150
,2850
,2900
,2790
,3530
,3610
,3200
,2690
,3110
,2920
,1510
,1450
,3150
,2690
,3150
,3160
,2380
,1150
,1410
,3120
,2900
,3160
,3150
,1890
,1680
,2710
,2230
,1340
,3080
,2980
,3410
,3470
,3450
,3170
,3170
,3400
,3130
,3370
,2800
,3230
,3480
,3090
,4640
,3970
,3690
,3260
,2060
,1390
,1150
,1600
,3280
,4240
,3950
,1870
,1470
,2660
,3500
,3610
,3090
,3620
,2250
,3730
,3050
,2610
,3050
,2200
,3280
,3250
,3860
,4960
,1880
,3460
,3600
,3090
,3010
,3430
,3340
,3610
,4080
,3240
,3200
,3470
,2920
,2990
,3130
,3000
,2770
,3970
,3550
,3100
,3090
,4350
,3180
,4140
,1160
,1780
,3080
,3440
,3720
,3580
,3350
,3740
,3340
,3170
,3100
,3550
,3240
,3660
,3580
,3320
,2970
,3180
,3720
,3080
,3210
,3240
,2580
,3260
,2900
,3560
,3110
,2910
,3240
,3180
,3010
,3350
,3270
,3300
,2950
,3220
,3330
,3390
,3360
,3660
,2700
,3140
,3080
,2680
,2960
,3150
,2880
,2990
,3030
,3810
,3310
,3150
,3440
,3090
,2730
,3550
,2880
,2890
,3280
,3480
,3220
,3020
,3000
,2870
,2730
,2960
,3030
,3530
,2890
,2620
,5480
,2910
,1310
,2550
,4380
,2960
,3590
,3880
,3410
,3040
,3140
,4230
,2560
,3200
,2980
,3510
,730
,710
,1750
,3610
,2970
,3050
,2900
,2480
,2570
,3250
,1050
,3420
,2960
,4530
,1560
,1270
,2510
,2340
,3230
,1620
,1690
,3300
,2070
,7530
,3680
,3180
,2970
,3570
,1030
,2490
,3450
,2410
,3070
,2890
,3490
,3590
,2810
,3470
,4600
,3060
,3330
,3450
,3800
,2870
,2650
,2990
,3000
,2880
,3630
,3520
,3070
,3270
,3180
,3690
,3660
,2900
,3250
,3270
,3860
,3730
,3640
,3160
,3760
,3110
,3460
,3180
,3520
,3160
,3370
,3400
,3270
,2590
,4070
,3840
,3400
,3670
,3280
,3150
,3360
,3090
,3930
,2300
,3320
,3420
,2940
,3750
,2820
,3150
,3240
,4120
,2410
,7570
,3910
,2130
,1770
,1560
,3300
,3670
,1360
,1040
,4230
,4270
,4190
,3520
,2990
,7630
,2460
,4280
,3520
,3700
,1630
,1550
,3350
,1610
,1510
,1760
,1570
,3750
,3390
,3270
,3180
,3620
,3470
,3260
,3340
,2910
,3190
,3820
,2070
,1260
,4630
,3810
,3430
,3300
,3280
,2710
,2780
,1520
,3310
,2060
,4990
,2970
,3190
,2870
,2750
,3500
,3260
,3320
,1570
,2390
,3150
,3160
,3470
,2850
,2860
,2840
,3560
,2610
,2920
,3240
,2630
,3190
,3430
,1290
,610
,1350
,2330
,3520
,3870
,4020
,1990
,3220
,4060
,4270
,3070
,2390
,10890
,3080
,6090
,2970
,3030
,2950
,3300
,3120
,2950
,3230
,3110
,3370
,2640
,1420
,2620
,3590
,3160
,2910
,2280
,1430
,3260
,1170
,2140
,3060
,5110
,2100
,2510
,4280
,3190
,4340
,4140
,2760
,2980
,3520
,3570
,3910
,4040
,3200
,2780
,3860
,2600
,3370
,2710
,3280
,3420
,2570
,3290
,3350
,3370
,3700
,3360
,3140
,3580
,3190
,3020
,3830
,3340
,4180
,2700
,2920
,3180
,3360
,3010
,6490
,2830
,3680
,2800
,3280
,3220
,3090
,3080
,3410
,3110
,2770
,2960
,2960
,3240
,2840
,3260
,3630
,5040
,3070
,2300
,3820
,3720
,3860
,3610
,3150
,2910
,3420
,1650
,1760
,2550
,3290
,3040
,2850
,2790
,3460
,3020
,3720
,3010
,2790
,3570
,3770
,3200
,4320
,3140
,3170
,2810
,3180
,3360
,3100
,2970
,2580
,3320
,2970
,3320
,2810
,3210
,2630
,3320
,1690
,1440
,3140
,2280
,3440
,2700
,3090
,3060
,3300
,2990
,2810
,3390
,3150
,3130
,2630
,3100
,3920
,3690
,3380
,3370
,3300
,3390
,3080
,2690
,2970
,2800
,3280
,3030
,3030
,2950
,3190
,2890
,2890
,3340
,2890
,3550
,3110
,3810
,3060
,3270
,2900
,2850
,2860
,3050
,2920
,3620
,3060
,2940
,3020
,2530
,3450
,2890
,3470
,3050
,3060
,3030
,3160
,3120
,3140
,2840
,3700
,1810
,1450
,2760
,3480
,3010
,3090
,3630
,2320
,3540
,2890
,3510
,4000
,640
,2720
,2920
,2010
,1260
,1790
,3330
,3180
,3130
,3080
,3570
,3570
,3080
,3400
,3370
,3090
,3100
,2820
,3370
,2170
,2940
,2920
,2780
,2950
,3080
,2860
,2480
,3290
,2870
,3140
,1260
,2860
,2520
,2990
,3250
,3300
,3790
,2480
,2840
,4130
,1500
,3410
,6890
,3060
,3480
,3100
,3460
,1540
,2870
,3880
,3550
,1380
,1890
,3080
,3690
,4370
,1240
,910
,1000
,1210
,3230
,3540
,3370
,3250
,3440
,3010
,3740
,3360
,2750
,1230
,3620
,4820
,3290
,3380
,3420
,3380
,3370
,3610
,3470
,2920
,3380
,2950
,4120
,920
,1990
,3640
,3130
,2460
,3150
,3120
,4090
,3640
,3500
,3830
,3320
,3310
,3230
,3310
,3010
,2880
,3080
,3510
,3360
,1950
,1100
,3770
,3340
,3460
,3040
,3440
,3450
,3020
,3460
,2950
,3460
,3120
,2960
,3200
,3100
,3110
,3130
,2410
,2960
,3150
,2540
,3580
,3290
,3040
,3010
,2770
,3180
,3140
,3300
,2940
,2820
,2790
,2660
,2010
,3430
,2280
,2920
,3460
,3300
,2830
,3660
,3130
,3080
,3300
,2820
,2980
,3360
,3210
,2670
,700
,3200
,1250
,5350
,3670
,3100
,3060
,2620
,2750
,1360
,4440
,2860
,3800
,2030
,1680
,2970
,660
,580
,2080
,2970
,2850
,2970
,2800
,2470
,3410
,2640
,3230
,3050
,2950
,3090
,3040
,3120
,3100
,2830
,2690
,3660
,3250
,3620
,3420
,2970
,3360
,2830
,2760
,3310
,2860
,3220
,3130
,2700
,2830
,3050
,2920
,3270
,3190
,3080
,2700
,2730
,3060
,1400
,1650
,3080
,2840
,3290
,3240
,3000
,5600
,3030
,2400
,2710
,3170
,3740
,3060
,3430
,2720
,3590
,2870
,2770
,3180
,2520
,3080
,3200
,3290
,2630
,3290
,2910
,3130
,3030
,3190
,3080
,3240
,3060
,3290
,2840
,3320
,2610
,3060
,3180
,3240
,2640
,3580
,3610
,3180
,3330
,3310
,3560
,1280
,1890
,3280
,3230
,2600
,790
,1960
,1490
,1640
,3240
,3140
,2440
,3030
,3000
,1580
,1290
,3930
,2910
,3920
,1680
,1680
,2770
,2730
,2800
,2950
,2680
,1020
,1760
,2640
,2820
,3080
,3620
,3410
,2720
,3080
,3130
,2950
,2970
,3250
,2820
,3100
,2720
,2710
,3020
,3170
,2800
,2840
,3630
,3160
,3030
,2850
,2790
,3220
,2100
,4650
,2070
,1810
,1590
,2800
,3140
,2110
,3840
,3290
,3580
,3400
,3270
,2860
,2990
,5480
,3420
,3010
,3120
,2420
,3020
,3700
,2190
,2570
,2700
,3250
,2170
,2630
,3240
,3310
,3930
,4900
,2770
,3130
,3180
,2530
,910
,550
,1640
,3280
,2910
,2990
,3180
,2770
,2770
,2630
,2750
,2990
,2970
,2970
,3080
,3070
,3190
,3080
,2590
,3190
,2760
,2930
,2960
,2120
,1420
,3300
,2530
,1620
,1190
,3280
,2910
,2690
,2980
,2350
,3090
,2890
,2990
,2710
,3080
,2730
,2920
,3060
,1350
,1660
,2820
,2230
,1580
,2910
,2900
,3230
,2890
,2500
,2940
,3270
,2980
,2870
,2860
,2840
,2980
,2840
,2880
,2770
,2600
,3890
,3390
,2660
,2930
,2820
,3030
,2930
,3130
,2260
,3500
,3000
,3470
,3300
,3580
,3190
,2980
,4040
,2420
,2650
,3770
,3000
,2430
,3020
,2770
,3050
,3070
,3600
,3440
,1510
,1520
,3060
,2910
,3080
,2980
,1530
,1810
,3670
,2890
,2890
,5260
,2760
,3580
,3640
,2330
,3600
,3890
,2680
,3370
,3210
,3040
,3280
,2630
,3760
,2550
,3380
,2960
,3400
,3160
,3110
,2950
,3540
,1480
,1560
,2520
,2810
,2800
,2920
,2710
,1770
,1500
,2820
,2700
,1060
,2620
,1620
,1470
,2900
,2990
,3520
,2740
,2890
,3600
,3030
,3090
,2930
,3060
,3000
,2740
,3180
,2570
,3680
,5420
,3320
,3890
,3160
,3750
,2950
,3290
,2910
,3210
,3130
,3230
,2850
,2870
,2760
,3280
,3080
,2540
,4610
,3940
,3070
,2990
,3540
,2910
,3660
,3260
,1650
,1500
,2680
,2910
,2920
,2930
,2860
,2940
,2780
,2990
,2850
,3220
,2570
,3230
,2510
,2790
,2910
,3410
,3570
,1270
,3620
,3080
,2610
,2390
,2810
,2720
,2260
,2850
,2840
,2710
,2570
,2520
,2630
,3020
,3210
,3700
,2610
,3320
,2710
,3480
,3570
,2790
,3320
,6240
,2370
,3650
,3800
,3240
,3370
,3040
,3220
,3350
,2810
,2740
,2050
,2030
,2850
,2860
,2160
,3050
,2840
,3440
,2640
,3260
,3110
,2910
,2820
,2870
,3340
,3390
,3260
,2690
,2900
,3370
,3160
,3080
,2840
,2960
,2890
,2790
,3130
,2840
,2660
,2770
,2540
,3050
,2540
,2070
,2500
,2540
,2990
,2570
,3260
,2670
,2530
,2720
,2800
,2800
,3070
,2930
,2230
,2630
,2670
,3240
,3010
,3010
,2860
,2540
,2810
,2790
,2860
,2630
,1680
,1390
,820
,1900
,2980
,2740
,3630
,1900
,1350
,1920
,3240
,2670
,2260
,2990
,3130
,2720
,3650
,3040
,2570
,2720
,1520
,1280
,2910
,2580
,2680
,2290
,2530
,2610
,2680
,2520
,2680
,2680
,2960
,2580
,2320
,2200
,3310
,2640
,2930
,3580
,3020
,3520
,2780
,2500
,2910
,2950
,2700
,2570
,2240
,2630
,2770
,2110
,3240
,8280
,3260
,2700
,3750
,3470
,2660
,2730
,3160
,4830
,4490
,3260
,3240
,2620
,2830
,3460
,3070
,2870
,2970
,3390
,3020
,2670
,2930
,1530
,2100
,8290
,3300
,3700
,2140
,2910
,4450
,3100
,2830
,580
,1550
,2670
,1430
,3530
,2550
,2900
,2740
,2950
,2810
,3080
,3630
,3140
,2910
,3090
,3420
,3230
,3700
,3590
,3100
,3320
,3310
,2890
,2840
,3100
,3260
,3140
,3560
,2960
,2590
,4340
,3460
,3290
,2890
,3450
,3530
,2980
,3250
,3120
,3090
,3330
,2700
,3180
,3030
,3590
,3110
,3630
,3130
,2940
,3700
,2640
,3300
,2530
,2370
,2860
,2970
,2530
,2230
,2210
,5510
,4990
,3070
,2770
,1910
,1080
,3180
,3190
,1400
,1700
,1910
,2270
,1310
,1750
,2140
,2090
,1670
,2020
,2450
,4040
,6140
,4480
,3190
,1330
,3020
,2810
,3350
,2390
,3060
,3180
,3240
,3170
,2840
,3250
,3020
,3120
,3360
,2810
,3870
,1200
,3230
,3670
,3180
,5040
,1630
,1510
,2910
,1930
,2220
,3530
,1390
,1460
,1360
,1430
,970
,1430
,2660
,1910
,3630
,2060
,3120
,1430
,8150
,4550
,6640
,5700
,1640
,1490
,2840
,1180
,1190
,1490
,1480
,2010
,1070
,2440
,2670
,2830
,1490
,1390
,3030
,2970
,2390
,6630
,3890
,1710
,4910
,2700
,2870
,4220
,830
,6040
,4040
,3760
,5110
,1520
,5080
,5320
,3380
,770
,2970
,1190
,2600
,5220
,3290
,5450
,3070
,3170
,1130
,4340
,3580
,960
,2710
,1980
,570
,1710
,7690
,1380
,2550
,3840
,1460
,3350
,2710
,1930
,1460
,1130
,3050
,2610
,3470
,2060
,1050
,2100
,1280
,1760
,2270
,1420
,1720
,2630
,3570
,1030
,1040
,2920
,3300
,3270
,3000
,3070
,890
,1270
,1560
,2200
,2690
,3280
,2200
,1760
,2320
,2760
,3870
,2320
,2770
,3260
,2440
,6040
,1600
,6200
