Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
13/06/2018 10:38:54.441,65,6553.5,-3276.8,-79,0.19,0.32,4.176,96,15856.000,65535.000,255,0.000000,0.000220,0,65535,0,65535,0,0,-0.39,0.13,0.86,1.13,0.07,0.32,25.7,539,255,-128,-128,6553.5,413,419,496
13/06/2018 10:38:55.441,65,6553.5,-3276.8,-86,0.21,0.34,4.174,95,15419.000,65535.000,255,0.000000,0.000100,0,65535,0,65535,0,0,0.01,0.18,0.92,1.09,0.02,0.22,25.7,539,255,-128,-128,6553.5,413,419,495
13/06/2018 10:38:56.441,65,6553.5,-3276.8,-89,0.10,0.14,4.174,95,14075.000,65535.000,255,0.000000,0.000040,0,65535,0,65535,0,0,-0.01,0.06,0.98,1.13,0.01,0.15,25.7,539,255,-128,-128,6553.5,399,403,496
13/06/2018 10:38:57.441,65,6553.5,-3276.8,-89,0.05,0.10,4.171,95,12344.000,65535.000,255,0.000000,0.000020,0,65535,0,65535,0,0,-0.01,0.03,0.98,1.07,0.02,0.18,25.7,539,255,-128,-128,6553.5,413,418,496
13/06/2018 10:38:58.441,65,6553.5,-3276.8,-88,0.07,0.14,4.171,95,10800.000,65535.000,255,0.000000,0.000000,0,65535,0,65535,0,0,-0.19,0.02,0.85,1.08,0.07,0.18,25.7,539,255,-128,-128,6553.5,413,418,496
13/06/2018 10:38:59.441,65,6553.5,-3276.8,-85,0.10,0.19,4.171,95,9299.000,65535.000,255,0.000000,0.000040,0,65535,0,65535,0,0,-0.19,-0.04,0.86,1.21,0.06,0.31,25.7,539,255,-128,-128,6553.5,414,418,496
13/06/2018 10:39:00.441,65,6553.5,-3276.8,-83,0.11,0.22,4.171,95,8084.000,65535.000,255,0.000000,0.000040,0,65535,0,65535,0,0,-0.19,0.02,0.85,1.08,0.07,0.37,25.7,539,255,-128,-128,6553.5,414,419,496
13/06/2018 10:39:01.441,0,6553.5,-3276.8,-88,0.14,0.21,4.171,95,6940.000,65535.000,255,0.000800,0.000020,0,65535,0,65535,0,0,-0.01,0.16,0.96,1.13,0.00,0.14,25.7,539,255,-128,-128,6553.5,414,418,495
13/06/2018 10:39:02.441,0,6553.5,-3276.8,-91,0.10,0.14,4.171,95,6026.000,65535.000,255,0.000800,0.000020,0,65535,0,65535,0,0,0.03,0.14,1.01,1.07,0.01,0.14,25.7,539,255,-128,-128,6553.5,413,419,496
13/06/2018 10:39:03.441,0,6553.5,-3276.8,-92,0.05,0.09,4.171,95,5171.000,65535.000,255,0.000800,0.000020,0,65535,0,65535,0,0,0.02,0.14,0.96,1.08,0.00,0.15,25.7,539,255,-128,-128,6553.5,413,418,496
13/06/2018 10:39:04.441,0,6553.5,-3276.8,-92,0.03,0.08,4.171,95,4489.000,65535.000,255,0.000800,0.000020,0,65535,0,65535,0,0,0.04,0.15,0.97,1.06,0.01,0.14,25.7,539,255,-128,-128,6553.5,413,418,496
13/06/2018 10:39:05.441,0,6553.5,-3276.8,-96,0.08,0.12,4.170,95,3851.000,65535.000,255,0.000800,0.000040,0,65535,0,65535,0,0,0.09,0.24,0.96,1.08,0.00,0.10,25.7,539,255,-128,-128,6553.5,413,418,496
13/06/2018 10:39:06.441,0,6553.5,-3276.8,-98,0.07,0.13,4.170,95,3343.000,65535.000,255,0.000800,0.000020,0,65535,0,65535,0,0,0.16,0.22,0.97,1.22,-0.01,0.13,25.7,539,255,-128,-128,6553.5,414,419,496
13/06/2018 10:39:07.441,0,6553.5,-3276.8,-98,0.03,0.06,4.169,94,2868.000,65535.000,255,0.000800,0.000020,0,65535,0,65535,0,0,0.10,0.20,1.00,1.06,-0.01,0.09,25.7,539,255,-128,-128,6553.5,414,418,495
13/06/2018 10:39:08.441,0,6553.5,-3276.8,-98,0.02,0.04,4.169,94,2490.000,65535.000,255,0.000800,0.000020,0,65535,0,65535,0,0,0.13,0.20,0.98,1.07,0.00,0.06,25.7,539,255,-128,-128,6553.5,414,419,496
