"CovertedTime","Time","NR_Perspiration","Perspiration","HR_z","BR_z","Session","EDA_i","HR_i","EDA_l","HR_l"
2018-06-18 11:45:46,31,0.00310255781371913,0.00486114025,90,19.9,"RestingBaseline",0.05572125,84.38,0.05920475,87.7
2018-06-18 11:45:47,32,0.00309976008831822,0.0040165145,90,19.8,"RestingBaseline",0.05636125,84.33,0.0582445,87.78
2018-06-18 11:45:48,33,0.00309605099512402,0.00427798553333333,89,19.8,"RestingBaseline",0.057002,84.4,0.05952475,87.87
2018-06-18 11:45:49,34,0.00309185996343988,0.00565019446153846,93,19.3,"RestingBaseline",0.05668175,84.47,0.05920475,87.95
2018-06-18 11:45:50,35,0.00308686186276541,0.0054920084,95,19.3,"RestingBaseline",0.057002,84.53,0.05920475,88.03
2018-06-18 11:45:51,36,0.00308044276762991,0.0051381438125,95,18.9,"RestingBaseline",0.0560415,84.67,0.0588845,88.13
2018-06-18 11:45:52,37,0.00307488913365149,0.006221203125,92,18.9,"RestingBaseline",0.05796225,84.78,0.05888475,88.25
2018-06-18 11:45:53,38,0.0030698337704708,0.00632017733333333,91,18.5,"RestingBaseline",0.05572125,84.9,0.05952475,88.38
2018-06-18 11:45:54,39,0.00306276794014688,0.00584547514285714,89,18.5,"RestingBaseline",0.05828275,85.03,0.0585645,88.52
2018-06-18 11:45:55,40,0.00305518559403883,0.00301976491666667,90,17.8,"RestingBaseline",0.05668175,85.18,0.05856475,88.63
2018-06-18 11:45:56,41,0.00304806840672841,0.00258008318181818,92,17.8,"RestingBaseline",0.055081,85.35,0.0588845,88.77
2018-06-18 11:45:57,42,0.00304126564952411,0.0022915142,93,17.6,"RestingBaseline",0.0582825,85.5,0.059525,88.88
2018-06-18 11:45:58,43,0.00303385058065598,0.00228565983333333,93,17.6,"RestingBaseline",0.05540125,85.6,0.05760425,89
2018-06-18 11:45:59,44,0.00302439959475141,0.00261772246666667,94,17,"RestingBaseline",0.05860275,85.68,0.0588845,89.1
2018-06-18 11:46:00,45,0.00301462926164773,0.00256709058333333,95,17,"RestingBaseline",0.05732225,85.75,0.05920475,89.18
2018-06-18 11:46:01,46,0.00300457463298161,0.00223555773333333,95,16.5,"RestingBaseline",0.057002,85.83,0.0579245,89.25
2018-06-18 11:46:02,47,0.00299392586614196,0.00222891530769231,94,16.5,"RestingBaseline",0.057322,85.98,0.0585645,89.32
2018-06-18 11:46:03,48,0.00298348980219008,0.00238706314285714,93,16.1,"RestingBaseline",0.056682,86.13,0.05792425,89.38
2018-06-18 11:46:04,49,0.00297294694357358,0.00236252930769231,93,16.1,"RestingBaseline",0.0582825,86.32,0.0588845,89.47
2018-06-18 11:46:05,50,0.00296195152346509,0.0028338422,94,15.7,"RestingBaseline",0.05572125,86.53,0.0585645,89.55
2018-06-18 11:46:06,51,0.00295015986601429,0.00282487486666667,93,15.7,"RestingBaseline",0.058923,86.78,0.05728425,89.62
2018-06-18 11:46:07,52,0.00294036305756625,0.0024663351,92,15.3,"RestingBaseline",0.0547605,87.02,0.0579245,89.67
2018-06-18 11:46:08,53,0.00293218132477594,0.00267945063636364,93,15.3,"RestingBaseline",0.0579625,87.32,0.05920475,89.73
2018-06-18 11:46:09,54,0.00292290574454623,0.00236858038461538,94,15.3,"RestingBaseline",0.05572125,87.63,0.0582445,89.8
2018-06-18 11:46:10,55,0.00291221272485517,0.00252324726666667,94,15.3,"RestingBaseline",0.05732225,87.97,0.05792425,89.83
