SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2018,06,18,41019447,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2018,06,18,41026033,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,18,41026072,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2018,06,18,41030073,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,18,41031072,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,06,18,41031073,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,18,41032072,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,06,18,41035073,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,18,41036072,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2018,06,18,41040073,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,18,41042072,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,06,18,41042633,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,18,41043072,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2018,06,18,41060273,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,18,41065072,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,06,18,41065713,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,18,41066072,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2018,06,18,41181713,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,18,41186071,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2018,06,18,41201071,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2018,06,18,41208073,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,18,41209072,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2018,06,18,41210072,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,18,41211071,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,06,18,41214072,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,18,41214227,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,18,41216072,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,06,18,41222072,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,06,18,47653834,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,18,47654073,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,06,18,47654073,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,06,18,47658194,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,18,47659073,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2018,06,18,47659073,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,06,18,47659948,64,System,Button,0,
0,2018,06,18,47660874,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,18,47661072,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,06,18,47661072,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
