SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2018,08,06,39175423,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2018,08,06,39238701,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,06,39239579,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,08,06,39244520,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,08,06,39260330,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2018,08,06,39265289,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,08,06,39298880,4416,Physiological,DashAlgorithm,0,40 Yard Dash Test Detected - Activity 0.62g
0,2018,08,06,39300870,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2018,08,06,39305800,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,08,06,39336469,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,08,06,44436048,4416,Physiological,DashAlgorithm,0,40 Yard Dash Test Detected - Activity 0.44g
0,2018,08,06,44442048,4416,Physiological,DashAlgorithm,0,40 Yard Dash Test Detected - Activity 0.48g
0,2018,08,06,44798048,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,08,06,44801048,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2018,08,06,44806050,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,08,06,44817048,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2018,08,06,44867048,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,08,06,44878050,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2018,08,06,44889048,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,08,06,44909048,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,08,06,44911811,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,06,44912049,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,08,06,44912049,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,08,06,44940811,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,06,44941048,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
