Time,BreathingWaveform
18/07/2018 10:30:50.432,7479046
18/07/2018 10:30:50.472,7471665
18/07/2018 10:30:50.512,7471665
18/07/2018 10:30:50.552,7469084
18/07/2018 10:30:50.592,7469084
18/07/2018 10:30:50.632,7468929
18/07/2018 10:30:50.672,7466761
18/07/2018 10:30:50.712,7465832
18/07/2018 10:30:50.752,7465161
18/07/2018 10:30:50.792,7463922
18/07/2018 10:30:50.832,7462838
18/07/2018 10:30:50.872,7461444
18/07/2018 10:30:50.912,7460877
18/07/2018 10:30:50.952,7458502
18/07/2018 10:30:50.992,7456747
18/07/2018 10:30:51.032,7456128
18/07/2018 10:30:51.072,7454631
18/07/2018 10:30:51.112,7451689
18/07/2018 10:30:51.152,7448591
18/07/2018 10:30:51.192,7446114
18/07/2018 10:30:51.232,7444307
18/07/2018 10:30:51.272,7443636
18/07/2018 10:30:51.312,7442655
18/07/2018 10:30:51.352,7440797
18/07/2018 10:30:51.392,7440384
18/07/2018 10:30:51.432,7438784
18/07/2018 10:30:51.472,7437752
18/07/2018 10:30:51.512,7435842
18/07/2018 10:30:51.552,7434500
18/07/2018 10:30:51.592,7434293
18/07/2018 10:30:51.632,7434190
18/07/2018 10:30:51.672,7432487
18/07/2018 10:30:51.712,7429906
18/07/2018 10:30:51.752,7430319
18/07/2018 10:30:51.792,7428409
18/07/2018 10:30:51.832,7426808
18/07/2018 10:30:51.872,7424950
18/07/2018 10:30:51.912,7422524
18/07/2018 10:30:51.952,7420769
18/07/2018 10:30:51.992,7418808
18/07/2018 10:30:52.032,7416898
18/07/2018 10:30:52.072,7414627
18/07/2018 10:30:52.112,7413336
18/07/2018 10:30:52.152,7412459
18/07/2018 10:30:52.192,7410962
18/07/2018 10:30:52.232,7409362
18/07/2018 10:30:52.272,7408174
18/07/2018 10:30:52.312,7407503
18/07/2018 10:30:52.352,7406213
18/07/2018 10:30:52.392,7405800
18/07/2018 10:30:52.432,7404148
18/07/2018 10:30:52.472,7403219
18/07/2018 10:30:52.512,7403374
18/07/2018 10:30:52.552,7402032
18/07/2018 10:30:52.592,7400948
18/07/2018 10:30:52.632,7398986
18/07/2018 10:30:52.672,7397799
18/07/2018 10:30:52.712,7396664
18/07/2018 10:30:52.752,7394083
18/07/2018 10:30:52.792,7392431
18/07/2018 10:30:52.832,7391295
18/07/2018 10:30:52.872,7387579
18/07/2018 10:30:52.912,7387063
18/07/2018 10:30:52.952,7385979
18/07/2018 10:30:52.992,7385514
18/07/2018 10:30:53.032,7384430
18/07/2018 10:30:53.072,7382675
18/07/2018 10:30:53.112,7381282
18/07/2018 10:30:53.152,7381178
18/07/2018 10:30:53.192,7380404
18/07/2018 10:30:53.232,7379630
18/07/2018 10:30:53.272,7378597
18/07/2018 10:30:53.312,7377978
18/07/2018 10:30:53.352,7377875
18/07/2018 10:30:53.392,7376687
18/07/2018 10:30:53.432,7375913
18/07/2018 10:30:53.472,7374416
18/07/2018 10:30:53.512,7373023
18/07/2018 10:30:53.552,7372765
18/07/2018 10:30:53.592,7373332
18/07/2018 10:30:53.632,7371887
18/07/2018 10:30:53.672,7370545
18/07/2018 10:30:53.712,7371010
18/07/2018 10:30:53.752,7371216
18/07/2018 10:30:53.792,7371371
18/07/2018 10:30:53.832,7371681
18/07/2018 10:30:53.872,7371474
18/07/2018 10:30:53.912,7372197
18/07/2018 10:30:53.952,7371629
18/07/2018 10:30:53.992,7371371
18/07/2018 10:30:54.032,7370958
18/07/2018 10:30:54.072,7369667
18/07/2018 10:30:54.112,7368480
18/07/2018 10:30:54.152,7367809
18/07/2018 10:30:54.192,7363938
18/07/2018 10:30:54.232,7349330
18/07/2018 10:30:54.272,7270974
18/07/2018 10:30:54.312,7130882
18/07/2018 10:30:54.352,6985061
18/07/2018 10:30:54.392,6847912
18/07/2018 10:30:54.432,6758665
18/07/2018 10:30:54.472,6717164
18/07/2018 10:30:54.512,6692232
18/07/2018 10:30:54.552,6677160
18/07/2018 10:30:54.592,6668488
18/07/2018 10:30:54.632,6661777
18/07/2018 10:30:54.672,6655222
18/07/2018 10:30:54.712,6650525
18/07/2018 10:30:54.752,6646240
18/07/2018 10:30:54.792,6642369
18/07/2018 10:30:54.832,6637878
18/07/2018 10:30:54.872,6631426
18/07/2018 10:30:54.912,6628432
18/07/2018 10:30:54.952,6624974
18/07/2018 10:30:54.992,6622032
18/07/2018 10:30:55.032,6620947
18/07/2018 10:30:55.072,6618831
18/07/2018 10:30:55.112,6617696
18/07/2018 10:30:55.152,6616766
18/07/2018 10:30:55.192,6615838
18/07/2018 10:30:55.232,6615682
18/07/2018 10:30:55.272,6615270
18/07/2018 10:30:55.312,6615373
18/07/2018 10:30:55.352,6615528
18/07/2018 10:30:55.392,6615166
18/07/2018 10:30:55.432,6615321
18/07/2018 10:30:55.472,6616457
18/07/2018 10:30:55.512,6617850
18/07/2018 10:30:55.552,6619141
18/07/2018 10:30:55.592,6619657
18/07/2018 10:30:55.632,6619863
18/07/2018 10:30:55.672,6618418
18/07/2018 10:30:55.712,6618780
18/07/2018 10:30:55.752,6619399
18/07/2018 10:30:55.792,6616715
18/07/2018 10:30:55.832,6614599
18/07/2018 10:30:55.872,6612379
18/07/2018 10:30:55.912,6609643
18/07/2018 10:30:55.952,6607372
18/07/2018 10:30:55.992,6603862
18/07/2018 10:30:56.032,6600713
18/07/2018 10:30:56.072,6598700
18/07/2018 10:30:56.112,6597100
18/07/2018 10:30:56.152,6596119
18/07/2018 10:30:56.192,6595655
18/07/2018 10:30:56.232,6595087
18/07/2018 10:30:56.272,6594467
18/07/2018 10:30:56.312,6593693
18/07/2018 10:30:56.352,6595965
18/07/2018 10:30:56.392,6596068
18/07/2018 10:30:56.432,6596274
18/07/2018 10:30:56.472,6597668
18/07/2018 10:30:56.512,6599681
18/07/2018 10:30:56.552,6601229
18/07/2018 10:30:56.592,6600662
18/07/2018 10:30:56.632,6601901
18/07/2018 10:30:56.672,6602623
18/07/2018 10:30:56.712,6604275
18/07/2018 10:30:56.752,6604171
18/07/2018 10:30:56.792,6603707
18/07/2018 10:30:56.832,6602726
18/07/2018 10:30:56.872,6602881
18/07/2018 10:30:56.912,6602055
18/07/2018 10:30:56.952,6602572
18/07/2018 10:30:56.992,6603501
18/07/2018 10:30:57.032,6601745
18/07/2018 10:30:57.072,6600507
18/07/2018 10:30:57.112,6599681
18/07/2018 10:30:57.152,6598494
18/07/2018 10:30:57.192,6598648
18/07/2018 10:30:57.232,6598029
18/07/2018 10:30:57.272,6598132
18/07/2018 10:30:57.312,6597203
18/07/2018 10:30:57.352,6597616
18/07/2018 10:30:57.392,6597926
18/07/2018 10:30:57.432,6598132
18/07/2018 10:30:57.472,6598597
18/07/2018 10:30:57.512,6598236
18/07/2018 10:30:57.552,6598494
18/07/2018 10:30:57.592,6599010
18/07/2018 10:30:57.632,6599526
18/07/2018 10:30:57.672,6599113
18/07/2018 10:30:57.712,6599733
18/07/2018 10:30:57.752,6599371
18/07/2018 10:30:57.792,6599526
18/07/2018 10:30:57.832,6599887
18/07/2018 10:30:57.872,6601074
18/07/2018 10:30:57.912,6602468
18/07/2018 10:30:57.952,6603088
18/07/2018 10:30:57.992,6603191
18/07/2018 10:30:58.032,6603139
18/07/2018 10:30:58.072,6602623
18/07/2018 10:30:58.112,6602055
18/07/2018 10:30:58.152,6600249
18/07/2018 10:30:58.192,6598907
18/07/2018 10:30:58.232,6598442
18/07/2018 10:30:58.272,6596481
18/07/2018 10:30:58.312,6594261
18/07/2018 10:30:58.352,6588635
18/07/2018 10:30:58.392,6588119
18/07/2018 10:30:58.432,6590235
18/07/2018 10:30:58.472,6588170
18/07/2018 10:30:58.512,6585847
18/07/2018 10:30:58.552,6589461
18/07/2018 10:30:58.592,6595809
18/07/2018 10:30:58.632,6599268
18/07/2018 10:30:58.672,6603810
18/07/2018 10:30:58.712,6608817
18/07/2018 10:30:58.752,6615063
18/07/2018 10:30:58.792,6620483
18/07/2018 10:30:58.832,6623787
18/07/2018 10:30:58.872,6623270
18/07/2018 10:30:58.912,6618264
18/07/2018 10:30:58.952,6611192
18/07/2018 10:30:58.992,6607424
18/07/2018 10:30:59.032,6605514
18/07/2018 10:30:59.072,6607630
18/07/2018 10:30:59.112,6611605
18/07/2018 10:30:59.152,6613308
18/07/2018 10:30:59.192,6614237
18/07/2018 10:30:59.232,6613360
18/07/2018 10:30:59.272,6613721
18/07/2018 10:30:59.312,6617644
18/07/2018 10:30:59.352,6624096
18/07/2018 10:30:59.392,6635504
18/07/2018 10:30:59.432,6664100
18/07/2018 10:30:59.472,6710040
18/07/2018 10:30:59.512,6766149
18/07/2018 10:30:59.552,6828813
18/07/2018 10:30:59.592,6885335
18/07/2018 10:30:59.632,6941238
18/07/2018 10:30:59.672,6988417
18/07/2018 10:30:59.712,7035131
18/07/2018 10:30:59.752,7066721
18/07/2018 10:30:59.792,7086955
18/07/2018 10:30:59.832,7101924
18/07/2018 10:30:59.872,7107603
18/07/2018 10:30:59.912,7108635
18/07/2018 10:30:59.952,7108532
18/07/2018 10:30:59.992,7095627
18/07/2018 10:31:00.032,7049997
18/07/2018 10:31:00.072,6988933
18/07/2018 10:31:00.112,6932876
18/07/2018 10:31:00.152,6867837
18/07/2018 10:31:00.192,6792629
18/07/2018 10:31:00.232,6717009
18/07/2018 10:31:00.272,6660074
