SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2018,07,18,37850432,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2018,07,18,37859400,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2018,07,18,37915671,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,07,18,37916669,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2018,07,18,37916670,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,07,18,37917650,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,07,18,37940090,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,07,18,37959790,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2018,07,18,37961026,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,07,18,37961362,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,07,18,37963322,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,07,18,37963750,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2018,07,18,37977446,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,07,18,37977750,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,07,18,37983740,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,07,18,37984540,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,07,18,37985152,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,07,18,37985520,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2018,07,18,37987790,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
