Frame#,Time,Timestamp,Perspiration
0,0,Wed Aug 08 11:10:00.968 2018,0.002269786
1,0.0458777,Wed Aug 08 11:10:01.014 2018,0.002269786
2,0.0598396,Wed Aug 08 11:10:01.028 2018,0.002529109
3,0.1027251,Wed Aug 08 11:10:01.071 2018,0.002529109
5,0.129654,Wed Aug 08 11:10:01.098 2018,0.001882349
6,0.1675523,Wed Aug 08 11:10:01.136 2018,0.002079988
7,0.1964745,Wed Aug 08 11:10:01.165 2018,0.002666672
8,0.2174195,Wed Aug 08 11:10:01.186 2018,0.002635289
9,0.2433504,Wed Aug 08 11:10:01.212 2018,0.001920006
10,0.2832434,Wed Aug 08 11:10:01.251 2018,0.001920006
12,0.3271267,Wed Aug 08 11:10:01.295 2018,0.002133431
13,0.3690149,Wed Aug 08 11:10:01.337 2018,0.001920088
14,0.3939476,Wed Aug 08 11:10:01.362 2018,0.00196925
15,0.4208761,Wed Aug 08 11:10:01.389 2018,0.001969274
16,0.4767262,Wed Aug 08 11:10:01.445 2018,0.001969274
17,0.503654,Wed Aug 08 11:10:01.472 2018,0.001969297
18,0.5624969,Wed Aug 08 11:10:01.531 2018,0.001969297
19,0.5934143,Wed Aug 08 11:10:01.562 2018,0.002752077
20,0.6303163,Wed Aug 08 11:10:01.599 2018,0.003040078
21,0.6572441,Wed Aug 08 11:10:01.625 2018,0.003250092
22,0.7180843,Wed Aug 08 11:10:01.686 2018,0.003395203
23,0.8407531,Wed Aug 08 11:10:01.809 2018,0.002080044
24,0.8666843,Wed Aug 08 11:10:01.835 2018,0.002890317
25,0.9454744,Wed Aug 08 11:10:01.914 2018,0.002533297
26,0.9803813,Wed Aug 08 11:10:01.949 2018,0.00184616
27,1.027255,Wed Aug 08 11:10:01.995 2018,0.002254538
28,1.082109,Wed Aug 08 11:10:02.050 2018,0.002199948
29,1.129981,Wed Aug 08 11:10:02.098 2018,0.001983944
30,1.173864,Wed Aug 08 11:10:02.142 2018,0.002729357
31,1.207773,Wed Aug 08 11:10:02.176 2018,0.002357874
32,1.253651,Wed Aug 08 11:10:02.222 2018,0.002338451
33,1.311496,Wed Aug 08 11:10:02.280 2018,0.003466647
34,1.396269,Wed Aug 08 11:10:02.364 2018,0.002844439
35,1.488026,Wed Aug 08 11:10:02.456 2018,0.002399971
36,1.542878,Wed Aug 08 11:10:02.511 2018,0.002200005
37,1.593742,Wed Aug 08 11:10:02.562 2018,0.002646158
