"Time","NR_Perspiration","CovertedTime","Perspiration","Session"
5,0.00278604604268183,2018-07-27 14:11:31,0.002808189,"RestingBaseline"
6,0.00279850728529073,2018-07-27 14:11:32,0.00358054755555556,"RestingBaseline"
7,0.00281105170575657,2018-07-27 14:11:33,0.00246233261538462,"RestingBaseline"
8,0.00282301689696179,2018-07-27 14:11:34,0.00222924928,"RestingBaseline"
9,0.00283515647413216,2018-07-27 14:11:35,0.00209537451851852,"RestingBaseline"
10,0.00284727835067934,2018-07-27 14:11:36,0.002887578,"RestingBaseline"
11,0.0028580137545934,2018-07-27 14:11:37,0.002977677,"RestingBaseline"
12,0.0028690146540036,2018-07-27 14:11:38,0.00292757088461538,"RestingBaseline"
13,0.0028807639291183,2018-07-27 14:11:39,0.00245319254166667,"RestingBaseline"
14,0.00289233243385272,2018-07-27 14:11:40,0.00332891544,"RestingBaseline"
15,0.00290443138849114,2018-07-27 14:11:41,0.00345849334615385,"RestingBaseline"
16,0.00291682715474646,2018-07-27 14:11:42,0.0029069345,"RestingBaseline"
17,0.00292904004622317,2018-07-27 14:11:43,0.0030138784,"RestingBaseline"
18,0.00294082254975356,2018-07-27 14:11:44,0.00308912208333333,"RestingBaseline"
19,0.00295192315356406,2018-07-27 14:11:45,0.00280069681818182,"RestingBaseline"
20,0.00296330002322347,2018-07-27 14:11:46,0.003311143,"RestingBaseline"
21,0.00297567463825601,2018-07-27 14:11:47,0.00263612923076923,"RestingBaseline"
22,0.00298806467952173,2018-07-27 14:11:48,0.0025513254,"RestingBaseline"
23,0.00300044697845063,2018-07-27 14:11:49,0.00242790742307692,"RestingBaseline"
24,0.0030123078734723,2018-07-27 14:11:50,0.00340183530434783,"RestingBaseline"
25,0.00302361699587813,2018-07-27 14:11:51,0.00334920929166667,"RestingBaseline"
26,0.00303482324647726,2018-07-27 14:11:52,0.00374249126086957,"RestingBaseline"
27,0.00304588188886258,2018-07-27 14:11:53,0.00330007079166667,"RestingBaseline"
28,0.00305743093567051,2018-07-27 14:11:54,0.002653203,"RestingBaseline"
29,0.00306870280945559,2018-07-27 14:11:55,0.00346116929166667,"RestingBaseline"
30,0.00307919830430673,2018-07-27 14:11:56,0.003421893875,"RestingBaseline"
31,0.00308911337228133,2018-07-27 14:11:57,0.0029520912173913,"RestingBaseline"
32,0.003098612907625,2018-07-27 14:11:58,0.00329261158333333,"RestingBaseline"
33,0.00310765318768885,2018-07-27 14:11:59,0.00376023243478261,"RestingBaseline"
34,0.00311618227834979,2018-07-27 14:12:00,0.00362909875,"RestingBaseline"
35,0.0031244923747618,2018-07-27 14:12:01,0.00371073304,"RestingBaseline"
36,0.00313232795301461,2018-07-27 14:12:02,0.00375668228,"RestingBaseline"
37,0.00313962186860509,2018-07-27 14:12:03,0.00390224546153846,"RestingBaseline"
38,0.00314608774156598,2018-07-27 14:12:04,0.00319822783333333,"RestingBaseline"
39,0.00315089031265708,2018-07-27 14:12:05,0.00421764158823529,"RestingBaseline"
40,0.00315521847477387,2018-07-27 14:12:06,0.0034563485,"RestingBaseline"
41,0.0031599221185624,2018-07-27 14:12:07,0.00300213846153846,"RestingBaseline"
42,0.00316394911621578,2018-07-27 14:12:08,0.005079371,"RestingBaseline"
43,0.00316709723591867,2018-07-27 14:12:09,0.00255090823809524,"RestingBaseline"
44,0.0031698339984018,2018-07-27 14:12:10,0.00245990286956522,"RestingBaseline"
45,0.00317191148657899,2018-07-27 14:12:11,0.0031993412,"RestingBaseline"
46,0.00317327589038939,2018-07-27 14:12:12,0.00413771684615385,"RestingBaseline"
47,0.00317483802511918,2018-07-27 14:12:13,0.00323455404347826,"RestingBaseline"
48,0.00317654915478115,2018-07-27 14:12:14,0.00396528859090909,"RestingBaseline"
49,0.00317792954609225,2018-07-27 14:12:15,0.0034298517,"RestingBaseline"
50,0.00317916307435605,2018-07-27 14:12:16,0.00367284126086957,"RestingBaseline"
51,0.00318042755643058,2018-07-27 14:12:17,0.00313701940740741,"RestingBaseline"
52,0.00318161600627373,2018-07-27 14:12:18,0.0031815286,"RestingBaseline"
53,0.00318265391631857,2018-07-27 14:12:19,0.00259467156521739,"RestingBaseline"
54,0.00318368845595481,2018-07-27 14:12:20,0.00335315272,"RestingBaseline"
55,0.00318481326672355,2018-07-27 14:12:21,0.00453682228,"RestingBaseline"
56,0.00318603260026804,2018-07-27 14:12:22,0.00270763024,"RestingBaseline"
57,0.0031873860883027,2018-07-27 14:12:23,0.00274376364,"RestingBaseline"
58,0.00318893759005108,2018-07-27 14:12:24,0.00313772942307692,"RestingBaseline"
59,0.00319064540378516,2018-07-27 14:12:25,0.00315499683333333,"RestingBaseline"
60,0.00319247233168947,2018-07-27 14:12:26,0.00343395216666667,"RestingBaseline"
61,0.00319452704803137,2018-07-27 14:12:27,0.00297104,"RestingBaseline"
62,0.00319681155206503,2018-07-27 14:12:28,0.00307174192,"RestingBaseline"
63,0.00319932076638982,2018-07-27 14:12:29,0.00294489369230769,"RestingBaseline"
64,0.00320198414968016,2018-07-27 14:12:30,0.00307946588,"RestingBaseline"
65,0.0032044385883546,2018-07-27 14:12:31,0.00321363295,"RestingBaseline"
66,0.00320691558534334,2018-07-27 14:12:32,0.00374026183333333,"RestingBaseline"
67,0.00320979569050293,2018-07-27 14:12:33,0.00316841519230769,"RestingBaseline"
68,0.0032128432416481,2018-07-27 14:12:34,0.00349487326923077,"RestingBaseline"
69,0.00321592976591988,2018-07-27 14:12:35,0.00353503692307692,"RestingBaseline"
70,0.00321893097140571,2018-07-27 14:12:36,0.00372076633333333,"RestingBaseline"
71,0.00322197425387656,2018-07-27 14:12:37,0.00368563330769231,"RestingBaseline"
72,0.003225204018953,2018-07-27 14:12:38,0.00343921423076923,"RestingBaseline"
73,0.00322853228181203,2018-07-27 14:12:39,0.00346854526923077,"RestingBaseline"
74,0.00323193051171836,2018-07-27 14:12:40,0.00295054472,"RestingBaseline"
75,0.00323550494001328,2018-07-27 14:12:41,0.00351778473076923,"RestingBaseline"
76,0.00323929407695112,2018-07-27 14:12:42,0.00304011308,"RestingBaseline"
77,0.00324333781476351,2018-07-27 14:12:43,0.00288216453846154,"RestingBaseline"
78,0.00324766229401628,2018-07-27 14:12:44,0.00253492276,"RestingBaseline"
79,0.00325210240877639,2018-07-27 14:12:45,0.003452180125,"RestingBaseline"
80,0.00325693446793784,2018-07-27 14:12:46,0.00291227757692308,"RestingBaseline"
81,0.00326227847643838,2018-07-27 14:12:47,0.00316240557692308,"RestingBaseline"
82,0.00326794143294052,2018-07-27 14:12:48,0.00412823207692308,"RestingBaseline"
83,0.00327378832088058,2018-07-27 14:12:49,0.00338145728,"RestingBaseline"
84,0.00327990472280715,2018-07-27 14:12:50,0.00332303557692308,"RestingBaseline"
85,0.00328613034569817,2018-07-27 14:12:51,0.00325327670833333,"RestingBaseline"
86,0.00329255320059578,2018-07-27 14:12:52,0.00286932430769231,"RestingBaseline"
87,0.00329926145723535,2018-07-27 14:12:53,0.0027161746,"RestingBaseline"
88,0.0033060817421717,2018-07-27 14:12:54,0.00319341396153846,"RestingBaseline"
89,0.0033128229335832,2018-07-27 14:12:55,0.00406906945833333,"RestingBaseline"
90,0.0033194276950718,2018-07-27 14:12:56,0.00328731196,"RestingBaseline"
91,0.00332623915176537,2018-07-27 14:12:57,0.00385616896153846,"RestingBaseline"
92,0.00333279483980996,2018-07-27 14:12:58,0.003433086375,"RestingBaseline"
93,0.00333879008807345,2018-07-27 14:12:59,0.00346427730434783,"RestingBaseline"
94,0.00334468936766702,2018-07-27 14:13:00,0.00310214352,"RestingBaseline"
95,0.00335065434739646,2018-07-27 14:13:01,0.00384152,"RestingBaseline"
96,0.00335614490414786,2018-07-27 14:13:02,0.00362765758333333,"RestingBaseline"
97,0.00336112206008405,2018-07-27 14:13:03,0.002801717,"RestingBaseline"
98,0.00336548642067435,2018-07-27 14:13:04,0.00375540718181818,"RestingBaseline"
99,0.00336932039839719,2018-07-27 14:13:05,0.00383415725,"RestingBaseline"
100,0.00337243708530421,2018-07-27 14:13:06,0.00464070194444444,"RestingBaseline"
101,0.00337525424460701,2018-07-27 14:13:07,0.003883013,"RestingBaseline"
102,0.00337783881375651,2018-07-27 14:13:08,0.00390527327272727,"RestingBaseline"
103,0.00337986882232164,2018-07-27 14:13:09,0.00374893253846154,"RestingBaseline"
104,0.00338144914414324,2018-07-27 14:13:10,0.0034673972,"RestingBaseline"
105,0.00338242846632322,2018-07-27 14:13:11,0.00381323996,"RestingBaseline"
106,0.00338287586569022,2018-07-27 14:13:12,0.00312007845833333,"RestingBaseline"
107,0.0033828499186014,2018-07-27 14:13:13,0.00382803453846154,"RestingBaseline"
108,0.00338240827356805,2018-07-27 14:13:14,0.00384896083333333,"RestingBaseline"
109,0.00338163595650803,2018-07-27 14:13:15,0.00470436736,"RestingBaseline"
110,0.0033805698256867,2018-07-27 14:13:16,0.00389942711538462,"RestingBaseline"
111,0.00337934046273053,2018-07-27 14:13:17,0.00276975144,"RestingBaseline"
112,0.0033780847244098,2018-07-27 14:13:18,0.00361767672,"RestingBaseline"
113,0.0033769134804045,2018-07-27 14:13:19,0.00302339375,"RestingBaseline"
114,0.0033758909703268,2018-07-27 14:13:20,0.00357833176923077,"RestingBaseline"
115,0.00337514323929526,2018-07-27 14:13:21,0.00352907108333333,"RestingBaseline"
116,0.00337477895462414,2018-07-27 14:13:22,0.00287964256,"RestingBaseline"
117,0.00337487222084119,2018-07-27 14:13:23,0.00309416388461538,"RestingBaseline"
118,0.00337549709191168,2018-07-27 14:13:24,0.00286184658333333,"RestingBaseline"
119,0.00337662077159122,2018-07-27 14:13:25,0.003218284,"RestingBaseline"
120,0.00337834018720238,2018-07-27 14:13:26,0.00353332924,"RestingBaseline"
121,0.00338069331984799,2018-07-27 14:13:27,0.002859061875,"RestingBaseline"
122,0.00338358930997607,2018-07-27 14:13:28,0.00330285266666667,"RestingBaseline"
123,0.00338712860026561,2018-07-27 14:13:29,0.00330987024,"RestingBaseline"
124,0.00339112477989977,2018-07-27 14:13:30,0.00285666986956522,"RestingBaseline"
125,0.00339541039337466,2018-07-27 14:13:31,0.0023606062173913,"RestingBaseline"
126,0.00340030077370446,2018-07-27 14:13:32,0.00500730144,"RestingBaseline"
127,0.00340588641612778,2018-07-27 14:13:33,0.00311217457692308,"RestingBaseline"
128,0.00341178776253592,2018-07-27 14:13:34,0.0030340658,"RestingBaseline"
129,0.00341767196585513,2018-07-27 14:13:35,0.00377839783333333,"RestingBaseline"
130,0.00342207796145358,2018-07-27 14:13:36,0.00398055441666667,"RestingBaseline"
131,0.00342516247432034,2018-07-27 14:13:37,0.00381570538461538,"RestingBaseline"
132,0.00342825247238185,2018-07-27 14:13:38,0.00368498658333333,"RestingBaseline"
133,0.0034313371173136,2018-07-27 14:13:39,0.00303599984615385,"RestingBaseline"
