Time,BtoB
27/07/2018 13:51:57.410,6000
,9930
,1920
,1770
,5910
,18760
,3680
,3610
,1520
,1250
,4720
,16640
,34930
,3730
,1790
,1850
,1580
,3570
,5520
,5820
,4110
,8260
,1000
,3080
,7410
,1960
,2110
,9920
,2760
,6520
,1870
,1150
,6750
,3360
,6960
,5770
,1810
,460
,4290
,1570
,4160
,4180
,3410
,20850
,2120
,8340
,20350
,1730
,9340
,5040
,43180
,1190
,2460
,2740
,1810
,12000
,2830
,6160
,7170
,6750
,1580
,4780
,2290
,3690
,4020
,4050
,5110
,5160
,7760
,4360
,1420
,2480
,1990
,4820
,3660
,1360
,2000
,3290
,1630
,2050
,2310
,1740
,1850
,6470
,4740
,1760
,1490
,2550
,3000
,5740
,2650
,2500
,2070
,3230
,2410
,2390
,2540
,2600
,4640
,2200
,2390
,2940
,1770
,3700
,1540
,1700
,3340
,2540
,370
,560
,2780
,1610
,1310
,2360
,1440
,3540
,3000
,2780
,2900
,3620
,2860
,3170
,4350
,2600
,3150
,2840
,4190
,2110
,2860
,4030
,2000
,1280
,1620
,2940
,2500
,2540
,2600
,2560
,2960
,2760
,1870
,2980
,3200
,3090
,5290
,2600
,2750
,2840
,2280
,2970
,3120
,2150
,2910
,2150
,1010
,1450
,2590
,2810
,2970
,1450
,1570
,2590
,2230
,2880
,2890
,2750
,2720
,2430
,3590
,1810
,1670
,1210
,2550
,3070
,1760
,7770
,2530
,5500
,2650
,1990
,2400
,2200
,760
,1980
,2420
,4920
,4310
,3050
,3890
,1370
,3260
,2440
,2430
,2780
,4710
,1100
,1930
,4680
,1470
,2460
,3660
,2860
,1130
,3200
,3310
,3040
,3420
,2720
,2400
,2650
,2750
,2400
,2840
,2620
,2680
,2930
,1090
,2300
,3880
,3660
,2630
,2630
,2450
,2180
,910
,2690
,2940
,2720
,2890
,2560
,2580
,2750
,2930
,3090
,2530
,2670
,2620
,2540
,2470
,5870
,3270
,8080
,2070
,2270
,2390
,2310
,2720
,2580
,2420
,2170
,2650
,2460
,2420
,2930
,3280
,2880
,2960
,2880
,2270
,2340
,2750
,2500
,2220
,2850
,2570
,2320
,2670
,4840
,2150
,3780
,2220
,3210
,2570
,1830
,4020
,3280
,2840
,2820
,2820
,2810
,2770
,2830
,980
,3490
,1870
,2650
,2980
,2840
,2680
,2760
,3170
,2730
,1890
,2430
,910
,1240
,4050
,4510
,1250
,3470
,1390
,2700
,2480
,2510
,2270
,2870
,2340
,2820
,2490
,2720
,2600
,3040
,2680
,2750
,2660
,2850
,2550
,2810
,2380
,2500
,2040
,2580
,1270
,2270
,2660
,1930
,2340
,2720
,3100
,2810
,2020
,2900
,1820
,2950
,1490
,2550
,3070
,2340
,2010
,2390
,2870
,3340
,5290
,5710
,6030
,4880
,5070
,6820
,5730
,6350
,5480
,4960
,4330
,4930
,6010
,6880
,5960
,6950
,5380
,5130
,5230
,4210
,4700
,4950
,4830
,5120
,2990
,5810
,5180
,6580
,5390
,5280
,5030
,4880
,5390
,5440
,4720
,4310
,5410
,5260
,4390
,5980
,4740
,3390
,3840
,4070
,4100
,5490
,5210
,4850
,3830
,4780
,4480
,5040
,5930
,7410
,7660
,7680
,6960
,4150
,3800
,6510
,8320
,3940
,1470
,2930
,7850
,3190
,2840
,2670
,3930
,3460
,4280
,2720
,2920
,6710
,3100
,3220
,2640
,2580
,3100
,3000
,3150
,2920
,2680
,2430
,2740
,2720
,3190
,2610
,2690
,2630
,3380
,2520
,2850
,2850
,2730
,2860
,3010
,2690
,2340
,2810
,2970
,2750
,3080
,2960
,2580
,1550
,1600
,2510
,2560
,2000
,4480
,10060
,2920
,3560
,2740
,2910
,2180
,2910
,2520
,2870
,2370
,3640
,2610
,2850
,2550
,2880
,2670
,2540
,2830
,4670
,2620
,2510
,2400
,2420
,2680
,2130
,2920
,2760
,2280
,2880
,1970
,2700
,2520
,2140
,2740
,2930
,2740
,2590
,2970
,3380
,3200
,2680
,3510
,2050
,2710
,2080
,2480
,2080
,2640
,2430
,2430
,2550
,2460
,1980
,3210
