SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2018,07,24,51911446,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2018,07,24,51921552,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,07,24,51922071,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,07,24,51928152,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,07,24,51929067,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2018,07,24,51983670,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,07,24,51983749,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,07,24,51988759,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,07,24,52005739,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2018,07,24,52010749,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,07,24,52048729,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2018,07,24,52049721,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,07,24,52050729,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2018,07,24,52084691,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,07,24,52088709,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,07,24,52093680,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,07,24,52099700,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2018,07,24,52104700,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,07,24,52111589,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2018,07,24,52116589,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,07,24,52151429,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,07,24,52154439,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,07,24,52157439,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,07,24,52161439,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,07,24,52165430,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,07,24,58815339,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
