Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
24/07/2018 14:25:11.446,65,6553.5,-3276.8,-62,0.41,1.16,4.165,94,0.000,65535.000,255,0.000000,0.000040,0,65535,0,65535,0,0,-0.63,0.48,-0.19,1.81,0.01,0.54,28.1,539,255,-128,-128,6553.5,417,423,502
24/07/2018 14:25:12.446,65,6553.5,-3276.8,-61,0.12,0.26,4.165,94,0.000,65535.000,255,0.000000,0.000040,0,65535,0,65535,0,0,-0.57,-0.38,0.62,1.00,0.20,0.39,28.1,539,255,-128,-128,6553.5,413,418,496
24/07/2018 14:25:13.446,65,6553.5,-3276.8,-61,0.07,0.12,4.165,94,0.000,65535.000,255,0.000240,0.000040,0,65535,0,65535,0,0,-0.54,-0.42,0.77,0.84,0.31,0.39,28.1,539,255,-128,-128,6553.5,414,418,496
24/07/2018 14:25:14.446,65,6553.5,-3276.8,-59,0.06,0.09,4.165,94,0.000,65535.000,255,0.000240,0.000040,0,65535,0,65535,0,0,-0.57,-0.49,0.73,0.83,0.25,0.37,28.1,539,255,-128,-128,6553.5,412,419,496
24/07/2018 14:25:15.446,65,6553.5,-3276.8,-57,0.07,0.12,4.167,94,0.000,65535.000,255,0.000060,0.000040,0,65535,0,65535,0,0,-0.59,-0.40,0.69,0.86,0.21,0.37,28.0,539,255,-128,-128,6553.5,413,419,495
24/07/2018 14:25:16.446,65,6553.5,-3276.8,-61,0.12,0.32,4.169,94,0.000,65535.000,255,0.000060,0.000040,0,65535,0,65535,0,0,-0.51,-0.19,0.71,1.01,0.19,0.55,28.0,539,255,-128,-128,6553.5,404,410,492
24/07/2018 14:25:17.446,65,6553.5,-3276.8,-74,0.74,1.73,4.169,94,0.000,65535.000,255,0.000060,0.000040,0,65535,0,65535,0,0,-0.49,0.81,-0.77,1.43,-0.26,0.28,28.0,539,255,-128,-128,6553.5,411,414,478
24/07/2018 14:25:18.446,0,6553.5,-3276.8,-89,0.98,1.83,4.169,94,0.000,65535.000,255,0.000800,0.000040,0,65535,0,65535,0,0,-0.90,0.98,-1.57,1.53,-0.18,1.74,28.0,539,255,-128,-128,6553.5,413,418,495
24/07/2018 14:25:19.446,0,6553.5,-3276.8,-53,0.87,1.27,4.169,94,0.000,65535.000,255,0.000800,0.000040,0,65535,0,65535,0,0,-0.97,0.20,-0.98,1.09,-0.38,1.57,28.0,539,255,-128,-128,6553.5,416,420,497
24/07/2018 14:25:20.446,0,5.3,-3276.8,-89,0.86,1.24,4.169,94,605.000,65535.000,255,0.000800,0.000040,0,65535,0,65535,0,0,-0.09,0.67,0.45,1.28,-0.36,0.13,28.0,539,255,-128,-128,6553.5,414,419,496
24/07/2018 14:25:21.446,0,4.8,-3276.8,-110,0.51,0.81,4.165,94,4308.000,65535.000,255,0.000800,0.000040,0,65535,0,65535,3,0,0.30,0.69,0.55,1.26,-0.06,0.16,28.0,528,255,-128,-128,6553.5,414,418,495
24/07/2018 14:25:22.446,0,4.8,-3276.8,-116,0.32,0.60,4.163,93,4987.000,65535.000,255,0.000800,0.000020,0,65535,0,65535,3,1,0.18,0.85,0.33,1.42,-0.18,0.68,28.0,528,255,-128,-128,6553.5,413,418,496
24/07/2018 14:25:23.446,0,4.3,-3276.8,-116,0.24,0.53,4.161,93,5229.000,65535.000,255,0.000800,0.000040,0,65535,0,65535,3,2,0.07,0.96,0.48,1.22,-0.06,0.53,28.0,528,255,-128,-128,6553.5,414,420,495
24/07/2018 14:25:24.446,0,4.3,-3276.8,-109,0.25,0.43,4.161,93,5533.000,65535.000,255,0.000800,0.000040,0,65535,0,65535,3,3,0.00,0.32,0.42,1.28,-0.10,0.48,28.0,528,255,-128,-128,6553.5,413,419,495
24/07/2018 14:25:25.446,0,3.9,-3276.8,-105,0.23,0.56,4.164,94,5132.000,65535.000,255,0.000800,0.000040,0,65535,0,65535,3,4,-0.20,0.50,0.53,1.38,-0.18,0.81,28.0,528,255,-128,-128,6553.5,403,404,476
24/07/2018 14:25:26.446,0,3.9,-3276.8,-101,0.21,0.49,4.164,94,4531.000,65535.000,255,0.000800,0.000020,0,65535,0,65535,3,5,-0.07,0.28,0.59,1.37,-0.12,0.59,28.0,528,254,0,12,6553.5,411,416,496
24/07/2018 14:25:27.446,0,6553.5,-3276.8,-102,0.23,0.78,4.164,94,7155.000,65535.000,255,0.000800,0.000040,0,65535,0,65535,3,6,-0.08,0.86,-0.15,1.22,-0.12,0.59,28.0,539,254,0,12,6553.5,413,418,495
24/07/2018 14:25:28.446,0,6553.5,-3276.8,-99,0.25,0.72,4.164,94,9303.000,65535.000,255,0.000800,0.000040,0,65535,0,65535,0,0,-0.26,0.33,0.55,1.56,-0.26,0.75,28.0,539,254,0,12,6553.5,411,416,496
24/07/2018 14:25:29.446,0,5.1,-3276.8,-97,0.24,0.46,4.164,94,9052.000,65535.000,255,0.000800,0.000040,0,65535,0,65535,0,0,-0.09,0.60,0.66,1.36,-0.22,0.59,28.0,539,254,0,12,6553.5,423,425,501
