Time,RtoR
19/06/2018 10:24:13.426,3772
,586
,1114
,259
,2982
,207
,219
,113
,278
,266
,2191
,421
,134
,219
,412
,116
,308
,241
,562
,199
,603
,134
,909
,254
,1392
,1520
,155
,1832
,164
,338
,154
,633
,274
,44
,407
,101
,1167
,261
,196
,1157
,21159
,81
,256
,4420
,230
,86
,319
,216
,355
,258
,358
,596
,1066
,453
,302
,189
,299
,4312
,343
,6525
,242
,1719
,833
,6103
,662
,1409
,637
,778
,435
,258
,38
,295
,566
,324
,180
,602
,560
,558
,577
,582
,531
,413
,176
,541
,529
,1029
,515
,509
,517
,509
,508
,511
,514
,516
,1038
,535
,203
,360
,562
,579
,550
,552
,554
,563
,574
,604
,599
,615
,607
,612
,577
,570
,582
,605
,587
,598
,601
,624
,580
,574
,575
,606
,626
,593
,596
,609
,596
,634
,634
,635
,607
,603
,605
,589
,557
,553
,556
,574
,595
,611
,577
,606
,619
,641
,620
,656
,653
,647
,614
,638
,621
,586
,565
,563
,563
,561
,577
,606
,596
,587
,613
,656
,656
,687
,644
,610
,629
,629
,608
,599
,610
,584
,597
,624
,620
,615
,607
,606
,593
,571
,554
,550
,551
,563
,582
,620
,655
,715
,773
,765
,680
,674
,661
,634
,583
,576
,580
,587
,629
,654
,646
,652
,587
,598
,588
,565
,566
,570
,586
,608
,646
,636
,657
,637
,639
,649
,646
,615
,612
,634
,639
,649
,612
,595
,594
,597
,612
,623
,651
,618
,623
,652
,665
,684
,672
,659
,655
,630
,622
,598
,589
,588
,594
,601
,600
,589
,608
,629
,639
,618
,613
,640
,646
,637
,612
,616
,597
,578
,584
,600
,609
,646
,648
,631
,613
,651
,674
,694
,701
,716
,726
,706
,635
,612
,625
,642
,671
,709
,711
,688
,633
,641
,642
,666
,698
,700
,704
,676
,707
,721
,684
,647
,649
,664
,681
,659
,606
,610
,623
,662
,735
,728
,719
,759
,801
,797
,698
,729
,748
,757
,715
,681
,710
,728
,717
,664
,691
,713
,706
,655
,680
,701
,727
,751
,736
,685
,699
,707
,718
,752
,719
,701
,708
,712
,689
,688
,711
,740
,752
,762
,698
,717
,737
,736
,692
,695
,716
,729
,754
,727
,687
,713
,738
,761
,722
,747
,764
,768
,742
,679
,690
,713
,732
,712
,673
,681
,694
,723
,733
,712
,713
,726
,732
,688
,639
,637
,676
,702
,752
,808
,821
,816
,797
,780
,765
,747
,690
,679
,676
,698
,722
,709
,698
,709
,712
,676
,728
,767
,782
,783
,727
,709
,726
,750
,754
,685
,670
,690
,703
,655
,650
,651
,677
,706
,749
,727
,723
,756
,770
,714
,696
,729
,748
,734
,735
,714
,702
,633
,626
,613
,611
,615
,622
,607
,615
,619
,635
,636
,643
,631
,626
,622
,607
,587
,599
,599
,597
,610
,604
,596
,615
,637
,705
,746
,755
,755
,739
,679
,657
,664
,686
,723
,702
,688
,707
,729
,766
,764
,739
,691
,700
,717
,743
,755
,734
,699
,664
,669
,689
,718
,736
,674
,657
,661
,663
,669
,677
,647
,643
,653
,666
,680
,700
,694
,671
,674
,656
,632
,633
,648
,665
,667
,683
,693
,680
,654
,618
,622
,592
,601
,605
,619
,636
,634
,615
,597
,605
,612
,629
,660
,649
,645
,605
,596
,601
,597
,608
,673
,754
,803
,803
,798
,794
,784
,741
,715
,697
,691
,662
,663
,666
,641
,620
,636
,647
,619
,619
,631
,681
,711
,673
,686
,644
,647
,629
,596
,602
,593
,593
,602
,610
,600
,581
,603
,603
,617
,646
,646
,599
,612
,613
,633
,671
,702
,640
,657
,664
,697
,704
,643
,647
,653
,661
,665
,644
,625
,637
,640
,643
,675
,689
,676
,630
,644
,652
,676
,689
,710
,678
,682
,685
,693
,671
,656
,674
,703
,720
,748
,690
,698
,703
,710
,706
,719
,717
,694
,689
,627
,614
,616
,624
,646
,670
,635
,635
,645
,664
,693
,696
,680
,693
,704
,721
,725
,673
,684
,708
,739
,779
,807
,783
,721
,728
,737
,737
,691
,669
,669
,685
,722
,725
,693
,678
,674
,672
,634
,639
,656
,661
,632
,619
,615
,613
,617
,623
,608
,601
,595
,600
,622
,633
,640
,653
,676
,667
,638
,656
,700
,740
,761
,765
,760
,750
,741
,727
,714
,701
,687
,641
,645
,658
,681
,691
,642
,653
,679
,722
,756
,749
,697
,692
,695
,694
,696
,687
,679
,711
,714
,726
,677
,679
,686
,684
,690
,682
,644
,653
,660
,670
,691
,697
,684
,647
,634
,636
,621
,634
,645
,672
,701
,677
,641
,642
,653
,671
,688
,698
,661
,662
,668
,671
,682
,710
,721
,689
,691
,700
,703
,718
,728
,694
,687
,705
,707
,742
,740
,708
,684
,695
,700
,709
,700
,675
,695
,707
,714
,723
,711
,674
,678
,683
,700
,696
,672
,660
,666
,673
,687
,692
,661
,674
,697
,711
,701
,714
,707
,665
,666
,668
,665
,665
,673
,679
,683
,660
,669
,685
,698
,680
,677
,681
,680
,636
,630
,642
,657
,667
,645
,652
,670
,675
,693
,646
,630
,633
,638
,641
,647
,643
,633
,613
,604
,573
,575
,575
,577
,598
,620
,643
,624
,622
,648
,687
,735
,771
,778
,775
,735
,728
,723
,703
,696
,690
,686
,685
,638
,627
,642
,658
,758
,784
,717
,688
,700
,681
,742
,796
,754
,689
,696
,708
,711
,724
,736
,678
,680
,682
,700
,727
,770
,771
,761
,706
,669
,661
,634
,637
,634
,603
,602
,608
,606
,611
,614
,613
,611
,618
,623
,627
,633
,619
,613
,628
,643
,684
,718
,679
,683
,707
,735
,711
,698
,723
