Frame#,Time,Timestamp,Perspiration
0,0,Wed Jun 27 03:44:16.223 2018,0.00248042
1,0.136,Wed Jun 27 03:44:16.359 2018,0.00248042
2,0.267,Wed Jun 27 03:44:16.490 2018,0.003057554
3,0.4,Wed Jun 27 03:44:16.623 2018,0.005958893
4,0.533,Wed Jun 27 03:44:16.756 2018,0.004037898
5,0.666,Wed Jun 27 03:44:16.889 2018,0.002724581
6,0.801,Wed Jun 27 03:44:17.024 2018,0.002673302
7,0.933,Wed Jun 27 03:44:17.156 2018,0.002591885
8,1.068,Wed Jun 27 03:44:17.291 2018,0.002704675
9,1.2,Wed Jun 27 03:44:17.423 2018,0.003129539
10,1.334,Wed Jun 27 03:44:17.557 2018,0.005156748
11,1.468,Wed Jun 27 03:44:17.691 2018,0.005787083
12,1.601,Wed Jun 27 03:44:17.824 2018,0.006028675
13,1.734,Wed Jun 27 03:44:17.957 2018,0.003449478
14,1.869,Wed Jun 27 03:44:18.092 2018,0.004445966
15,2.002,Wed Jun 27 03:44:18.225 2018,0.00407337
16,2.135,Wed Jun 27 03:44:18.358 2018,0.005340512
18,2.403,Wed Jun 27 03:44:18.626 2018,0.003892562
19,2.536,Wed Jun 27 03:44:18.759 2018,0.003880428
20,2.669,Wed Jun 27 03:44:18.892 2018,0.006326865
21,2.802,Wed Jun 27 03:44:19.025 2018,0.005473132
22,2.936,Wed Jun 27 03:44:19.159 2018,0.004563517
23,3.07,Wed Jun 27 03:44:19.293 2018,0.004365109
24,3.203,Wed Jun 27 03:44:19.426 2018,0.005502696
25,3.336,Wed Jun 27 03:44:19.559 2018,0.0097697
26,3.483,Wed Jun 27 03:44:19.706 2018,0.007193564
27,3.604,Wed Jun 27 03:44:19.827 2018,0.005742977
28,3.737,Wed Jun 27 03:44:19.960 2018,0.004821174
29,3.87,Wed Jun 27 03:44:20.093 2018,0.005353805
30,4.004,Wed Jun 27 03:44:20.227 2018,0.006314162
31,4.138,Wed Jun 27 03:44:20.361 2018,0.007983529
32,4.271,Wed Jun 27 03:44:20.494 2018,0.006940096
33,4.404,Wed Jun 27 03:44:20.627 2018,0.007235743
34,4.537,Wed Jun 27 03:44:20.760 2018,0.006931663
35,4.671,Wed Jun 27 03:44:20.894 2018,0.006029102
36,4.804,Wed Jun 27 03:44:21.027 2018,0.003603583
37,4.938,Wed Jun 27 03:44:21.161 2018,0.004716587
38,5.071,Wed Jun 27 03:44:21.294 2018,0.006258702
39,5.205,Wed Jun 27 03:44:21.428 2018,0.004160848
40,5.338,Wed Jun 27 03:44:21.561 2018,0.003301704
41,5.472,Wed Jun 27 03:44:21.695 2018,0.003583608
42,5.605,Wed Jun 27 03:44:21.828 2018,0.002931176
43,5.739,Wed Jun 27 03:44:21.962 2018,0.007015773
44,5.89,Wed Jun 27 03:44:22.113 2018,0.005012724
45,6.007,Wed Jun 27 03:44:22.230 2018,0.004169995
46,6.14,Wed Jun 27 03:44:22.363 2018,0.003440574
47,6.272,Wed Jun 27 03:44:22.495 2018,0.004163037
48,6.406,Wed Jun 27 03:44:22.629 2018,0.004430495
49,6.54,Wed Jun 27 03:44:22.763 2018,0.003927779
50,6.673,Wed Jun 27 03:44:22.896 2018,0.004024282
51,6.806,Wed Jun 27 03:44:23.029 2018,0.005023957
52,6.941,Wed Jun 27 03:44:23.164 2018,0.004808579
53,7.098,Wed Jun 27 03:44:23.321 2018,0.005469519
54,7.206,Wed Jun 27 03:44:23.429 2018,0.005626812
55,7.34,Wed Jun 27 03:44:23.563 2018,0.005581651
56,7.474,Wed Jun 27 03:44:23.697 2018,0.003816267
57,7.619,Wed Jun 27 03:44:23.842 2018,0.005611177
58,7.741,Wed Jun 27 03:44:23.964 2018,0.00494867
59,7.875,Wed Jun 27 03:44:24.098 2018,0.004885554
60,8.008,Wed Jun 27 03:44:24.231 2018,0.004760476
61,8.14,Wed Jun 27 03:44:24.363 2018,0.003280624
62,8.275,Wed Jun 27 03:44:24.498 2018,0.004155522
63,8.409,Wed Jun 27 03:44:24.632 2018,0.005407102
64,8.543,Wed Jun 27 03:44:24.766 2018,0.004958597
65,8.674,Wed Jun 27 03:44:24.897 2018,0.004940546
66,8.81,Wed Jun 27 03:44:25.033 2018,0.006190422
67,8.942,Wed Jun 27 03:44:25.165 2018,0.003891838
68,9.075,Wed Jun 27 03:44:25.298 2018,0.004217279
69,9.21,Wed Jun 27 03:44:25.433 2018,0.004330236
70,9.342,Wed Jun 27 03:44:25.565 2018,0.006529409
71,9.489,Wed Jun 27 03:44:25.712 2018,0.005248403
72,9.611,Wed Jun 27 03:44:25.834 2018,0.006396863
73,9.742,Wed Jun 27 03:44:25.965 2018,0.005339641
74,9.876,Wed Jun 27 03:44:26.099 2018,0.007573958
75,10.011,Wed Jun 27 03:44:26.234 2018,0.006976621
76,10.144,Wed Jun 27 03:44:26.367 2018,0.005522612
78,10.417,Wed Jun 27 03:44:26.640 2018,0.005428026
79,10.543,Wed Jun 27 03:44:26.766 2018,0.005478322
80,10.677,Wed Jun 27 03:44:26.900 2018,0.003982498
81,10.812,Wed Jun 27 03:44:27.035 2018,0.004528717
82,10.944,Wed Jun 27 03:44:27.167 2018,0.004035822
83,11.077,Wed Jun 27 03:44:27.300 2018,0.005065199
84,11.212,Wed Jun 27 03:44:27.435 2018,0.005316493
85,11.344,Wed Jun 27 03:44:27.567 2018,0.004623646
86,11.477,Wed Jun 27 03:44:27.700 2018,0.005079419
87,11.613,Wed Jun 27 03:44:27.836 2018,0.007391013
88,11.745,Wed Jun 27 03:44:27.968 2018,0.005159272
89,11.878,Wed Jun 27 03:44:28.101 2018,0.005343215
90,12.014,Wed Jun 27 03:44:28.237 2018,0.004809958
91,12.146,Wed Jun 27 03:44:28.369 2018,0.004833465
92,12.278,Wed Jun 27 03:44:28.501 2018,0.005186089
93,12.413,Wed Jun 27 03:44:28.636 2018,0.005193477
94,12.545,Wed Jun 27 03:44:28.768 2018,0.006612622
95,12.678,Wed Jun 27 03:44:28.901 2018,0.007358943
96,12.813,Wed Jun 27 03:44:29.036 2018,0.008304465
97,12.945,Wed Jun 27 03:44:29.168 2018,0.005705449
98,13.093,Wed Jun 27 03:44:29.316 2018,0.005868771
99,13.213,Wed Jun 27 03:44:29.436 2018,0.006160728
100,13.347,Wed Jun 27 03:44:29.570 2018,0.006087983
101,13.479,Wed Jun 27 03:44:29.702 2018,0.005419186
102,13.625,Wed Jun 27 03:44:29.848 2018,0.00773394
103,13.747,Wed Jun 27 03:44:29.970 2018,0.003964655
104,13.88,Wed Jun 27 03:44:30.103 2018,0.0050188
105,14.014,Wed Jun 27 03:44:30.237 2018,0.004480672
106,14.149,Wed Jun 27 03:44:30.372 2018,0.002800908
107,14.284,Wed Jun 27 03:44:30.507 2018,0.002606407
108,14.414,Wed Jun 27 03:44:30.637 2018,0.006869373
109,14.548,Wed Jun 27 03:44:30.771 2018,0.005022957
110,14.68,Wed Jun 27 03:44:30.903 2018,0.00300137
111,14.815,Wed Jun 27 03:44:31.038 2018,0.005867308
112,14.948,Wed Jun 27 03:44:31.171 2018,0.004286879
113,15.081,Wed Jun 27 03:44:31.304 2018,0.00551095
114,15.216,Wed Jun 27 03:44:31.439 2018,0.002514974
115,15.348,Wed Jun 27 03:44:31.571 2018,0.004058656
116,15.482,Wed Jun 27 03:44:31.705 2018,0.004630301
117,15.616,Wed Jun 27 03:44:31.839 2018,0.005166556
118,15.749,Wed Jun 27 03:44:31.972 2018,0.009366715
119,15.882,Wed Jun 27 03:44:32.105 2018,0.006080774
120,16.016,Wed Jun 27 03:44:32.239 2018,0.005910105
121,16.149,Wed Jun 27 03:44:32.372 2018,0.007099906
122,16.283,Wed Jun 27 03:44:32.506 2018,0.006933818
123,16.416,Wed Jun 27 03:44:32.639 2018,0.004200585
124,16.549,Wed Jun 27 03:44:32.772 2018,0.003800614
125,16.682,Wed Jun 27 03:44:32.905 2018,0.005333636
126,16.816,Wed Jun 27 03:44:33.039 2018,0.004654123
127,16.969,Wed Jun 27 03:44:33.192 2018,0.004558906
128,17.084,Wed Jun 27 03:44:33.307 2018,0.0064764
129,17.217,Wed Jun 27 03:44:33.440 2018,0.008201626
130,17.351,Wed Jun 27 03:44:33.574 2018,0.004627341
131,17.484,Wed Jun 27 03:44:33.707 2018,0.007461219
132,17.617,Wed Jun 27 03:44:33.840 2018,0.006000272
133,17.751,Wed Jun 27 03:44:33.974 2018,0.005670995
134,17.884,Wed Jun 27 03:44:34.107 2018,0.005415149
135,18.018,Wed Jun 27 03:44:34.241 2018,0.007397647
136,18.151,Wed Jun 27 03:44:34.374 2018,0.007920496
137,18.284,Wed Jun 27 03:44:34.507 2018,0.006509282
138,18.418,Wed Jun 27 03:44:34.641 2018,0.003924128
139,18.551,Wed Jun 27 03:44:34.774 2018,0.004438069
141,18.818,Wed Jun 27 03:44:35.041 2018,0.004105205
142,18.952,Wed Jun 27 03:44:35.175 2018,0.002452102
143,19.085,Wed Jun 27 03:44:35.308 2018,0.003800659
144,19.219,Wed Jun 27 03:44:35.442 2018,0.003105502
145,19.353,Wed Jun 27 03:44:35.576 2018,0.007697235
146,19.485,Wed Jun 27 03:44:35.708 2018,0.01147223
147,19.619,Wed Jun 27 03:44:35.842 2018,0.007108376
148,19.753,Wed Jun 27 03:44:35.976 2018,0.00931099
149,19.887,Wed Jun 27 03:44:36.110 2018,0.007305535
150,20.02,Wed Jun 27 03:44:36.243 2018,0.004729523
151,20.153,Wed Jun 27 03:44:36.376 2018,0.004618295
152,20.286,Wed Jun 27 03:44:36.509 2018,0.004587186
153,20.421,Wed Jun 27 03:44:36.644 2018,0.004570894
154,20.553,Wed Jun 27 03:44:36.776 2018,0.004119261
155,20.687,Wed Jun 27 03:44:36.910 2018,0.005830376
156,20.82,Wed Jun 27 03:44:37.043 2018,0.007072513
157,20.954,Wed Jun 27 03:44:37.177 2018,0.005572963
158,21.088,Wed Jun 27 03:44:37.311 2018,0.00998968
159,21.223,Wed Jun 27 03:44:37.446 2018,0.005394858
160,21.354,Wed Jun 27 03:44:37.577 2018,0.005130613
161,21.488,Wed Jun 27 03:44:37.711 2018,0.002602854
162,21.635,Wed Jun 27 03:44:37.858 2018,0.003476608
163,21.755,Wed Jun 27 03:44:37.978 2018,0.005015227
164,21.888,Wed Jun 27 03:44:38.111 2018,0.00465891
165,22.022,Wed Jun 27 03:44:38.245 2018,0.005819737
166,22.155,Wed Jun 27 03:44:38.378 2018,0.004496006
167,22.288,Wed Jun 27 03:44:38.511 2018,0.003469264
168,22.421,Wed Jun 27 03:44:38.644 2018,0.002950322
169,22.555,Wed Jun 27 03:44:38.778 2018,0.00407671
170,22.689,Wed Jun 27 03:44:38.912 2018,0.004542378
171,22.822,Wed Jun 27 03:44:39.045 2018,0.005836233
172,22.955,Wed Jun 27 03:44:39.178 2018,0.00539909
173,23.089,Wed Jun 27 03:44:39.312 2018,0.00591503
174,23.222,Wed Jun 27 03:44:39.445 2018,0.004317194
175,23.356,Wed Jun 27 03:44:39.579 2018,0.004749301
176,23.49,Wed Jun 27 03:44:39.713 2018,0.003799131
177,23.623,Wed Jun 27 03:44:39.846 2018,0.003517532
178,23.757,Wed Jun 27 03:44:39.980 2018,0.003859681
179,23.891,Wed Jun 27 03:44:40.114 2018,0.004891573
180,24.023,Wed Jun 27 03:44:40.246 2018,0.004138643
181,24.157,Wed Jun 27 03:44:40.380 2018,0.003245201
182,24.292,Wed Jun 27 03:44:40.515 2018,0.004511119
183,24.424,Wed Jun 27 03:44:40.647 2018,0.00535083
184,24.557,Wed Jun 27 03:44:40.780 2018,0.005723437
185,24.692,Wed Jun 27 03:44:40.915 2018,0.004435492
186,24.823,Wed Jun 27 03:44:41.046 2018,0.003080807
187,24.958,Wed Jun 27 03:44:41.181 2018,0.002859697
188,25.104,Wed Jun 27 03:44:41.327 2018,0.002483834
189,25.226,Wed Jun 27 03:44:41.449 2018,0.002929067
190,25.358,Wed Jun 27 03:44:41.581 2018,0.004520687
191,25.491,Wed Jun 27 03:44:41.714 2018,0.005703053
192,25.625,Wed Jun 27 03:44:41.848 2018,0.003712821
193,25.758,Wed Jun 27 03:44:41.981 2018,0.004905825
194,25.891,Wed Jun 27 03:44:42.114 2018,0.003706215
195,26.025,Wed Jun 27 03:44:42.248 2018,0.003235612
196,26.159,Wed Jun 27 03:44:42.382 2018,0.003404803
197,26.292,Wed Jun 27 03:44:42.515 2018,0.004650056
207,27.628,Wed Jun 27 03:44:43.851 2018,0.003295705
208,27.76,Wed Jun 27 03:44:43.983 2018,0.005246399
209,27.896,Wed Jun 27 03:44:44.119 2018,0.00502973
210,28.027,Wed Jun 27 03:44:44.250 2018,0.003916911
211,28.161,Wed Jun 27 03:44:44.384 2018,0.004518096
212,28.294,Wed Jun 27 03:44:44.517 2018,0.005135214
213,28.428,Wed Jun 27 03:44:44.651 2018,0.005577275
214,28.561,Wed Jun 27 03:44:44.784 2018,0.005394196
215,28.695,Wed Jun 27 03:44:44.918 2018,0.004577246
216,28.843,Wed Jun 27 03:44:45.066 2018,0.004936225
217,28.962,Wed Jun 27 03:44:45.185 2018,0.003342022
218,29.095,Wed Jun 27 03:44:45.318 2018,0.004588326
219,29.228,Wed Jun 27 03:44:45.451 2018,0.004167356
220,29.362,Wed Jun 27 03:44:45.585 2018,0.004240513
221,29.495,Wed Jun 27 03:44:45.718 2018,0.00579653
222,29.628,Wed Jun 27 03:44:45.851 2018,0.004586136
223,29.762,Wed Jun 27 03:44:45.985 2018,0.003716954
224,29.896,Wed Jun 27 03:44:46.119 2018,0.00452598
225,30.028,Wed Jun 27 03:44:46.251 2018,0.003657666
226,30.163,Wed Jun 27 03:44:46.386 2018,0.003192969
227,30.296,Wed Jun 27 03:44:46.519 2018,0.003665736
228,30.429,Wed Jun 27 03:44:46.652 2018,0.004713223
229,30.563,Wed Jun 27 03:44:46.786 2018,0.002960477
230,30.697,Wed Jun 27 03:44:46.920 2018,0.003170477
231,30.83,Wed Jun 27 03:44:47.053 2018,0.00518679
232,30.963,Wed Jun 27 03:44:47.186 2018,0.003053286
233,31.102,Wed Jun 27 03:44:47.325 2018,0.002316382
234,31.231,Wed Jun 27 03:44:47.454 2018,0.004252215
