#KeystrokeID,Time,Timestamp,IsKeyDown,Key
0,365.662,Wed Jul 18 13:30:17.986 2018,0,RSHIFT
1,365.861,Wed Jul 18 13:30:18.186 2018,1,RSHIFT
2,365.864,Wed Jul 18 13:30:18.189 2018,0,KEY_I
3,365.917,Wed Jul 18 13:30:18.242 2018,1,KEY_I
4,366.069,Wed Jul 18 13:30:18.394 2018,0,KEY_N
5,366.125,Wed Jul 18 13:30:18.450 2018,1,KEY_N
6,366.437,Wed Jul 18 13:30:18.762 2018,0,SPACE
7,366.541,Wed Jul 18 13:30:18.866 2018,1,SPACE
8,367.109,Wed Jul 18 13:30:19.433 2018,0,BACK
9,367.197,Wed Jul 18 13:30:19.521 2018,1,BACK
10,367.293,Wed Jul 18 13:30:19.618 2018,0,BACK
11,367.34,Wed Jul 18 13:30:19.665 2018,1,BACK
12,367.429,Wed Jul 18 13:30:19.754 2018,0,BACK
13,367.476,Wed Jul 18 13:30:19.802 2018,1,BACK
14,372.645,Wed Jul 18 13:30:24.970 2018,0,RSHIFT
15,372.74,Wed Jul 18 13:30:25.066 2018,0,KEY_L
16,372.788,Wed Jul 18 13:30:25.114 2018,1,RSHIFT
17,372.86,Wed Jul 18 13:30:25.186 2018,1,KEY_L
18,372.863,Wed Jul 18 13:30:25.189 2018,0,KEY_E
19,372.972,Wed Jul 18 13:30:25.298 2018,0,KEY_A
20,372.996,Wed Jul 18 13:30:25.322 2018,1,KEY_E
21,373.116,Wed Jul 18 13:30:25.442 2018,0,KEY_D
22,373.18,Wed Jul 18 13:30:25.506 2018,1,KEY_A
23,373.292,Wed Jul 18 13:30:25.618 2018,1,KEY_D
24,373.3,Wed Jul 18 13:30:25.625 2018,0,KEY_E
25,373.404,Wed Jul 18 13:30:25.729 2018,0,KEY_R
26,373.452,Wed Jul 18 13:30:25.777 2018,1,KEY_E
27,373.5,Wed Jul 18 13:30:25.825 2018,1,KEY_R
28,373.668,Wed Jul 18 13:30:25.993 2018,0,KEY_S
29,373.796,Wed Jul 18 13:30:26.121 2018,1,KEY_S
30,374.516,Wed Jul 18 13:30:26.842 2018,0,KEY_I
31,374.597,Wed Jul 18 13:30:26.922 2018,0,KEY_P
32,374.668,Wed Jul 18 13:30:26.994 2018,1,KEY_I
33,374.74,Wed Jul 18 13:30:27.066 2018,1,KEY_P
34,376.085,Wed Jul 18 13:30:28.410 2018,0,BACK
35,376.116,Wed Jul 18 13:30:28.442 2018,1,BACK
36,376.252,Wed Jul 18 13:30:28.578 2018,0,BACK
37,376.284,Wed Jul 18 13:30:28.610 2018,1,BACK
38,376.42,Wed Jul 18 13:30:28.746 2018,0,BACK
39,376.516,Wed Jul 18 13:30:28.842 2018,1,BACK
40,376.652,Wed Jul 18 13:30:28.977 2018,0,BACK
41,376.764,Wed Jul 18 13:30:29.089 2018,1,BACK
42,376.86,Wed Jul 18 13:30:29.185 2018,0,BACK
43,376.916,Wed Jul 18 13:30:29.241 2018,1,BACK
44,377.268,Wed Jul 18 13:30:29.593 2018,0,BACK
45,377.356,Wed Jul 18 13:30:29.682 2018,1,BACK
46,377.388,Wed Jul 18 13:30:29.714 2018,0,BACK
47,377.66,Wed Jul 18 13:30:29.986 2018,1,BACK
48,377.868,Wed Jul 18 13:30:30.194 2018,0,BACK
49,377.972,Wed Jul 18 13:30:30.298 2018,1,BACK
50,378.204,Wed Jul 18 13:30:30.530 2018,0,BACK
51,378.3,Wed Jul 18 13:30:30.625 2018,1,BACK
52,379.596,Wed Jul 18 13:30:31.922 2018,0,RSHIFT
