Frame#,Time,Perspiration
0,0,0.004666677
1,0.1343485,0.002810816
2,0.2677117,0.003474244
3,0.4120864,0.003720033
4,0.5354159,0.004080073
5,0.6697723,0.004544062
6,0.801121,0.00640009
7,0.9344759,0.005419367
8,1.068833,0.0064444
9,1.20319,0.004959973
10,1.336546,0.002941923
11,1.478923,0.002338439
12,1.603253,0.002457146
13,1.736611,0.002484228
14,1.870965,0.003794311
15,2.00432,0.003539454
16,2.137674,0.00454736
17,2.269023,0.005109695
18,2.413409,0.004606086
19,2.53874,0.003981357
20,2.67009,0.005999961
22,2.804447,0.003150011
23,2.948836,0.004799903
24,3.070154,0.003443463
25,3.203508,0.003873741
26,3.33788,0.002791507
27,3.470217,0.002778938
28,3.611592,0.003789462
30,3.738931,0.003789462
31,3.872287,0.003906985
32,4.013661,0.005771366
33,4.137992,0.003333302
35,4.275357,0.003640006
37,4.405719,0.005948685
38,4.547079,0.00388001
41,4.673416,0.00484448
42,4.807772,0.003500008
44,4.939807,0.00342858
46,5.074164,0.004120029
47,5.205513,0.004471734
48,5.342377,0.003918341
49,5.472727,0.005107709
50,5.618145,0.006194968
51,5.740592,0.005600045
52,5.873056,0.006133309
53,6.005475,0.004757904
54,6.149858,0.004647599
55,6.276195,0.003621058
57,6.408547,0.003439974
58,6.541901,0.005247935
60,6.675255,0.004874337
61,6.816631,0.004021674
63,6.944831,0.004599997
65,7.075693,0.005377702
67,7.21005,0.004453986
68,7.228098,0.004553796
69,7.346505,0.004553796
70,7.488375,0.00384765
71,7.609698,0.003716132
72,7.744876,0.00355554
74,7.746881,0.004218158
75,7.887254,0.004218158
76,8.009583,0.005439961
77,8.015597,0.004355518
79,8.143307,0.004355518
81,8.283743,0.003885703
82,8.412084,0.00675915
84,8.544436,0.005018176
86,8.694836,0.005415429
88,8.810143,0.003500039
89,8.943826,0.00422556
90,9.07618,0.003314278
91,9.210537,0.004121234
92,9.344134,0.003580993
93,9.476999,0.003639983
94,9.61035,0.003856399
95,9.745014,0.003668282
96,9.894446,0.002912797
97,9.896452,0.00397945
98,10.00975,0.00397945
100,10.14498,0.003611385
101,10.27833,0.003146638
102,10.4122,0.003684851
103,10.54594,0.004292679
104,10.67779,0.003978404
105,10.82719,0.003800031
106,10.94551,0.003300046
107,11.07987,0.003
109,11.21222,0.003619104
110,11.34648,0.003382838
111,11.4785,0.003096837
112,11.62288,0.004487772
113,11.74683,0.004611725
114,11.8797,0.005777771
115,12.01406,0.004525703
116,12.14572,0.004800013
117,12.28164,0.004647607
118,12.41299,0.004722026
119,12.5489,0.003621082
120,12.68029,0.003718949
121,12.81464,0.004233298
122,12.94839,0.003013978
123,13.08297,0.002788612
124,13.21432,0.002504376
125,13.34887,0.002939542
126,13.48274,0.003007985
127,13.61409,0.003160986
128,13.74824,0.004399964
129,13.88262,0.00433166
131,14.01397,0.004347846
132,14.14808,0.004214626
133,14.28359,0.003695226
134,14.41694,0.003319999
135,14.54904,0.00355998
136,14.68498,0.002888852
137,14.81633,0.005199998
138,14.96673,0.004903253
141,15.08304,0.004114307
142,15.21539,0.003616031
143,15.35167,0.003663253
144,15.48318,0.003146709
145,15.61654,0.005677423
146,15.75126,0.004963231
147,15.88505,0.004212201
148,16.0164,0.004884153
149,16.15276,0.004335476
152,16.29213,0.004470559
153,16.41747,0.003200024
154,16.55176,0.002646193
155,16.68612,0.004137973
156,16.81847,0.003323104
157,16.95082,0.002755555
158,17.08518,0.003337121
159,17.21753,0.003062867
160,17.35135,0.003161009
161,17.48583,0.002311104
162,17.63022,0.004410798
163,17.75455,0.003096847
164,17.8879,0.003870997
165,18.02025,0.004167412
166,18.1516,0.006194795
167,18.28496,0.00716184
168,18.42032,0.006017434
169,18.56375,0.006527975
170,18.68703,0.004141252
172,18.82038,0.003292341
173,18.95273,0.003703675
174,19.09411,0.003911138
178,19.22145,0.005163575
179,19.3538,0.00682106
180,19.49017,0.00661137
183,19.6195,0.0003458774
184,19.75286,0.006616156
185,19.88722,0.006497036
186,20.01957,0.005097638
187,20.15392,0.003720937
188,20.29029,0.004639968
189,20.42064,0.004281112
190,20.55599,0.004045289
191,20.68835,0.00388001
192,20.82371,0.003423235
193,20.9711,0.003824402
194,21.09445,0.003459403
195,21.22178,0.004391385
196,21.35913,0.004539537
197,21.49031,0.004799958
198,21.62318,0.004278284
199,21.75501,0.004654557
200,21.89,0.005803948
201,22.02335,0.003963672
202,22.03137,0.00453874
204,22.1547,0.00453874
205,22.29206,0.004838069
206,22.42241,0.004936156
207,22.55677,0.00319999
208,22.69111,0.003368358
209,22.82403,0.003745446
211,22.95737,0.004000014
212,23.09074,0.003805431
213,23.22308,0.008252568
214,23.35944,0.00465122
215,23.50086,0.006288412
216,23.62469,0.006711181
217,23.75854,0.006800063
218,23.89171,0.004604895
219,24.02306,0.005018183
220,24.15942,0.00654221
221,24.29334,0.00306386
222,24.42619,0.003619083
223,24.55905,0.002504297
224,24.6914,0.003599953
225,24.82726,0.004177757
226,24.97164,0.003890893
227,25.09146,0.004072803
228,25.22863,0.002497534
229,25.35998,0.00376469
230,25.49334,0.00447271
231,25.62669,0.004184557
232,25.76006,0.004093033
233,25.8934,0.003767639
234,26.02782,0.003534875
235,26.16018,0.003840027
236,26.29908,0.004177783
237,26.42793,0.004133294
238,26.56028,0.00505267
239,26.69463,0.004487809
240,26.83796,0.01048167
241,26.96129,0.006236715
242,27.09464,0.005387734
243,27.228,0.004862758
244,27.36035,0.004690888
245,27.49525,0.005024035
246,27.73292,0.003683698
247,27.7635,0.005514893
248,27.89685,0.005514893
249,28.02874,0.005550035
250,28.16311,0.003822168
251,28.29746,0.005978956
252,28.4278,0.003573314
253,28.56216,0.002569639
255,28.69551,0.002921634
256,28.82887,0.002879911
257,28.96423,0.00483997
258,29.09859,0.004195544
259,29.10059,0.004457078
261,29.23194,0.004457078
263,29.37332,0.003342246
264,29.38234,0.002895225
269,29.49768,0.002895225
270,29.63856,0.003683641
271,29.76489,0.003446147
272,29.89725,0.004225615
273,30.03311,0.003719995
274,30.1735,0.003800006
275,30.29781,0.004225655
276,30.43017,0.003919913
277,30.56454,0.003946637
278,30.69888,0.003578894
280,30.83123,0.003200007
281,30.96559,0.00290522
282,31.09781,0.003274405
283,31.23286,0.003764726
284,31.3642,0.003049987
285,31.49812,0.00328424
286,31.63298,0.003697757
287,31.7981,0.003454558
289,31.90087,0.004145415
290,32.03523,0.004021616
291,32.1766,0.00426671
292,32.30136,0.004266726
294,32.43321,0.003628667
295,32.56657,0.003938509
296,32.703,0.003356903
297,32.84338,0.003200029
298,32.96771,0.003662241
299,33.1786,0.003933265
300,33.23828,0.004449908
