Time,RtoR
24/07/2018 13:12:45.420,391
,265
,23
,413
,315
,253
,262
,36
,616
,553
,583
,1144
,85
,242
,726
,56
,375
,97
,442
,232
,290
,172
,209
,238
,1562
,247
,139
,287
,250
,297
,171
,323
,166
,360
,622
,232
,346
,600
,91
,223
,350
,338
,59
,462
,107
,464
,336
,184
,381
,155
,575
,526
,219
,255
,160
,187
,952
,182
,148
,585
,501
,2208
,491
,439
,385
,144
,364
,181
,455
,277
,284
,304
,363
,268
,311
,226
,539
,590
,481
,418
,606
,41
,276
,1055
,364
,290
,246
,84
,262
,249
,364
,217
,278
,270
,311
,424
,101
,363
,551
,74
,363
,239
,322
,24
,272
,254
,142
,235
,217
,356
,257
,189
,131
,422
,156
,465
,256
,295
,464
,211
,235
,395
,816
,182
,142
,418
,132
,364
,194
,179
,252
,418
,106
,254
,247
,339
,204
,186
,400
,137
,191
,226
,225
,403
,458
,245
,320
,248
,330
,539
,199
,363
,255
,252
,293
,104
,364
,286
,268
,294
,295
,428
,136
,571
,356
,768
,377
,553
,235
,479
,254
,192
,569
,403
,401
,287
,292
,286
,356
,622
,232
,440
,484
,560
,424
,20
,546
,336
,345
,144
,278
,207
,314
,522
,170
,142
,343
,254
,238
,377
,1053
,318
,214
,18373
,376
,244
,411
,167
,244
,317
,287
,244
,201
,276
,301
,186
,296
,177
,140
,337
,601
,184
,142
,269
,379
,98
,210
,523
,4325
,146
,508
,261
,241
,255
,434
,478
,145
,190
,385
,141
,204
,365
,203
,350
,235
,328
,251
,21
,390
,342
,73
,345
,215
,239
,317
,237
,103
,393
,233
,305
,127
,407
,246
,342
,231
,440
,353
,298
,284
,230
,317
,251
,86
,271
,209
,320
,299
,258
,130
,221
,309
,398
,258
,194
,218
,378
,380
,364
,444
,106
,642
,175
,267
,205
,251
,355
,322
,270
,273
,209
,287
,280
,328
,550
,152
,127
,294
,333
,175
,257
,439
,515
,369
,337
,284
,471
,191
,587
,477
,156
,491
,443
,398
,29
,511
,429
,3075
,375
,339
,47
,380
,299
,623
,209
,220
,335
,493
,326
,344
,3446
,3814
,615
,4255
,187
,245
,451
,463
,80
,215
,656
,120
,1815
,1043
,553
,902
,1958
,565
,818
,126
,1662
,323
,1003
,225
,1353
,424
,1052
,1627
,589
,2730
,1794
,246
,22791
,2009
,4661
,6476
,2383
,522
,1852
,602
,595
,325
,616
,147
,227
,153
,266
,583
,3016
,350
,159
,175
,703
,300
,1725
,400
,350
,1116
,590
,590
,603
,1016
,827
,1196
,645
,537
,616
,434
,633
,651
,497
,55
,668
,613
,626
,643
,1197
,228
,466
,586
,303
,425
,467
,58
,228
,245
,588
,311
,890
,196
,458
,302
,555
,1890
,139
,905
,710
,85
,1571
,258
,260
,2062
,107
,319
,518
,532
,462
,430
,551
,311
,184
,728
,239
,295
,288
,946
,729
,1154
,258
,45
,684
,233
,231
,258
,184
,347
,388
,541
,235
,257
,482
,179
,187
,356
,204
,265
,399
,1346
,563
,961
,946
,411
,99
,711
,347
,400
,819
,572
,562
,256
,733
,100
,526
,1411
,375
,608
,2536
,1369
,1255
,655
,655
,635
,659
,695
,737
,745
,403
,194
,830
,692
,673
,684
,573
,676
,600
,674
,682
,436
,246
,670
,649
,610
,607
,589
,600
,620
,638
,621
,621
,608
,599
,596
,606
,626
,647
,675
,651
,637
,795
,489
,619
,619
,182
,416
,604
,844
,338
,1306
,319
,200
,742
,645
,1376
,562
,78
,226
,1053
,700
,668
,661
,182
,522
,701
,655
,634
,293
,340
,403
,230
,432
,284
,788
,901
,1269
,70
,412
,1235
,623
,646
,294
,328
,606
,609
,601
,588
,571
,568
,545
,567
,831
,362
,466
,133
,419
,375
,163
,539
,540
,368
,530
,1302
,542
,551
,559
,625
,534
,577
,575
,590
,583
,582
,589
,1260
,658
,38
,595
,1207
,582
,2460
,676
,727
,752
,670
,678
,669
,669
,657
,679
,688
,649
,651
,670
,734
,681
,658
,694
,700
,711
,663
,638
,615
,610
,668
,654
,635
,643
,675
,732
,682
,684
,744
,763
,710
,696
,741
,733
,718
,689
,686
,717
,695
,685
,718
,742
,760
,712
,713
,715
,762
,767
,768
,687
,682
,717
,833
,871
,844
,780
,821
,831
,806
,749
,727
,805
,796
,738
,714
,763
,781
,759
,696
,679
,718
,753
,771
,719
,727
,810
,849
,795
,742
,786
,831
,819
,728
,703
,718
,837
,873
,803
,731
,801
,848
,826
,736
,734
,776
,813
,782
,712
,741
,787
,774
,749
,721
,783
,827
,774
,750
,765
,863
,824
,769
,747
,846
,835
,805
,717
,705
,756
,815
,823
,770
,821
,771
,755
,705
,679
,744
,816
,789
,736
,724
,760
,818
,850
,755
,722
,770
,810
,827
,770
,751
,789
,788
,801
,746
,752
,794
,829
,841
,787
,726
,772
,784
,740
,688
,666
,690
,736
,707
,675
,685
,704
,740
,356
,346
,665
,631
,640
,665
,756
,755
,731
,794
,805
,803
,723
,703
,709
,708
,702
,1384
,721
,1501
,706
,717
,735
,771
,785
,723
,674
,1016
,251
,619
,699
,1416
,744
,795
,828
,794
,704
,683
,721
,803
,859
,807
,779
,799
,1538
,674
,688
,708
,803
,719
,742
,845
,877
,746
,723
,763
,771
,759
,729
,760
,815
,821
,742
,723
,755
,806
,772
,726
,776
,802
,821
,717
,729
,782
,805
,785
,716
,671
,682
,734
,782
,782
,715
,723
,776
,832
,813
,764
,777
,820
,834
,1510
,720
,689
,669
,639
,629
,655
,689
,707
,685
,659
,656
,662
,678
,689
,685
,652
,662
,675
,704
,704
,667
,693
,693
,1410
,687
,651
,645
,662
,692
,740
,758
,701
,732
,817
,855
,838
,827
,747
,765
,818
,825
,797
,730
,695
,723
,810
,860
,818
,826
,765
,783
,811
,733
,704
,739
,769
,759
,738
,716
,741
,809
,751
,691
,656
,636
,617
,603
,1450
,272
,1809
,1316
,641
,636
,621
,627
,622
,616
,1288
,707
,678
,657
,671
,679
,704
,660
,642
,1333
,1449
,1402
,715
,759
,775
,654
,757
,803
,753
,688
,688
,706
,712
,691
,687
,810
,841
,790
,729
,829
,838
,834
,748
,776
,792
,820
,794
,758
,722
,762
,772
,755
,715
,691
,698
,726
,777
,770
,719
,719
,751
,781
,803
,728
,711
,725
,749
,746
,699
,725
,773
,793
,798
,725
,707
,737
,763
,769
,702
,671
,653
,639
,698
,746
,777
,825
,787
,758
,785
,811
,842
,795
,729
,769
,817
,824
,710
,677
,655
,625
,643
,814
,796
,752
,842
,894
,849
,753
,772
,820
,885
,816
,725
,722
,788
,786
,801
,726
,723
,774
,769
,706
,336
,350
,718
,749
,744
,705
,675
,670
,689
,753
,772
,636
,660
,658
,656
,658
,692
,667
,656
,675
,692
,699
,721
,701
,689
,694
,710
,711
,686
,664
,667
,669
,704
,721
,704
,674
,685
,734
,724
,695
,679
,694
,723
,738
,694
,683
,683
,683
,659
,703
,592
,624
,605
,593
,588
,577
,573
,605
,695
,659
,661
,676
,750
,771
,788
,728
,742
,777
,768
,745
,695
,680
,740
,803
,780
,723
,712
,753
,768
,763
,739
,755
,823
,840
,740
,751
,793
,818
,808
,755
,795
,841
,850
,825
,754
,736
,799
,855
,875
,734
,697
,793
,882
,882
,895
,853
,868
,863
,857
,283
,567
,770
,734
,724
,760
,702
,723
,809
,865
,883
,863
,852
,832
,833
,777
,721
,752
,795
,806
,832
,848
,846
,835
,827
,829
,799
,735
,716
,768
,798
,841
,825
,767
,719
,750
,819
,858
,812
,763
,730
,785
,822
,808
,773
,724
,742
,772
,777
,765
,708
,725
,747
,743
,733
,693
,699
,739
,756
,778
,720
,701
,728
,751
,766
,748
,696
,703
,703
,738
,715
