Time,BtoB
19/06/2018 15:19:29.428,6000
,6550
,3520
,3670
,1810
,5230
,3480
,5730
,3810
,2760
,4640
,1180
,7430
,4940
,2490
,700
,2030
,2750
,1620
,5200
,1170
,1750
,1340
,1300
,1430
,3600
,2720
,4440
,5320
,4530
,2200
,2060
,3030
,2300
,10190
,1370
,2750
,1950
,2300
,1550
,1210
,2230
,490
,910
,1180
,6660
,1970
,2360
,2230
,1270
,810
,5860
,2430
,2410
,2610
,4310
,2940
,2120
,7660
,1250
,3000
,3090
,3250
,2690
,2650
,2680
,2040
,7180
,5170
,2960
,3360
,3200
,3610
,3600
,4940
,10680
,4990
,2780
,3250
,3460
,3630
,3100
,8340
,3210
,2950
,2560
,8470
,1650
,3040
,3430
,3310
,2060
,7160
,5770
,22700
,3690
,1640
,7410
,2450
,2980
,2740
,2970
,3280
,2770
,2740
,2700
,2780
,3070
,2840
,2910
,2970
,1700
,10320
,3940
,4430
,3420
,3410
,2550
,2620
,2600
,4610
,2550
,8420
,3460
,3330
,4620
,5370
,5530
,5040
,5050
,5160
,5090
,5910
,5170
,5580
,6230
,6590
,5870
,6960
,7330
,6760
,7980
,5880
,6380
,6750
,7660
,6210
,4970
,7160
,9630
,6590
,7450
,4590
,6100
,6690
,6050
,5250
,5130
,5150
,6320
,5590
,6040
,6560
,3470
,2950
,3530
,4150
,3640
,4120
,4970
,5280
,5240
,5720
,6640
,7370
,7540
,6160
,6630
,6430
,7090
,10000
,4850
,3740
,9690
,1780
,2880
,2920
,3360
,2880
,2960
,2820
,2320
,8660
,6840
,7170
,2130
,2520
,2130
,790
,1160
,1780
,1190
,3120
,2050
,2500
,3160
,2610
,2150
,2880
,2690
,2570
,2980
,2550
,7580
,2250
,3340
,3590
,1130
,1910
,2060
,1170
,4890
,3540
,4460
,1350
,1400
,6480
,2020
,2960
,1250
,1030
,2540
,2830
,2540
,2800
,1220
,1410
,5300
,8400
,12290
,10400
,3810
,6660
,3540
,1580
,5890
,3540
,3680
,5530
,2310
,6270
,5850
,2290
,9160
,4910
,1380
,570
,1050
,1900
,2040
,2000
,1810
,1280
,2600
,3010
,3090
,11230
,630
,4470
,2780
,4880
,2780
,5570
,4420
,1650
,2680
,5190
,920
,6400
,15990
,8040
,2890
,2760
,2020
,2690
,1990
,2840
,3330
,17350
,4160
,3230
,3600
,2810
,3090
,3190
,2750
,2770
,2850
,1010
,1100
,1600
,1100
,1340
,2000
,3560
,4160
,3330
,3280
,2790
,3090
,3500
,3040
,3370
,3440
,5910
,2920
,3130
,3200
,4090
,3170
,4410
,4540
,3220
,3030
,3180
,2660
,2850
,5530
,980
,2470
,5250
,1530
,1580
,2900
,3890
,3570
,2820
,2980
,2650
,3280
,2690
,2940
,3040
,2940
,2840
,3010
,3250
,2980
,3260
,3000
,3020
,3410
,2950
,2930
,2850
,3060
,3270
,3920
,3330
,3060
,3020
,2980
,3060
,2810
,3060
,2870
,3340
,3440
,3130
,3810
,4840
,2550
,3450
,2840
,3090
,3250
,3010
,3200
,2590
,2570
,2940
,1860
,3160
,4610
,2720
,3130
,2540
,2880
,2660
,8260
,12400
,3310
,2120
,1590
,2760
,2670
,3980
,7760
,3210
,1250
,2780
,3100
,2800
,3080
,1800
,1840
,3220
,1720
,4790
,1550
,3180
,2080
,2180
,2630
,2730
,1240
,2630
,8370
,2510
,2910
,2370
,2570
,2230
,3510
,3030
,2750
,3160
,5370
,2310
,3130
,5150
,8830
,3550
,3100
,3130
,3140
,3100
,16410
,3550
,3400
,4620
,3770
,3260
,2220
,16160
,840
,1790
,3010
,3280
,3110
,1480
,1700
,3310
,3660
,1910
,17290
,5660
,2920
,2640
,3360
,3510
,2650
,2910
,3470
,3000
,10510
,3190
,2660
,2930
,2880
,2440
,1560
,4470
,3200
,1740
,4390
,1580
,770
,21210
,15330
,5020
,1760
,3960
,4480
,2460
,1090
,2760
,2600
,2210
,3210
,1440
,1350
,1370
,14680
,8520
,21290
,610
,4860
,3230
,5770
,4080
,980
,1350
,870
,2090
,2250
,1420
,2160
,4120
,1210
,2640
,1450
,1120
,2850
,2650
,2990
,4480
,2990
,4090
,850
,2350
,2870
,2660
,10120
,3190
,2390
,1250
,1190
,1270
,1270
,1450
,1370
,2810
,2620
,2380
,4960
,3270
,2780
,4780
,4970
,990
,6080
,2680
,1710
,1160
,2610
,1330
,2550
,2600
,2460
,2510
,5700
,7120
,8540
,1480
,890
,2130
,7470
,7680
,9050
,3220
,4200
,1800
,3600
,2840
,1750
,12270
,5500
,17090
,3130
,2900
,2890
,3300
,2370
,13120
,5450
,980
,1330
,1560
,6440
,820
,1770
,18220
,1350
,800
,8760
,1150
,2810
,2620
,950
,2810
,1040
,3130
,3310
,2390
,7670
,2520
,2040
,1200
,12300
,6830
,4640
,1160
,5770
,7660
,2450
,1040
,1750
,4900
,8230
,1070
,5950
,3520
,1900
,2600
,1120
,1290
,2520
,1050
,1660
,2450
,2470
,2270
,2600
,1370
,3820
,2520
,2850
,2690
,2140
,3300
,1310
,3750
,3630
,1330
,3020
,2860
,2500
,2640
,2380
,2230
,6830
,1340
,2570
,1460
,430
,640
,5930
,1800
,3100
,2740
,1150
,2170
,5100
,2680
,4010
,2830
,7290
,2600
,3700
,1460
,2060
,610
,3920
,6200
,1740
,3020
,12110
,2600
,640
,7310
,6020
,28680
,910
,2200
,3200
,3180
,3100
,2350
,15060
,12880
,1160
,1200
,11620
,8250
,21250
,790
,1460
,3010
,3250
,2770
,3740
,2460
,2890
,2900
,3770
,3290
,34070
,3330
,2540
,3210
,2940
,3130
,3080
,3280
,3110
,3290
,2770
,3740
,770
,2990
,3240
,3270
,3430
,3080
,3000
,3350
,12790
,3000
,17660
,19000
,6920
,2810
,1460
,1260
,2460
,8330
,3270
,9670
,2980
,2370
,630
,1640
,3300
,5110
,1750
,3060
,4800
,7020
,390
,1570
,1140
,2940
,1300
,1030
,10480
,1230
,5900
,8020
,3960
,8010
,11070
,1940
,2990
,3180
,3520
,3090
,2980
,3350
,2620
,2480
,9740
,2350
,1360
,1140
,2610
,2620
,2730
,8500
,370
,7030
,18160
,1710
,860
,6090
,2950
,670
,1790
,2160
,2520
,2690
,2570
,2890
,2900
,2330
,2460
,2330
,4590
,1950
,6060
,760
,340
,4390
,11970
,6680
,8970
,2630
,2610
,2460
,5280
,3790
,1320
,2900
,2310
,1510
,1190
,5570
,3410
,2980
,4140
,1810
,5040
,1580
,3070
,3150
,3160
,12890
,4340
,6290
,1850
,1270
,3270
,2990
,2130
,10390
,1560
,1170
,1410
,1340
,5260
,1220
,2480
,1430
,4840
,2530
,4080
,2120
,1930
,8660
,2600
,3000
,2680
,2530
,2670
,2670
,2500
,4050
,2730
,3170
,18430
,1860
,2260
,2350
,2880
,2650
,2500
,2860
,3440
,1420
,2510
,760
,1640
,2790
,1140
,2980
,2520
,2460
,2380
,960
,1600
,8970
,2990
,3130
,3140
,2690
,1670
,9000
,3130
,6260
,2570
,6620
,1050
,4640
,2490
