Timestamp,BR,RtoR
25/06/2018 12:58:24.443,1671,0
25/06/2018 12:58:24.499,1670,0
25/06/2018 12:58:24.555,1670,0
25/06/2018 12:58:24.611,1670,0
25/06/2018 12:58:24.667,1669,0
25/06/2018 12:58:24.723,1670,0
25/06/2018 12:58:24.779,1672,-3.532
25/06/2018 12:58:24.835,1673,-3.532
25/06/2018 12:58:24.891,1673,-3.532
25/06/2018 12:58:24.947,1672,-3.532
25/06/2018 12:58:25.003,1672,-3.532
25/06/2018 12:58:25.059,1671,-3.532
25/06/2018 12:58:25.115,1671,-3.532
25/06/2018 12:58:25.171,1671,-3.532
25/06/2018 12:58:25.227,1671,-3.532
25/06/2018 12:58:25.283,1670,0.517
25/06/2018 12:58:25.339,1670,0.517
25/06/2018 12:58:25.395,1670,0.517
25/06/2018 12:58:25.451,1671,0.517
25/06/2018 12:58:25.507,1671,0.517
25/06/2018 12:58:25.563,1671,-0.432
25/06/2018 12:58:25.619,1669,-0.432
25/06/2018 12:58:25.675,1669,-0.432
25/06/2018 12:58:25.731,1669,-0.432
25/06/2018 12:58:25.787,1669,0.145
25/06/2018 12:58:25.843,1668,0.145
25/06/2018 12:58:25.899,1668,0.145
25/06/2018 12:58:25.955,1668,0.145
25/06/2018 12:58:26.011,1668,0.145
25/06/2018 12:58:26.067,1668,-0.131
25/06/2018 12:58:26.123,1667,-0.131
25/06/2018 12:58:26.179,1667,-0.131
25/06/2018 12:58:26.235,1667,-0.131
25/06/2018 12:58:26.291,1667,0.284
25/06/2018 12:58:26.347,1667,0.284
25/06/2018 12:58:26.403,1666,0.284
25/06/2018 12:58:26.459,1681,0.284
25/06/2018 12:58:26.515,1688,-0.308
25/06/2018 12:58:26.571,1693,-0.308
25/06/2018 12:58:26.627,1698,-0.308
25/06/2018 12:58:26.683,1698,-0.308
25/06/2018 12:58:26.739,1699,-0.308
25/06/2018 12:58:26.795,1700,-0.308
25/06/2018 12:58:26.851,1702,-0.308
25/06/2018 12:58:26.907,1703,-0.308
25/06/2018 12:58:26.963,1702,-0.308
25/06/2018 12:58:27.019,1701,-0.308
25/06/2018 12:58:27.075,1699,-0.308
25/06/2018 12:58:27.131,1699,-0.308
25/06/2018 12:58:27.187,1700,-0.308
25/06/2018 12:58:27.243,1701,-0.308
25/06/2018 12:58:27.299,1701,-0.308
25/06/2018 12:58:27.355,1701,-0.308
25/06/2018 12:58:27.411,1701,-0.308
25/06/2018 12:58:27.467,1698,-0.308
25/06/2018 12:58:27.523,1698,1.012
25/06/2018 12:58:27.579,1698,1.012
25/06/2018 12:58:27.635,1699,1.012
25/06/2018 12:58:27.691,1699,1.012
25/06/2018 12:58:27.747,1697,1.012
25/06/2018 12:58:27.803,1697,1.012
25/06/2018 12:58:27.859,1697,1.012
25/06/2018 12:58:27.915,1697,1.012
25/06/2018 12:58:27.971,1696,1.012
25/06/2018 12:58:28.027,1696,1.012
25/06/2018 12:58:28.083,1696,1.012
25/06/2018 12:58:28.139,1696,1.012
25/06/2018 12:58:28.195,1696,1.012
25/06/2018 12:58:28.251,1695,1.012
25/06/2018 12:58:28.307,1693,-0.873
25/06/2018 12:58:28.363,1692,-0.873
25/06/2018 12:58:28.419,1693,-0.873
25/06/2018 12:58:28.475,1693,-0.873
25/06/2018 12:58:28.531,1693,0.077
25/06/2018 12:58:28.587,1694,0.077
25/06/2018 12:58:28.643,1694,0.077
25/06/2018 12:58:28.699,1692,0.077
25/06/2018 12:58:28.755,1693,0.077
25/06/2018 12:58:28.811,1694,0.077
25/06/2018 12:58:28.867,1697,0.077
25/06/2018 12:58:28.923,1695,0.077
25/06/2018 12:58:28.979,1693,0.077
25/06/2018 12:58:29.035,1694,-0.539
25/06/2018 12:58:29.091,1694,-0.539
25/06/2018 12:58:29.147,1693,-0.539
25/06/2018 12:58:29.203,1692,-0.539
25/06/2018 12:58:29.259,1694,-0.539
25/06/2018 12:58:29.315,1695,-0.539
25/06/2018 12:58:29.371,1694,-0.539
25/06/2018 12:58:29.427,1693,-0.539
25/06/2018 12:58:29.483,1693,-0.539
25/06/2018 12:58:29.539,1701,0.635
25/06/2018 12:58:29.595,1704,0.635
25/06/2018 12:58:29.651,1705,0.635
25/06/2018 12:58:29.707,1709,0.635
25/06/2018 12:58:29.763,1708,-0.204
25/06/2018 12:58:29.819,1711,-0.204
25/06/2018 12:58:29.875,1712,-0.204
25/06/2018 12:58:29.931,1712,-0.204
25/06/2018 12:58:29.987,1713,-0.204
25/06/2018 12:58:30.043,1714,-0.204
25/06/2018 12:58:30.099,1717,-0.204
25/06/2018 12:58:30.155,1716,-0.204
25/06/2018 12:58:30.211,1715,-0.204
25/06/2018 12:58:30.267,1712,-0.204
25/06/2018 12:58:30.323,1710,-0.204
25/06/2018 12:58:30.379,1708,-0.204
25/06/2018 12:58:30.435,1707,-0.204
25/06/2018 12:58:30.491,1702,-0.204
25/06/2018 12:58:30.547,1698,-0.204
25/06/2018 12:58:30.603,1699,-0.204
25/06/2018 12:58:30.659,1701,-0.204
25/06/2018 12:58:30.715,1699,-0.204
25/06/2018 12:58:30.771,1696,-0.204
25/06/2018 12:58:30.827,1686,-0.204
25/06/2018 12:58:30.883,1686,-0.204
25/06/2018 12:58:30.939,1686,-0.204
25/06/2018 12:58:30.995,1684,-0.204
25/06/2018 12:58:31.051,1682,-0.204
25/06/2018 12:58:31.107,1677,-0.204
25/06/2018 12:58:31.163,1676,-0.204
25/06/2018 12:58:31.219,1672,-0.204
25/06/2018 12:58:31.275,1670,-0.204
25/06/2018 12:58:31.331,1670,-0.204
25/06/2018 12:58:31.387,1671,-0.204
25/06/2018 12:58:31.443,1670,-0.204
25/06/2018 12:58:31.499,1669,-0.204
25/06/2018 12:58:31.555,1669,-0.204
25/06/2018 12:58:31.611,1669,-0.204
25/06/2018 12:58:31.667,1670,-0.204
25/06/2018 12:58:31.723,1670,-0.204
25/06/2018 12:58:31.779,1669,-0.204
25/06/2018 12:58:31.835,1669,-0.204
25/06/2018 12:58:31.891,1669,-0.204
25/06/2018 12:58:31.947,1668,-0.204
25/06/2018 12:58:32.003,1668,-0.204
25/06/2018 12:58:32.059,1668,-0.204
25/06/2018 12:58:32.115,1668,-0.204
25/06/2018 12:58:32.171,1668,-0.204
25/06/2018 12:58:32.227,1668,-0.204
25/06/2018 12:58:32.283,1667,2.415
25/06/2018 12:58:32.339,1668,2.415
25/06/2018 12:58:32.395,1668,2.415
25/06/2018 12:58:32.451,1668,2.415
25/06/2018 12:58:32.507,1668,2.415
25/06/2018 12:58:32.563,1668,-0.261
25/06/2018 12:58:32.619,1667,-0.261
25/06/2018 12:58:32.675,1666,-0.261
25/06/2018 12:58:32.731,1666,-0.261
25/06/2018 12:58:32.787,1666,0.278
25/06/2018 12:58:32.843,1666,0.278
25/06/2018 12:58:32.899,1666,0.278
25/06/2018 12:58:32.955,1666,0.278
25/06/2018 12:58:33.011,1666,0.278
25/06/2018 12:58:33.067,1665,-0.18
25/06/2018 12:58:33.123,1665,-0.18
25/06/2018 12:58:33.179,1666,-0.18
25/06/2018 12:58:33.235,1666,-0.18
25/06/2018 12:58:33.291,1666,-0.18
25/06/2018 12:58:33.347,1666,-0.18
25/06/2018 12:58:33.403,1666,-0.18
25/06/2018 12:58:33.459,1667,-0.18
25/06/2018 12:58:33.515,1668,0.532
25/06/2018 12:58:33.571,1668,0.532
25/06/2018 12:58:33.627,1675,0.532
25/06/2018 12:58:33.683,1696,0.532
25/06/2018 12:58:33.739,1713,0.532
25/06/2018 12:58:33.795,1714,-0.189
25/06/2018 12:58:33.851,1714,-0.189
25/06/2018 12:58:33.907,1714,-0.189
25/06/2018 12:58:33.963,1715,-0.189
25/06/2018 12:58:34.019,1715,0.313
25/06/2018 12:58:34.075,1717,0.313
25/06/2018 12:58:34.131,1718,0.313
25/06/2018 12:58:34.187,1720,0.313
25/06/2018 12:58:34.243,1721,0.313
25/06/2018 12:58:34.299,1722,0.313
25/06/2018 12:58:34.355,1723,0.313
25/06/2018 12:58:34.411,1723,0.313
25/06/2018 12:58:34.467,1723,0.313
25/06/2018 12:58:34.523,1723,0.313
25/06/2018 12:58:34.579,1724,0.313
25/06/2018 12:58:34.635,1724,0.313
25/06/2018 12:58:34.691,1724,0.313
25/06/2018 12:58:34.747,1726,0.313
25/06/2018 12:58:34.803,1727,0.313
25/06/2018 12:58:34.859,1728,0.313
25/06/2018 12:58:34.915,1728,0.313
25/06/2018 12:58:34.971,1728,0.313
25/06/2018 12:58:35.027,1728,-1.033
25/06/2018 12:58:35.083,1728,-1.033
25/06/2018 12:58:35.139,1728,-1.033
25/06/2018 12:58:35.195,1728,-1.033
25/06/2018 12:58:35.251,1728,-1.033
25/06/2018 12:58:35.307,1728,-1.033
25/06/2018 12:58:35.363,1728,-1.033
25/06/2018 12:58:35.419,1728,-1.033
25/06/2018 12:58:35.475,1728,-1.033
25/06/2018 12:58:35.531,1728,-1.033
25/06/2018 12:58:35.587,1728,-1.033
25/06/2018 12:58:35.643,1727,-1.033
25/06/2018 12:58:35.699,1727,-1.033
25/06/2018 12:58:35.755,1727,-1.033
25/06/2018 12:58:35.811,1727,-1.033
25/06/2018 12:58:35.867,1727,-1.033
25/06/2018 12:58:35.923,1727,-1.033
25/06/2018 12:58:35.979,1727,-1.033
25/06/2018 12:58:36.035,1727,-1.033
25/06/2018 12:58:36.091,1727,-1.033
25/06/2018 12:58:36.147,1724,-1.033
25/06/2018 12:58:36.203,1719,-1.033
25/06/2018 12:58:36.259,1691,-1.033
25/06/2018 12:58:36.315,1684,-1.033
25/06/2018 12:58:36.371,1678,-1.033
25/06/2018 12:58:36.427,1674,-1.033
25/06/2018 12:58:36.483,1670,-1.033
25/06/2018 12:58:36.539,1673,-1.033
25/06/2018 12:58:36.595,1670,-1.033
25/06/2018 12:58:36.651,1671,-1.033
25/06/2018 12:58:36.707,1671,-1.033
25/06/2018 12:58:36.763,1671,-1.033
25/06/2018 12:58:36.819,1667,-1.033
25/06/2018 12:58:36.875,1664,-1.033
25/06/2018 12:58:36.931,1664,-1.033
25/06/2018 12:58:36.987,1664,-1.033
25/06/2018 12:58:37.043,1664,-1.033
25/06/2018 12:58:37.099,1662,-1.033
25/06/2018 12:58:37.155,1662,-1.033
25/06/2018 12:58:37.211,1662,-1.033
25/06/2018 12:58:37.267,1662,2.334
25/06/2018 12:58:37.323,1662,2.334
25/06/2018 12:58:37.379,1663,2.334
25/06/2018 12:58:37.435,1664,2.334
25/06/2018 12:58:37.491,1663,2.334
25/06/2018 12:58:37.547,1663,-0.164
25/06/2018 12:58:37.603,1664,-0.164
25/06/2018 12:58:37.659,1663,-0.164
25/06/2018 12:58:37.715,1663,-0.164
25/06/2018 12:58:37.771,1663,0.185
25/06/2018 12:58:37.827,1663,0.185
25/06/2018 12:58:37.883,1663,0.185
25/06/2018 12:58:37.939,1664,0.185
25/06/2018 12:58:37.995,1664,0.185
25/06/2018 12:58:38.051,1664,-0.185
25/06/2018 12:58:38.107,1664,-0.185
25/06/2018 12:58:38.163,1664,-0.185
25/06/2018 12:58:38.219,1668,-0.185
25/06/2018 12:58:38.275,1669,-0.185
25/06/2018 12:58:38.331,1673,-0.185
25/06/2018 12:58:38.387,1679,-0.185
25/06/2018 12:58:38.443,1680,-0.185
25/06/2018 12:58:38.499,1684,-0.185
25/06/2018 12:58:38.555,1686,0.516
25/06/2018 12:58:38.611,1688,0.516
25/06/2018 12:58:38.667,1691,0.516
25/06/2018 12:58:38.723,1693,0.516
25/06/2018 12:58:38.779,1695,0.516
25/06/2018 12:58:38.835,1696,0.516
25/06/2018 12:58:38.891,1696,0.516
25/06/2018 12:58:38.947,1697,0.516
25/06/2018 12:58:39.003,1697,0.516
25/06/2018 12:58:39.059,1697,0.516
25/06/2018 12:58:39.115,1697,0.516
25/06/2018 12:58:39.171,1697,0.516
25/06/2018 12:58:39.227,1697,0.516
25/06/2018 12:58:39.283,1697,0.516
25/06/2018 12:58:39.339,1696,0.516
