Time,BreathingWaveform
22/06/2018 13:11:03.428,6427816
22/06/2018 13:11:03.468,6426562
22/06/2018 13:11:03.508,6426562
22/06/2018 13:11:03.548,6426249
22/06/2018 13:11:03.588,6426249
22/06/2018 13:11:03.628,6426667
22/06/2018 13:11:03.668,6427189
22/06/2018 13:11:03.708,6427816
22/06/2018 13:11:03.748,6428181
22/06/2018 13:11:03.788,6427085
22/06/2018 13:11:03.828,6426928
22/06/2018 13:11:03.868,6426510
22/06/2018 13:11:03.908,6426667
22/06/2018 13:11:03.948,6425309
22/06/2018 13:11:03.988,6425205
22/06/2018 13:11:04.028,6427868
22/06/2018 13:11:04.068,6424421
22/06/2018 13:11:04.108,6420922
22/06/2018 13:11:04.148,6420922
22/06/2018 13:11:04.188,6424369
22/06/2018 13:11:04.228,6428181
22/06/2018 13:11:04.268,6427607
22/06/2018 13:11:04.308,6429748
22/06/2018 13:11:04.348,6429801
22/06/2018 13:11:04.388,6423586
22/06/2018 13:11:04.428,6422802
22/06/2018 13:11:04.468,6430114
22/06/2018 13:11:04.508,6429330
22/06/2018 13:11:04.548,6427920
22/06/2018 13:11:04.588,6428129
22/06/2018 13:11:04.628,6429644
22/06/2018 13:11:04.668,6430688
22/06/2018 13:11:04.708,6432568
22/06/2018 13:11:04.748,6434657
22/06/2018 13:11:04.788,6432830
22/06/2018 13:11:04.828,6423638
22/06/2018 13:11:04.868,6421131
22/06/2018 13:11:04.908,6429957
22/06/2018 13:11:04.948,6442178
22/06/2018 13:11:04.988,6457114
22/06/2018 13:11:05.028,6474035
22/06/2018 13:11:05.068,6505892
22/06/2018 13:11:05.108,6507146
22/06/2018 13:11:05.148,6514718
22/06/2018 13:11:05.188,6506258
22/06/2018 13:11:05.228,6506937
22/06/2018 13:11:05.268,6517904
22/06/2018 13:11:05.308,6536131
22/06/2018 13:11:05.348,6553887
22/06/2018 13:11:05.388,6549083
22/06/2018 13:11:05.428,6551172
22/06/2018 13:11:05.468,6557647
22/06/2018 13:11:05.508,6556029
22/06/2018 13:11:05.548,6560259
22/06/2018 13:11:05.588,6567884
22/06/2018 13:11:05.628,6571957
22/06/2018 13:11:05.668,6559945
22/06/2018 13:11:05.708,6523231
22/06/2018 13:11:05.748,6463433
22/06/2018 13:11:05.788,6435336
22/06/2018 13:11:05.828,6433456
22/06/2018 13:11:05.868,6433091
22/06/2018 13:11:05.908,6442752
22/06/2018 13:11:05.948,6441969
22/06/2018 13:11:05.988,6447296
22/06/2018 13:11:06.028,6445363
22/06/2018 13:11:06.068,6443901
22/06/2018 13:11:06.108,6443013
22/06/2018 13:11:06.148,6443222
22/06/2018 13:11:06.188,6432986
22/06/2018 13:11:06.228,6433717
22/06/2018 13:11:06.268,6444946
22/06/2018 13:11:06.308,6434553
22/06/2018 13:11:06.348,6431785
22/06/2018 13:11:06.388,6429592
22/06/2018 13:11:06.428,6431628
22/06/2018 13:11:06.468,6427294
22/06/2018 13:11:06.508,6425779
22/06/2018 13:11:06.548,6430740
22/06/2018 13:11:06.588,6476594
22/06/2018 13:11:06.628,6493202
22/06/2018 13:11:06.668,6542502
22/06/2018 13:11:06.708,6613946
22/06/2018 13:11:06.748,6694112
22/06/2018 13:11:06.788,6725499
22/06/2018 13:11:06.828,6711816
22/06/2018 13:11:06.868,6707952
22/06/2018 13:11:06.908,6677504
22/06/2018 13:11:06.948,6529498
22/06/2018 13:11:06.988,6520620
22/06/2018 13:11:07.028,6478317
22/06/2018 13:11:07.068,6473304
22/06/2018 13:11:07.108,6500461
22/06/2018 13:11:07.148,6502654
22/06/2018 13:11:07.188,6539839
22/06/2018 13:11:07.228,6551746
22/06/2018 13:11:07.268,6568040
22/06/2018 13:11:07.308,6569920
22/06/2018 13:11:07.348,6560885
22/06/2018 13:11:07.388,6564489
22/06/2018 13:11:07.428,6562974
22/06/2018 13:11:07.468,6576501
22/06/2018 13:11:07.508,6592482
22/06/2018 13:11:07.548,6598905
22/06/2018 13:11:07.588,6605799
22/06/2018 13:11:07.628,6612432
22/06/2018 13:11:07.668,6605956
22/06/2018 13:11:07.708,6599271
22/06/2018 13:11:07.748,6594153
22/06/2018 13:11:07.788,6598070
22/06/2018 13:11:07.828,6606739
22/06/2018 13:11:07.868,6612745
22/06/2018 13:11:07.908,6618124
22/06/2018 13:11:07.948,6622198
22/06/2018 13:11:07.988,6627577
22/06/2018 13:11:08.028,6637239
22/06/2018 13:11:08.068,6644237
22/06/2018 13:11:08.108,6656875
22/06/2018 13:11:08.148,6667686
22/06/2018 13:11:08.188,6683301
22/06/2018 13:11:08.228,6704087
22/06/2018 13:11:08.268,6733385
22/06/2018 13:11:08.308,6761117
22/06/2018 13:11:08.348,6779239
22/06/2018 13:11:08.388,6792138
22/06/2018 13:11:08.428,6807231
22/06/2018 13:11:08.468,6818199
22/06/2018 13:11:08.508,6816841
22/06/2018 13:11:08.548,6824518
22/06/2018 13:11:08.588,6831568
22/06/2018 13:11:08.628,6829270
22/06/2018 13:11:08.668,6828121
22/06/2018 13:11:08.708,6819661
22/06/2018 13:11:08.748,6812715
22/06/2018 13:11:08.788,6813603
22/06/2018 13:11:08.828,6801330
22/06/2018 13:11:08.868,6789840
22/06/2018 13:11:08.908,6796212
22/06/2018 13:11:08.948,6790415
22/06/2018 13:11:08.988,6778612
22/06/2018 13:11:09.028,6778821
22/06/2018 13:11:09.068,6785349
22/06/2018 13:11:09.108,6788639
22/06/2018 13:11:09.148,6796630
22/06/2018 13:11:09.188,6811670
22/06/2018 13:11:09.228,6824570
22/06/2018 13:11:09.268,6840290
22/06/2018 13:11:09.308,6866611
22/06/2018 13:11:09.348,6886144
22/06/2018 13:11:09.388,6909488
22/06/2018 13:11:09.428,6936436
22/06/2018 13:11:09.468,6952052
22/06/2018 13:11:09.508,6960303
22/06/2018 13:11:09.548,6968816
22/06/2018 13:11:09.588,6976859
22/06/2018 13:11:09.628,6982655
22/06/2018 13:11:09.668,6990071
22/06/2018 13:11:09.708,6995242
22/06/2018 13:11:09.748,6995137
22/06/2018 13:11:09.788,6991064
22/06/2018 13:11:09.828,6986729
22/06/2018 13:11:09.868,6985371
22/06/2018 13:11:09.908,6983909
22/06/2018 13:11:09.948,6984640
22/06/2018 13:11:09.988,6978895
22/06/2018 13:11:10.028,6974091
22/06/2018 13:11:10.068,6974143
22/06/2018 13:11:10.108,6975762
22/06/2018 13:11:10.148,6978373
22/06/2018 13:11:10.188,6982081
22/06/2018 13:11:10.228,6985162
