Time,BtoB
17/07/2018 15:35:26.410,6000
,1320
,1460
,3150
,4950
,3230
,2430
,4870
,1270
,6550
,1150
,7310
,1960
,1170
,3410
,3340
,4340
,4400
,1880
,2490
,1080
,2100
,8080
,2360
,3250
,2620
,1680
,2470
,11130
,4930
,1750
,1010
,2000
,5820
,2330
,3350
,920
,4720
,1120
,2530
,710
,1490
,2960
,2390
,1970
,2470
,2280
,4000
,1210
,2070
,1770
,1730
,1520
,3300
,6160
,2580
,2320
,2620
,1870
,7250
,2570
,1780
,3160
,2460
,2370
,2340
,1910
,2850
,890
,1550
,2670
,3420
,1620
,1490
,1260
,5140
,2450
,2630
,2480
,2750
,2330
,2530
,2160
,2300
,4560
,850
,5630
,4880
,1550
,1370
,3020
,3410
,2660
,1070
,2340
,2460
,2900
,2630
,1940
,2870
,2350
,2270
,3320
,3030
,3070
,2770
,2170
,2580
,2490
,2770
,2820
,3660
,2590
,2960
,2450
,2450
,2470
,2540
,2350
,2580
,2660
,2820
,4550
,2690
,3040
,2410
,2520
,2660
,2630
,2400
,2460
,2750
,1230
,2600
,820
,3260
,6060
,2930
,5100
,1850
,2420
,3200
,3100
,3050
,2060
,2430
,3030
,3230
,570
,3440
,1740
,3310
,2930
,2590
,4820
,5740
,3700
,3000
,3020
,2620
,2810
,2660
,2840
,2750
,2530
,2670
,3150
,3140
,2870
,3910
,2570
,3810
,5000
,4270
,3660
,3240
,2580
,3120
,4450
,2670
,2650
,3260
,2510
,2530
,2660
,2360
,5710
,2820
,3120
,2670
,2560
,3310
,2000
,3090
,2060
,2720
,3190
,3260
,4000
,3740
,3460
,3860
,4730
,4540
,3910
,4060
,4510
,4450
,3420
,3170
,3550
,3700
,3410
,3440
,3590
,3370
,2920
,2950
,2900
,2910
,3070
,3560
,3490
,2990
,2920
,4110
,3510
,3200
,2930
,2980
,2950
,2930
,2970
,2910
,2970
,3360
,2760
,3190
,2740
,3090
,3110
,3050
,2820
,2810
,3320
,2970
,3010
,4080
,3890
,2860
,2900
,3170
,2770
,3120
,2870
,2880
,3080
,2950
,3020
,2780
,3090
,3510
,3140
,2830
,2720
,3500
,3470
,3590
,1470
,2140
,3430
,4150
,3720
,3130
,3250
,3330
,4310
,4390
,3770
,1710
,2720
,4020
,4090
,8640
,3590
,6710
,1600
,1790
,3200
,3860
,3460
,2790
,6250
,2330
,5860
,960
,4110
,3140
,1540
,2100
,3350
,3820
,5390
,1780
,5450
,4100
,3690
,2370
,2480
,3370
,3430
,5180
,2530
,3920
,4060
,4380
,3760
,3540
,3680
,3360
,1740
,3680
,3230
,3210
,5720
,4720
,2810
,3850
,3640
,3170
,3250
,2570
,2610
,2240
,2280
,2400
,2650
,3160
,2580
,2660
,2410
,2720
,2670
,2440
,2180
,2040
,2860
,2910
,4890
,3250
,3200
,2540
,2310
,2820
,3100
,2280
,3040
,2530
,3080
,2770
,2650
,2850
,2820
,3020
,2680
,2440
,2570
,3340
,3020
,2820
,2700
,3090
,1860
,4180
,2320
,1900
,2810
,2280
,2480
,2070
,2870
,4820
,2870
,3420
,2790
,2800
,2700
,3270
,2970
,2970
,2380
,2860
,2500
,2640
,2340
,2790
,2420
,2950
,3120
,3830
,4650
,8690
,3470
,940
,2330
,2780
,4150
,2400
,3130
,3210
,2430
,2280
,2710
,2810
,4430
,4890
,5210
,4290
,4840
,2820
,4000
,470
,5560
,3460
,4520
,2970
,3020
,4680
,580
,4150
,2660
,3430
,2140
,620
,1710
,4290
,1980
,870
,1800
,2270
,2820
,2800
,3730
,2680
,3210
,3130
,2750
,2840
,4310
,2210
,3360
,3310
,3150
,2840
,990
,1640
,3070
,2660
,3500
,1790
,970
,1670
,3950
,3440
,3400
,3500
,1040
,1200
,3320
,2910
,3030
,2760
,2890
,2990
,2600
,2310
,3200
,2530
,4790
,4100
,3890
,2350
,7120
,3430
,3730
,3530
,3400
,2990
,3220
,2770
,3260
,3020
,3120
,3320
,3040
,3420
,2430
,2810
,2830
,2730
,2760
,2900
,2680
,2870
,2920
,2490
,3030
,2510
,3150
,3090
,3110
,3060
,2120
,3370
,1800
,3560
,3050
,3210
,2740
,2540
,3070
,2560
,2800
,3020
,2470
,2620
,2600
,2920
,3010
,2960
,2730
,2730
,3240
,4330
,3550
,2980
,2990
,3310
,3170
,2680
,2710
,2900
,2820
,2820
,2950
,3150
,3360
,3050
,2650
,3400
,3280
,3580
,2700
,2720
,3000
,3260
,3410
,3470
,3500
,3560
,3100
,3290
,3180
,3380
,3170
,3190
,4190
,4480
,3750
,2920
,2600
,2820
,3010
,4150
,2820
,3040
,3510
,3190
,3280
,6660
,2180
,2560
,2870
,2870
,3300
,3780
,2870
,2800
,340
,1840
,3180
,3830
,2390
,2750
,3120
,2930
,2920
,2930
,3030
,2990
,3140
,2970
,3280
,2790
,2760
,2770
,2790
,3310
,3120
,2430
,2260
,6590
,2780
,950
,1810
,3220
,2820
,3290
,3160
,3180
,4570
,6150
,3080
,3580
,2930
,3820
,3010
,3470
,2970
,3340
,2580
,2600
,3380
,2470
,2590
,3240
,3300
,3070
,3500
,2710
,4750
,8130
,7210
,2840
,840
,2130
,4950
,1940
,3020
,2910
,2830
,2700
,2610
,3060
,2960
,2790
,3060
,2890
,3210
,2910
,2780
,3650
,2280
,3470
,3160
,3260
