Frame#,Time,Timestamp,Perspiration
0,0,Mon Jun 25 04:15:11.173 2018,0.01025873
1,0.1248752,Mon Jun 25 04:15:11.298 2018,0.01190398
3,0.2572353,Mon Jun 25 04:15:11.431 2018,0.01190398
5,0.3958269,Mon Jun 25 04:15:11.569 2018,0.01127999
7,0.5263556,Mon Jun 25 04:15:11.700 2018,0.008707698
8,0.6643802,Mon Jun 25 04:15:11.838 2018,0.009292935
9,0.6683901,Mon Jun 25 04:15:11.842 2018,0.009118026
10,0.7932409,Mon Jun 25 04:15:11.967 2018,0.008800105
11,0.9257454,Mon Jun 25 04:15:12.099 2018,0.009273496
12,1.070078,Mon Jun 25 04:15:12.243 2018,0.01031495
13,1.191414,Mon Jun 25 04:15:12.365 2018,0.01496005
14,1.3381,Mon Jun 25 04:15:12.511 2018,0.01340011
15,1.457255,Mon Jun 25 04:15:12.631 2018,0.01752189
16,1.590394,Mon Jun 25 04:15:12.764 2018,0.0136185
17,1.723076,Mon Jun 25 04:15:12.896 2018,0.01743328
18,1.858672,Mon Jun 25 04:15:13.032 2018,0.01285414
19,1.990632,Mon Jun 25 04:15:13.164 2018,0.02437905
20,2.129681,Mon Jun 25 04:15:13.303 2018,0.02369739
21,2.256975,Mon Jun 25 04:15:13.430 2018,0.01495087
22,2.390906,Mon Jun 25 04:15:13.564 2018,0.01347644
23,2.524779,Mon Jun 25 04:15:13.698 2018,0.01626961
24,2.659206,Mon Jun 25 04:15:13.832 2018,0.01653355
25,2.792779,Mon Jun 25 04:15:13.966 2018,0.01753399
26,2.940335,Mon Jun 25 04:15:14.114 2018,0.01650101
27,3.059222,Mon Jun 25 04:15:14.233 2018,0.01923344
28,3.192146,Mon Jun 25 04:15:14.365 2018,0.01850173
29,3.332064,Mon Jun 25 04:15:14.505 2018,0.02379655
30,3.458072,Mon Jun 25 04:15:14.631 2018,0.02247768
31,3.594625,Mon Jun 25 04:15:14.768 2018,0.01292005
32,3.73551,Mon Jun 25 04:15:14.909 2018,0.01423563
33,3.867711,Mon Jun 25 04:15:15.041 2018,0.01534766
34,3.994344,Mon Jun 25 04:15:15.168 2018,0.01344725
35,4.132853,Mon Jun 25 04:15:15.306 2018,0.01308234
36,4.258743,Mon Jun 25 04:15:15.432 2018,0.01388387
37,4.394199,Mon Jun 25 04:15:15.567 2018,0.01062851
38,4.528066,Mon Jun 25 04:15:15.701 2018,0.02413212
39,4.660937,Mon Jun 25 04:15:15.834 2018,0.01799659
40,4.794884,Mon Jun 25 04:15:15.968 2018,0.0219586
