SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2018,06,22,49400441,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2018,06,22,49414868,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,22,49415066,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,06,22,49424068,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,22,49425067,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2018,06,22,49430068,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,22,49431067,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,06,22,49431068,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,22,49432067,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2018,06,22,49432068,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,22,49434068,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,22,49438068,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,22,49440068,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,22,49443068,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,22,49444067,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,06,22,49444068,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,22,49445066,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2018,06,22,49445067,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,22,49449068,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,22,49454068,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,22,49455067,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,06,22,49468067,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,22,49469067,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2018,06,22,49479295,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,22,49480067,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,06,22,49485067,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,06,22,49522067,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,06,22,49523067,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,06,22,49524067,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,06,22,49525067,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,06,22,49526067,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,06,22,49527066,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,06,22,49528567,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,22,49528568,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,22,49529067,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,22,49529067,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,06,22,49529579,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,22,49530067,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2018,06,22,49542067,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,06,22,49543067,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,06,22,49548067,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,06,22,49549067,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,06,22,49557067,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,06,22,49972068,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2018,06,22,54245066,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,06,22,54247441,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,22,54247442,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,22,54247566,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,22,54247567,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,22,54247941,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,22,54247942,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,22,54248066,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,22,54248066,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2018,06,22,54248067,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,22,54249066,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,06,22,54249066,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,06,22,54251066,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,06,22,54253066,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,06,22,54262066,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,06,22,54563064,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2018,06,22,54577064,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,06,22,54594063,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,06,22,54598064,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,06,22,54602064,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,06,22,54603064,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,06,22,54604063,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,06,22,54605064,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,06,22,54606063,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,06,22,54607064,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,06,22,54818064,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,06,22,54819062,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,06,22,54820063,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,06,22,54821064,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,06,22,54821564,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,22,54821565,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,22,54821939,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,22,54821940,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,22,54822062,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,06,22,54822562,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,06,22,54822563,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,06,22,54823063,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,06,22,54824064,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,06,22,54825062,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,06,22,54826063,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,06,22,54827064,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,06,22,54828063,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,06,22,54829063,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,06,22,54830064,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,06,22,54833064,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,06,22,54834063,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,06,22,54835063,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,06,22,54836064,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,06,22,54843064,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
