SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2018,08,03,50083459,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2018,08,03,50087084,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,08,03,50088085,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,03,50089084,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,08,03,50091085,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,03,50095085,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,08,03,50100084,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,08,03,50113085,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2018,08,03,50118084,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,08,03,50130084,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2018,08,03,50135084,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,08,03,50137576,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,03,50138084,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,08,03,50138740,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,03,50141084,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2018,08,03,50145196,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,03,50146084,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,08,03,50252568,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,03,50252580,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,03,50253086,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,03,50254084,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,08,03,50258085,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,03,50259084,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2018,08,03,50265312,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,03,50266084,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,08,03,50271084,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,08,03,50277084,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,03,50277084,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,08,03,50277085,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,03,50278085,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2018,08,03,50278085,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,08,03,50279084,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,08,03,50282084,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,08,03,50874084,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2018,08,03,55069084,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,08,03,55071084,4416,Physiological,DashAlgorithm,0,40 Yard Dash Test Detected - Activity 0.3g
0,2018,08,03,55335084,4416,Physiological,DashAlgorithm,0,40 Yard Dash Test Detected - Activity 0.34g
0,2018,08,03,55489084,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
0,2018,08,03,55490084,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,03,55490084,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,08,03,55490085,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,03,55491084,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Green.
0,2018,08,03,55491084,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from False to True
0,2018,08,03,55492084,4224,Physiological,HeartRateCalculation,0,Heart rate Reliable changed from True to False
