SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2018,08,13,30857423,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2018,08,13,30861048,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,08,13,30868006,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,13,30868050,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,08,13,30871174,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,13,30872050,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,08,13,30877050,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,08,13,30889050,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2018,08,13,30914051,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,13,30915050,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2018,08,13,30915051,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,13,30916050,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,08,13,30920050,4416,Physiological,DashAlgorithm,0,40 Yard Dash Test Detected - Activity 0.57g
0,2018,08,13,30922051,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,13,30923050,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2018,08,13,30923051,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,13,30924050,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,08,13,30927050,4416,Physiological,DashAlgorithm,0,40 Yard Dash Test Detected - Activity 0.41g
0,2018,08,13,30929050,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,08,13,30932050,4416,Physiological,DashAlgorithm,0,40 Yard Dash Test Detected - Activity 0.61g
0,2018,08,13,30934050,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2018,08,13,30947050,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,08,13,30947114,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,13,30947606,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,13,30956906,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,08,13,30957050,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,08,13,30960950,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,08,13,30961050,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,08,13,30966050,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,08,13,30975050,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
