Time,BreathingWaveform
06/07/2018 10:32:39.426,7207068
06/07/2018 10:32:39.466,7208290
06/07/2018 10:32:39.506,7208290
06/07/2018 10:32:39.546,7210632
06/07/2018 10:32:39.586,7210632
06/07/2018 10:32:39.626,7216996
06/07/2018 10:32:39.666,7217657
06/07/2018 10:32:39.706,7217199
06/07/2018 10:32:39.746,7216538
06/07/2018 10:32:39.786,7216130
06/07/2018 10:32:39.826,7216639
06/07/2018 10:32:39.866,7218370
06/07/2018 10:32:39.906,7221068
06/07/2018 10:32:39.946,7221578
06/07/2018 10:32:39.986,7222494
06/07/2018 10:32:40.026,7223411
06/07/2018 10:32:40.066,7223716
06/07/2018 10:32:40.106,7223614
06/07/2018 10:32:40.146,7225854
06/07/2018 10:32:40.186,7228858
06/07/2018 10:32:40.226,7230589
06/07/2018 10:32:40.266,7231098
06/07/2018 10:32:40.306,7230436
06/07/2018 10:32:40.346,7229978
06/07/2018 10:32:40.386,7230640
06/07/2018 10:32:40.426,7231760
06/07/2018 10:32:40.466,7232931
06/07/2018 10:32:40.506,7234356
06/07/2018 10:32:40.546,7234814
06/07/2018 10:32:40.586,7234916
06/07/2018 10:32:40.626,7234305
06/07/2018 10:32:40.666,7232116
06/07/2018 10:32:40.706,7230996
06/07/2018 10:32:40.746,7230487
06/07/2018 10:32:40.786,7229316
06/07/2018 10:32:40.826,7225142
06/07/2018 10:32:40.866,7221018
06/07/2018 10:32:40.906,7219898
06/07/2018 10:32:40.946,7219185
06/07/2018 10:32:40.986,7219287
06/07/2018 10:32:41.026,7222596
06/07/2018 10:32:41.066,7225498
06/07/2018 10:32:41.106,7226211
06/07/2018 10:32:41.146,7225752
06/07/2018 10:32:41.186,7223971
06/07/2018 10:32:41.226,7221832
06/07/2018 10:32:41.266,7219592
06/07/2018 10:32:41.306,7217301
06/07/2018 10:32:41.346,7216843
06/07/2018 10:32:41.386,7214858
06/07/2018 10:32:41.426,7213992
06/07/2018 10:32:41.466,7213890
06/07/2018 10:32:41.506,7215723
06/07/2018 10:32:41.546,7218014
06/07/2018 10:32:41.586,7220814
06/07/2018 10:32:41.626,7219134
06/07/2018 10:32:41.666,7220152
06/07/2018 10:32:41.706,7220763
06/07/2018 10:32:41.746,7219388
06/07/2018 10:32:41.786,7213534
06/07/2018 10:32:41.826,7207832
06/07/2018 10:32:41.866,7200297
06/07/2018 10:32:41.906,7197191
06/07/2018 10:32:41.946,7194798
06/07/2018 10:32:41.986,7194035
06/07/2018 10:32:42.026,7191948
06/07/2018 10:32:42.066,7190878
06/07/2018 10:32:42.106,7192864
06/07/2018 10:32:42.146,7207628
06/07/2018 10:32:42.186,7211650
06/07/2018 10:32:42.226,7211141
06/07/2018 10:32:42.266,7230589
06/07/2018 10:32:42.306,7221985
06/07/2018 10:32:42.346,7208697
06/07/2018 10:32:42.386,7199991
06/07/2018 10:32:42.426,7200755
06/07/2018 10:32:42.466,7206661
06/07/2018 10:32:42.506,7210581
06/07/2018 10:32:42.546,7216334
06/07/2018 10:32:42.586,7219592
06/07/2018 10:32:42.626,7222749
06/07/2018 10:32:42.666,7223665
06/07/2018 10:32:42.706,7222596
06/07/2018 10:32:42.746,7221629
06/07/2018 10:32:42.786,7215367
06/07/2018 10:32:42.826,7211701
06/07/2018 10:32:42.866,7208188
06/07/2018 10:32:42.906,7204828
06/07/2018 10:32:42.946,7200297
06/07/2018 10:32:42.986,7197293
06/07/2018 10:32:43.026,7195562
06/07/2018 10:32:43.066,7194697
06/07/2018 10:32:43.106,7194086
06/07/2018 10:32:43.146,7193475
06/07/2018 10:32:43.186,7192558
06/07/2018 10:32:43.226,7191693
06/07/2018 10:32:43.266,7190980
06/07/2018 10:32:43.306,7190624
06/07/2018 10:32:43.346,7189046
06/07/2018 10:32:43.386,7189097
06/07/2018 10:32:43.426,7188689
06/07/2018 10:32:43.466,7188129
06/07/2018 10:32:43.506,7187518
06/07/2018 10:32:43.546,7186704
06/07/2018 10:32:43.586,7190318
