Time,Timestamp,LeftClick,RightClick,LeftSide,RightSide
7.025,Fri Jul 06 10:39:38.490 2018,0,0,0,0,
7.031,Fri Jul 06 10:39:38.495 2018,0,0,0,0,
7.034,Fri Jul 06 10:39:38.498 2018,0,0,0,0,
7.04,Fri Jul 06 10:39:38.504 2018,0,0,0,0,
7.043,Fri Jul 06 10:39:38.507 2018,0,0,0,0,
7.046,Fri Jul 06 10:39:38.511 2018,0,0,0,0,
7.049,Fri Jul 06 10:39:38.514 2018,0,0,0,0,
7.053,Fri Jul 06 10:39:38.517 2018,0,0,0,0,
7.057,Fri Jul 06 10:39:38.521 2018,0,0,0,0,
7.061,Fri Jul 06 10:39:38.525 2018,0,0,0,0,
7.064,Fri Jul 06 10:39:38.529 2018,0,0,0,0,
7.069,Fri Jul 06 10:39:38.533 2018,0,0,0,0,
7.089,Fri Jul 06 10:39:38.554 2018,0,0,0,0,
7.114,Fri Jul 06 10:39:38.579 2018,0,0,0,0,
7.139,Fri Jul 06 10:39:38.604 2018,0,0,0,0,
7.164,Fri Jul 06 10:39:38.629 2018,0,0,0,0,
7.189,Fri Jul 06 10:39:38.654 2018,0,0,0,0,
7.204,Fri Jul 06 10:39:38.668 2018,0,0,0,0,
7.208,Fri Jul 06 10:39:38.672 2018,0,0,0,0,
7.212,Fri Jul 06 10:39:38.675 2018,0,0,0,0,
7.215,Fri Jul 06 10:39:38.679 2018,0,0,0,0,
7.219,Fri Jul 06 10:39:38.682 2018,0,0,0,0,
7.222,Fri Jul 06 10:39:38.686 2018,0,0,0,0,
7.225,Fri Jul 06 10:39:38.689 2018,0,0,0,0,
7.229,Fri Jul 06 10:39:38.693 2018,0,0,0,0,
7.233,Fri Jul 06 10:39:38.697 2018,0,0,0,0,
7.236,Fri Jul 06 10:39:38.700 2018,0,0,0,0,
7.241,Fri Jul 06 10:39:38.705 2018,0,0,0,0,
7.247,Fri Jul 06 10:39:38.711 2018,0,0,0,0,
7.272,Fri Jul 06 10:39:38.736 2018,0,0,0,0,
7.297,Fri Jul 06 10:39:38.761 2018,0,0,0,0,
7.322,Fri Jul 06 10:39:38.786 2018,0,0,0,0,
7.347,Fri Jul 06 10:39:38.811 2018,0,0,0,0,
7.372,Fri Jul 06 10:39:38.836 2018,0,0,0,0,
7.398,Fri Jul 06 10:39:38.862 2018,0,0,0,0,
7.423,Fri Jul 06 10:39:38.887 2018,0,0,0,0,
7.448,Fri Jul 06 10:39:38.912 2018,0,0,0,0,
7.473,Fri Jul 06 10:39:38.937 2018,0,0,0,0,
7.498,Fri Jul 06 10:39:38.962 2018,0,0,0,0,
7.523,Fri Jul 06 10:39:38.987 2018,0,0,0,0,
7.548,Fri Jul 06 10:39:39.013 2018,0,0,0,0,
7.571,Fri Jul 06 10:39:39.035 2018,0,0,0,0,
7.574,Fri Jul 06 10:39:39.038 2018,0,0,0,0,
7.577,Fri Jul 06 10:39:39.041 2018,0,0,0,0,
7.58,Fri Jul 06 10:39:39.044 2018,0,0,0,0,
7.583,Fri Jul 06 10:39:39.047 2018,0,0,0,0,
7.587,Fri Jul 06 10:39:39.050 2018,0,0,0,0,
7.59,Fri Jul 06 10:39:39.054 2018,0,0,0,0,
7.593,Fri Jul 06 10:39:39.057 2018,0,0,0,0,
7.598,Fri Jul 06 10:39:39.062 2018,0,0,0,0,
7.604,Fri Jul 06 10:39:39.068 2018,0,0,0,0,
7.61,Fri Jul 06 10:39:39.074 2018,0,0,0,0,
7.614,Fri Jul 06 10:39:39.078 2018,0,0,0,0,
7.618,Fri Jul 06 10:39:39.082 2018,0,0,0,0,
7.637,Fri Jul 06 10:39:39.101 2018,0,0,0,0,
7.662,Fri Jul 06 10:39:39.126 2018,0,0,0,0,
7.687,Fri Jul 06 10:39:39.151 2018,0,0,0,0,
7.712,Fri Jul 06 10:39:39.176 2018,0,0,0,0,
7.737,Fri Jul 06 10:39:39.201 2018,0,0,0,0,
7.751,Fri Jul 06 10:39:39.215 2018,0,0,0,0,
7.754,Fri Jul 06 10:39:39.218 2018,0,0,0,0,
7.757,Fri Jul 06 10:39:39.221 2018,0,0,0,0,
7.76,Fri Jul 06 10:39:39.224 2018,0,0,0,0,
7.763,Fri Jul 06 10:39:39.227 2018,0,0,0,0,
7.766,Fri Jul 06 10:39:39.231 2018,0,0,0,0,
7.77,Fri Jul 06 10:39:39.234 2018,0,0,0,0,
7.773,Fri Jul 06 10:39:39.237 2018,0,0,0,0,
7.776,Fri Jul 06 10:39:39.241 2018,0,0,0,0,
7.78,Fri Jul 06 10:39:39.244 2018,0,0,0,0,
