Time,HR,BR,SkinTemp,Posture,Activity,PeakAccel,BatteryVolts,BatteryLevel,BRAmplitude,BRNoise,BRConfidence,ECGAmplitude,ECGNoise,HRConfidence,HRV,SystemConfidence,GSR,ROGState,ROGTime,VerticalMin,VerticalPeak,LateralMin,LateralPeak,SagittalMin,SagittalPeak,DeviceTemp,StatusInfo,LinkQuality,RSSI,TxPower,CoreTemp,AuxADC1,AuxADC2,AuxADC3
18/07/2018 10:40:24.442,65,10.0,-3276.8,-75,0.42,0.92,4.166,94,0.000,65535.000,0,0.000000,0.000000,0,65535,0,65535,3,2,-0.71,0.46,0.80,1.87,-0.31,0.44,21.2,688,255,-128,-128,6553.5,414,421,498
18/07/2018 10:40:25.442,65,10.0,-3276.8,-84,0.59,1.73,4.166,94,0.000,65535.000,0,0.000000,0.000000,0,65535,0,65535,3,3,-0.14,1.26,-0.07,1.42,-0.75,1.83,21.2,688,255,-128,-128,6553.5,413,421,498
18/07/2018 10:40:26.442,65,10.0,-3276.8,-82,0.89,1.24,4.166,94,0.000,65535.000,0,0.000000,0.000000,0,65535,0,65535,3,4,-0.22,0.21,-0.30,0.18,0.75,1.27,21.2,688,255,-128,-128,6553.5,414,421,497
18/07/2018 10:40:27.442,65,10.0,-3276.8,-83,0.47,1.38,4.166,94,0.000,65535.000,0,0.000000,0.000000,0,65535,0,65535,1,0,-0.59,0.24,-1.14,0.04,0.66,1.62,21.2,688,255,-128,-128,6553.5,411,418,497
18/07/2018 10:40:28.442,65,10.0,-3276.8,-77,0.43,0.97,4.166,94,0.000,65535.000,0,0.000000,0.000000,0,65535,0,65535,1,1,-1.22,0.10,-0.66,0.12,0.56,1.50,21.2,688,255,-128,-128,6553.5,414,425,500
18/07/2018 10:40:29.442,65,10.0,-3276.8,-75,0.41,1.27,4.165,94,55446.000,65535.000,0,0.000000,0.000040,0,65535,0,65535,1,2,-0.83,1.32,-0.53,0.54,0.50,1.32,21.2,688,255,-128,-128,6553.5,414,421,498
18/07/2018 10:40:30.442,65,10.0,-3276.8,-79,0.32,0.79,4.165,94,49891.000,65535.000,0,0.000560,0.000040,0,65535,0,65535,1,3,-0.40,0.38,-0.61,0.18,0.56,1.36,21.2,688,255,-128,-128,6553.5,416,417,492
18/07/2018 10:40:31.442,65,10.0,-3276.8,-76,0.22,0.78,4.159,93,41345.000,65535.000,0,0.000560,0.000020,0,65535,0,65535,1,4,-0.54,0.15,-0.79,0.34,0.61,1.36,21.2,688,255,-128,-128,6553.5,414,421,498
18/07/2018 10:40:32.442,65,10.0,-3276.8,-74,0.29,1.25,4.156,92,33511.000,65535.000,0,0.000080,0.000020,0,65535,0,65535,1,5,-1.07,-0.03,-0.97,0.22,0.31,1.30,21.2,688,255,-128,-128,6553.5,414,420,498
18/07/2018 10:40:33.442,65,10.0,-3276.8,-70,0.15,0.27,4.156,92,26292.000,65535.000,0,0.000080,0.000020,0,65535,0,65535,1,6,-0.51,-0.32,-0.12,0.13,0.67,0.98,21.2,691,255,-128,-128,6553.5,410,411,490
