Frame#,Time,Timestamp,ROI,Breathing
0,0,Fri Sep 07 16:17:04.686 2018,32.26929,-1
5,0.266288,Fri Sep 07 16:17:04.953 2018,32.28964,-1
6,0.397935,Fri Sep 07 16:17:05.084 2018,32.26078,-1
7,0.5315775,Fri Sep 07 16:17:05.218 2018,32.26102,-1
8,0.6781867,Fri Sep 07 16:17:05.364 2018,32.25766,-1
9,0.7998686,Fri Sep 07 16:17:05.486 2018,32.18709,-1
10,0.9424978,Fri Sep 07 16:17:05.629 2018,32.16977,-1
11,1.07214,Fri Sep 07 16:17:05.758 2018,32.1396,-1
12,1.200788,Fri Sep 07 16:17:05.887 2018,32.09461,-1
13,1.333434,Fri Sep 07 16:17:06.020 2018,32.02578,-1
14,1.493009,Fri Sep 07 16:17:06.179 2018,31.99662,-1
15,1.599723,Fri Sep 07 16:17:06.286 2018,32.00021,-1
16,1.739348,Fri Sep 07 16:17:06.426 2018,32.13045,-1
18,1.873988,Fri Sep 07 16:17:06.560 2018,32.23303,-1
19,2.06049,Fri Sep 07 16:17:06.747 2018,32.21714,-1
20,2.134292,Fri Sep 07 16:17:06.821 2018,32.22767,-1
21,2.266939,Fri Sep 07 16:17:06.953 2018,32.23288,-1
22,2.400581,Fri Sep 07 16:17:07.087 2018,32.2486,-1
24,2.534221,Fri Sep 07 16:17:07.221 2018,32.39016,-1
25,2.668864,Fri Sep 07 16:17:07.355 2018,32.39435,-1
26,2.801508,Fri Sep 07 16:17:07.488 2018,32.40435,-1
27,2.936146,Fri Sep 07 16:17:07.622 2018,32.40095,-1
28,3.069791,Fri Sep 07 16:17:07.756 2018,32.34341,-1
29,3.202435,Fri Sep 07 16:17:07.889 2018,32.30217,-1
30,3.334083,Fri Sep 07 16:17:08.020 2018,32.20888,-1
31,3.468723,Fri Sep 07 16:17:08.155 2018,32.12958,-1
33,3.603363,Fri Sep 07 16:17:08.290 2018,32.10581,-1
34,3.736008,Fri Sep 07 16:17:08.422 2018,32.08888,-1
35,3.876643,Fri Sep 07 16:17:08.563 2018,32.07478,-1
