SeqNo, Year, Month, Day, ms, EventCode, Type, Source, EventID, EventSpecificData
0,2018,09,07,48837427,192,System,Diagnosis,0,Self Test Event - Results: Current battery level (%) 0 (UNTESTED) Breathing Sensor Test Result 0 (UNTESTED) Accelerometer Test Result 1 (PASS) Logging Memory Test Result 1 (PASS) Bluetooth Module Test Result 0 (UNTESTED) Apple Authentication Test Result 0 (UNTESTED) Reserved for Test 6 0 (UNTESTED) Reserved for Test 7 0 (UNTESTED) Reserved for Test 8 0 (UNTESTED) Reserved for Test 9 0 (UNTESTED) 
0,2018,09,07,48841051,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,09,07,48845052,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,09,07,48846051,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,09,07,48858052,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,09,07,48859051,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,09,07,48872052,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,09,07,48873051,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2018,09,07,48875052,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,09,07,48876051,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,09,07,48895053,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,09,07,48896051,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2018,09,07,48897053,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,09,07,48898051,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,09,07,48903052,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,09,07,48904052,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Invalid.
0,2018,09,07,48914053,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,09,07,48915053,4096,Physiological,RogAlgorithm,0,ROG status change from Invalid to Red.
0,2018,09,07,48916053,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,09,07,48917048,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
0,2018,09,07,48920052,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,09,07,48933052,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Red.
0,2018,09,07,48938052,4096,Physiological,RogAlgorithm,0,ROG status change from Red to Green.
0,2018,09,07,48965184,4160,Physiological,WornDetection,0,Worn status changed from 100% to   0%
0,2018,09,07,48966052,4096,Physiological,RogAlgorithm,0,ROG status change from Green to Invalid.
0,2018,09,07,48966600,4160,Physiological,WornDetection,0,Worn status changed from   0% to 100%
