"Response ID","Time Started","Date Submitted","Status","Contact ID","Legacy Comments","Comments","Language","Referer","Extended Referer","SessionID","User Agent","Extended User Agent","Tags","IP Address","Longitude","Latitude","Country","City","State/Region","Postal","Your participant ID:","Your age:","Gender:","Your nationality:","Others, please specify:Your nationality:","Your native language:","Others, please specify:Your native language:","Your education level:","Your occupation:","Your proficiency of writing English:","Your frequency of using Email in your daily work and life:","1. In the last month, how often have you been upset because of something that happened unexpectedly?","2. In the last month, how often have you felt that you were unable to control the important things in your life?","3. In the last month, how often have you felt nervous and stressed?","4. In the last month, how often have you felt confident about your ability to handle your personal problems?","5. In the last month, how often have you felt that things were going your way?","6. In the last month, how often have you found that you could not cope with all the things that you had to do?","7. In the last month, how often have you been able to control irritations in your life?","8. In the last month, how often have you felt that you were on top of things?","9. In the last month, how often have you been angered because of things that were outside of your control?","10. In the last month, how often have you felt difficulties were piling up so high that you could not overcome them?"
"21","Jun 13, 2018 11:51:38 am","Jun 13, 2018 11:52:55 am","Complete","","","","English","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T002","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T002","1528905058_5b213d62b20d32.09988232","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36","","129.7.106.83","-95.434196472168","29.833999633789","United States","Houston","TX","77204","T006","18","1","1","","1","","2","1","7","6","2","1","2","4","3","1","3","3","1","1"
"24","Jun 15, 2018 2:07:48 pm","Jun 15, 2018 2:08:51 pm","Complete","","","","English","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1","1529085401_5b23fdd91d9481.48158253","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36","","128.194.142.236","-95.662696838379","29.83270072937","United States","Houston","TX","77084","T076","34","2","2","","1","","3","2","7","7","3","3","4","1","2","3","2","1","4","4"
"26","Jun 15, 2018 4:58:09 pm","Jun 15, 2018 4:59:05 pm","Complete","","","","English","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T136","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T136","1529096241_5b2428312a7565.99191482","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36","","128.195.50.245","-117.76940155029","33.640300750732","United States","Irvine","CA","92697","T136","21","2","1","","1","","2","1","7","6","3","3","4","0","0","3","1","0","4","4"
"27","Jun 18, 2018 12:41:49 pm","Jun 18, 2018 12:43:18 pm","Complete","","","","English","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T016","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T016","1529340079_5b27e0af4bf860.01311068","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36","","129.7.106.83","-95.434196472168","29.833999633789","United States","Houston","TX","77204","T016","20","1","1","","1","","2","1","5","6","1","0","1","2","2","0","3","3","2","0"
"28","Jun 18, 2018 2:16:02 pm","Jun 18, 2018 2:17:09 pm","Complete","","","","English","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1","1529343242_5b27ed0aa76c93.15306864","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36","","128.194.142.236","-95.662696838379","29.83270072937","United States","Houston","TX","77084","T106","21","2","1","","1","","2","1","7","7","2","1","3","2","3","1","4","2","1","1"
"29","Jun 19, 2018 11:28:14 am","Jun 19, 2018 11:29:17 am","Complete","","","","English","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T062","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T062","1529422064_5b2920f0796150.22179497","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36","","128.194.142.236","-95.662696838379","29.83270072937","United States","Houston","TX","77084","T062","20","2","1","","1","","2","1","7","7","2","2","2","3","3","1","2","3","2","1"
"30","Jun 19, 2018 4:22:50 pm","Jun 19, 2018 4:23:50 pm","Complete","","","","English","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T091","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T091","1529439740_5b2965fc63aed7.05946663","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36","","128.194.142.236","-95.662696838379","29.83270072937","United States","Houston","TX","77084","T091","20","1","1","","1","","2","1","6","6","1","1","3","3","2","1","3","3","1","1"
"31","Jun 19, 2018 4:47:19 pm","Jun 19, 2018 4:48:44 pm","Complete","","","","English","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T167","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T167","1529441167_5b296b8fd0a002.58092156","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36","","128.195.50.245","-117.76940155029","33.640300750732","United States","Irvine","CA","92697","T167","38","1","1","","1","","2","2","7","7","3","3","3","3","3","1","3","2","3","2"
"32","Jun 21, 2018 1:33:48 pm","Jun 21, 2018 1:35:26 pm","Complete","","","","English","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T093","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T093","1529602391_5b2be15755d1e3.58413493","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36","","128.194.142.236","-95.662696838379","29.83270072937","United States","Houston","TX","77084","T093","23","1","1","","1","","2","1","7","7","1","1","2","4","3","1","3","2","1","1"
"33","Jun 21, 2018 4:41:52 pm","Jun 21, 2018 4:43:07 pm","Complete","","","","English","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T061","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T061","1529613675_5b2c0d6b5d5410.35393087","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36","","128.194.142.236","-95.662696838379","29.83270072937","United States","Houston","TX","77084","T061","29","1","2","Philippines","1","","4","2","7","7","3","1","4","2","1","3","2","1","2","4"
"34","Jun 22, 2018 12:22:46 pm","Jun 22, 2018 12:23:52 pm","Complete","","","","English","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T003","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T003","1529684524_5b2d222cd5bee3.17125301","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36","","129.7.106.83","-95.434196472168","29.833999633789","United States","Houston","TX","77204","T003","23","2","1","","1","","2","1","7","6","2","2","3","3","2","1","2","2","2","1"
"35","Jun 22, 2018 2:07:32 pm","Jun 22, 2018 2:08:26 pm","Complete","","","","English","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T108","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T108","1529690830_5b2d3aced660a3.97925043","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36","","128.194.142.236","-96.321701049805","30.61310005188","United States","College Station","TX","77840","T108","34","2","1","","1","","3","3","7","7","2","2","2","4","2","0","2","3","1","1"
"36","Jun 22, 2018 4:49:37 pm","Jun 22, 2018 4:50:39 pm","Complete","","","","English","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T138","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T138","1529700535_5b2d60b7246807.07962994","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36","","128.195.50.245","-117.76940155029","33.640300750732","United States","Irvine","CA","92697","T138","22","2","1","","1","","2","1","7","5","2","3","3","2","3","3","2","2","1","3"
"37","Jun 25, 2018 1:38:00 pm","Jun 25, 2018 1:38:53 pm","Complete","","","","English","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T151","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T151","1529948253_5b31285d81a728.19118749","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36","","128.195.50.245","-117.76940155029","33.640300750732","United States","Irvine","CA","92697","T151","19","1","1","","1","","1","1","7","7","3","2","3","3","2","0","4","1","2","2"
"38","Jun 25, 2018 1:54:43 pm","Jun 25, 2018 1:56:23 pm","Complete","","","","English","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T092","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T092","1529949221_5b312c254826e7.88289540","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36","","128.194.142.236","-96.321701049805","30.61310005188","United States","College Station","TX","77840","T092","54","2","1","","1","","2","3","7","7","1","3","1","3","3","0","2","3","1","0"
"39","Jun 25, 2018 4:32:56 pm","Jun 25, 2018 4:33:56 pm","Complete","","","","English","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T122","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T122","1529958730_5b31514a886758.36657968","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36","","128.195.50.245","-117.76940155029","33.640300750732","United States","Irvine","CA","92697","T122","19","2","2","INDIA","1","","2","1","7","7","2","2","3","2","3","1","2","3","3","1"
"40","Jun 25, 2018 7:11:15 pm","Jun 25, 2018 7:13:20 pm","Complete","","","","English","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T121","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T121","1529968201_5b317649d8d549.45733789","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36","","128.195.50.245","-117.76940155029","33.640300750732","United States","Irvine","CA","92697","T121","23","1","1","","1","","2","1","7","6","4","4","3","2","2","1","2","2","2","2"
"41","Jun 26, 2018 1:47:19 pm","Jun 26, 2018 1:48:37 pm","Complete","","","","English","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T153","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T153","1530035195_5b327bfbee6114.25017180","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36","","128.195.50.245","-117.76940155029","33.640300750732","United States","Irvine","CA","92697","T153","20","1","1","","1","","1","1","7","7","2","1","2","4","3","1","3","4","2","2"
"42","Jun 26, 2018 4:39:46 pm","Jun 26, 2018 4:40:36 pm","Complete","","","","English","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T078","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T078","1530045548_5b32a46c8ed929.42166558","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36","","128.194.142.236","-96.321701049805","30.61310005188","United States","College Station","TX","77840","T078","50","2","1","","1","","2","3","7","7","2","2","3","2","2","3","2","3","3","2"
"43","Jun 27, 2018 2:03:18 pm","Jun 27, 2018 2:05:25 pm","Complete","","","","English","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T077","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T077","1530122546_5b33d132adb721.66301387","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36","","128.194.142.236","-96.321701049805","30.61310005188","United States","College Station","TX","77840","T077","28","1","1","","1","","3","3","7","7","3","1","2","3","3","0","3","4","2","1"
"44","Jun 27, 2018 3:03:05 pm","Jun 27, 2018 3:04:16 pm","Complete","","","","English","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T005","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T005","1530126130_5b33df32bad841.66078265","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36","","129.7.106.83","-95.434196472168","29.833999633789","United States","Houston","TX","77204","T005","19","2","1","","2","Spanish","2","1","6","5","2","2","3","3","2","1","3","3","3","1"
"45","Jun 27, 2018 4:41:19 pm","Jun 27, 2018 4:42:19 pm","Complete","","","","English","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T063","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T063","1530132048_5b33f6500caa12.82649880","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36","","128.194.142.236","-96.321701049805","30.61310005188","United States","College Station","TX","77840","T063","21","2","1","","1","","2","1","7","7","2","1","2","4","3","1","3","3","2","1"
"46","Jun 28, 2018 11:39:05 am","Jun 28, 2018 11:40:21 am","Complete","","","","English","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T107","https://www.surveygizmo.com/s3/4384438/Office-Stress-Questionnaire-Set-1?subj=T107","1530200319_5b3500ffcfafa4.16438762","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.87 Safari/537.36","","128.194.142.236","-96.321701049805","30.61310005188","United States","College Station","TX","77840","T107","20","1","1","","1","","2","1","7","7","0","1","0","3","2","1","4","2","1","1"
