All,Good,Bad,Slight chance of saving,
T001,,,,
T002,,,,
T003,1,,,
T004,,,,
T005,1,,,
T006,,1,,
T007,,,,
T008,,,,
T009,1,,,
T010,,,,
T011,1,,,
T012,,,,
T013,,,,
T014,,,,
T015,,,,
T016,1,,,
T017,,,,
T018,,,,
T019,1,,,
T020,,,,
T021,1,,,
T022,,,,
T023,,1,,
T024,,,,
T025,,,,
T026,,,,
T027,,,,
T028,,,,
T029,,,,
T030,,,,
T031,1,,,
T032,1,,,
T033,,,,
T034,,,,
T035,1,,,
T036,,,,
T037,1,,,
T038,,,,
T039,,,,
T040,,,,
T041,,,,
T042,,,,
T043,,,,
T044,,,,
T045,,,,
T046,1,,,
T047,1,,,
T048,,,,
T049,,,,
T050,,,,
T051,1,,,
T052,,,,
T053,,,,
T054,,,,
T055,,,,
T056,,,,
T057,,,,
T058,,,,
T059,,,,
T060,,,,
T061,1,,,
T062,,,1,
T063,1,,,
T064,1,,,
T065,1,,,
T066,1,,,
T067,,1,,
T068,,,,
T069,,,,
T070,,,,
T071,,,,
T072,,,,
T073,,,,
T074,,,,
T075,,,,
T076,,1,,
T077,1,,,
T078,1,,,
T079,1,,,
T080,,1,,
T081,,1,,
T082,1,,,
T083,1,,,
T084,1,,,
T085,,,,
T086,,,,
T087,,,,
T088,,,,
T089,,,,
T090,,,,
T091,1,,,
T092,1,,,
T093,1,,,
T094,1,,,
T095,,1,,
T096,1,,,
T097,1,,,
T098,1,,,
T099,,,,
T100,,,,
T101,,,,
T102,,,,
T103,,,,
T104,,,,
T105,,,,
T106,1,,,
T107,,1,,
T108,1,,,
T109,,1,,
T110,,1,,
T111,,1,,
T112,1,,,
T113,,,,
T114,,,,
T115,,,,
T116,,,,
T117,,,,
T118,,,,
T119,,,,
T120,,,,
T121,1,,,
T122,1,,,
T123,,,,
T124,1,,,
T125,,,,
T126,1,,,
T127,,1,,
T128,1,,,
T129,,,,
T130,1,,,
T131,,,,
T132,,,1,
T133,,1,,
T134,,,,
T135,,,,
T136,1,,,
T137,,,,
T138,1,,,
T139,1,,,
T140,,1,,
T141,1,,,
T142,,1,,
T143,,,,
T144,1,,,
T145,1,,,
T146,,1,,
T147,,,,
T148,,1,,
T149,,,,
T150,,,,
T151,1,,,
T152,1,,,
T153,1,,,
T154,1,,,
T155,,1,,
T156,1,,,
T157,1,,,
T158,,1,,
T159,,,,
T160,,1,,
T161,,,,
T162,1,,,
T163,,,,
T164,,,,
T165,,,,
T166,1,,,
T167,,1,,
T168,,1,,
T169,,1,,
T170,,1,,
T171,,1,,
T172,1,,,
T173,1,,,
T174,,,,
T175,1,,,
T176,1,,,
T177,,,,
T178,1,,,
T179,,,,
T180,,1,,
,60,26,2,88
,,,,
,Bad subjects,Cannot be included in the analysis,,
,Good subjects,Can be included in the analysis,,
,Shady subjects,Needs special handling of data files. These subjects can be run based on Analyst's decision.,,
1,Yes,,,
